# Phase 5 task 16 - pre-registered analysis registry. Date: 2026-07-10. FROZEN BEFORE ANY OUTCOME INSPECTION.
# Authoritative method definitions: papers/build_prompt_phases/phase_05/statistical_analysis_plan.md (SAP) Sections 2-12; one row per pre-registered analysis.
# source_paths are relative to benchmarks/cec_reference_results/ (immutable release rel-2026-07-10-262fc16c9); {alg} ranges over the P1 panel
#   order gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk. Staging results/ and results/_ablation/ are NEVER admissible inputs.
# output_file paths are relative to papers/analysis/rel-2026-07-10-262fc16c9/; EVERY row additionally writes machine-readable rows keyed by
#   analysis_id to primary_stats/statistical_results.csv (PAPER_BUILD_PROMPT Section 7.14 schema; SAP Section 12).
# Output naming (Gate-5 normalization): strict_source_execution.md Sec.5 pattern <family>_<suite>[_D<dim>][_<qualifier>].csv is the single authority.
# Endpoint: error (CEC2017/CEC2013; suite floor error<1e-8 -> 0 per PR-05); best_fitness (CEC2011; error NaN by design, anomaly A2-017).
# Alpha = 0.05 per family; all Wilcoxon tests two-sided; tie rule |delta| < 1e-8; pairing via get_cec_seed(20240620, dim, func, run)
#   (verified in papers/governance/seed_and_pairing_audit.md Sections 1-4; function identity is the pairing key for across-function tests).
# APGSK CEC2017 GAP (binding; anomaly A2-004; source_resolution_map.csv dispositions i-iv): cec2017/apgsk/per_run.csv covers D100 ONLY;
#   run-level quantities vs apgsk at CEC2017 D10/D30/D50 are disclosed-unavailable, never imputed; function-level Wilcoxon on per-function
#   means (AN-PW-2017-D10/D30/D50) is the sole valid inferential basis vs apgsk at those dimensions.
# APGSK CEC2017 GAP -- RESOLVED CR-0006 (2026-07-11): cec2017/apgsk/per_run.csv restored to all 4 dims (5916 rows) by a validated
#   deterministic recovery of data lost to A2-004 (scripts/recover_apgsk_perrun.py; recovered rows reproduce the frozen summary CSVs
#   EXACTLY). The formerly disclosed-unavailable apgsk run-level cells at CEC2017 D10/D30/D50 (AN-DESC success/failure rates, AN-PWRUN,
#   AN-EFF A12/Cliff+BCa, AN-COST runtime, AN-EXP-BH) are now COMPUTED. This is a completeness correction under phase2_anomaly_register
#   A2-004 -> RESOLVED-CR-0006 and decision_log D-0011; a logged confirmatory amendment per SAP Section 13. Frozen SUMMARY CSVs, primary
#   Friedman ranks, and function-level Wilcoxon/Holm are UNCHANGED; the pre-registered function-level basis (AN-PW) remains valid and the
#   pre-registered summary-means robustness variant AN-ROB-2017-04 (disputed-cell exclusion) is deliberately kept fixed. No claim upgraded.
# AN-ABL-* rows are PHASE_12_ONLY: methods frozen now; inputs are a future promoted ablation release that does not exist yet (P6).
analysis_id,method,scope,input_resolution,source_paths,multiplicity_family,effect_interval,output_file,claim_ids,exhibit_ids
"AN-PW-2017-D30","Same as AN-PW-2017-D10 at D30; SOLE VALID inferential basis vs apgsk at D30 (disposition ii, A2-004)","CEC2017 D30; n=29 paired functions; 6 comparators","summary_per_function","cec2017/{alg}/{alg}_cec2017_D30.csv","Holm m=6 within (cec2017,D30); alpha=0.05","direction from signed statistic; vs apgsk at this dimension: matched-pairs rank-biserial correlation computed from this across-function Wilcoxon on per-function means (SAP Sec.7; CR-0003/Section 7.7) with uncertainty interval DISCLOSED-UNAVAILABLE (never imputed) {CR-0006 2026-07-11: run-level A12/Cliff + BCa vs apgsk now available via AN-EFF-2017-D10/D30/D50; the function-level rank-biserial basis is unchanged}; other comparators: effect/CI via AN-EFF-2017-D30","cec2017/wilcoxon_holm_cec2017_D30.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D30"
"AN-PW-2017-D50","Same as AN-PW-2017-D10 at D50; SOLE VALID inferential basis vs apgsk at D50 (disposition ii, A2-004)","CEC2017 D50; n=29 paired functions; 6 comparators","summary_per_function","cec2017/{alg}/{alg}_cec2017_D50.csv","Holm m=6 within (cec2017,D50); alpha=0.05","direction from signed statistic; vs apgsk at this dimension: matched-pairs rank-biserial correlation computed from this across-function Wilcoxon on per-function means (SAP Sec.7; CR-0003/Section 7.7) with uncertainty interval DISCLOSED-UNAVAILABLE (never imputed) {CR-0006 2026-07-11: run-level A12/Cliff + BCa vs apgsk now available via AN-EFF-2017-D10/D30/D50; the function-level rank-biserial basis is unchanged}; other comparators: effect/CI via AN-EFF-2017-D50","cec2017/wilcoxon_holm_cec2017_D50.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D50"
"AN-PW-2017-D100","Same as AN-PW-2017-D10 at D100 (apgsk unaffected here; per_run also complete at D100)","CEC2017 D100; n=29 paired functions; 6 comparators","summary_per_function","cec2017/{alg}/{alg}_cec2017_D100.csv","Holm m=6 within (cec2017,D100); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2017-D100","cec2017/wilcoxon_holm_cec2017_D100.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D100"
"AN-PWRUN-2017-D10","Per-function run-level Wilcoxon signed-rank on 51 seed-paired runs (pairing via get_cec_seed(20240620,dim,func,run), seed_and_pairing_audit.md); two-sided; computed ONLY where per-run evidence exists for BOTH algorithms; apgsk column EXCLUDED at D10 - rendered disclosed-unavailable (A2-004; disposition i) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (SAP Sec.6b)","CEC2017 D10; 29 functions x 5 available comparators; 51 paired runs each","per_run","cec2017/{alg}/per_run.csv (dimension==10 rows)","Holm m=29 across functions within (cec2017,D10,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2017-D10","cec2017/wilcoxon_run_cec2017_D10.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D10"
"AN-PWRUN-2017-D30","Same as AN-PWRUN-2017-D10 at D30; apgsk column disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D30; 29 functions x 5 available comparators; 51 paired runs","per_run","cec2017/{alg}/per_run.csv (dimension==30 rows)","Holm m=29 across functions within (cec2017,D30,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2017-D30","cec2017/wilcoxon_run_cec2017_D30.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D30"
"AN-PWRUN-2017-D50","Same as AN-PWRUN-2017-D10 at D50; apgsk column disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D50; 29 functions x 5 available comparators; 51 paired runs","per_run","cec2017/{alg}/per_run.csv (dimension==50 rows)","Holm m=29 across functions within (cec2017,D50,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2017-D50","cec2017/wilcoxon_run_cec2017_D50.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D50"
"AN-PWRUN-2017-D100","Same as AN-PWRUN-2017-D10 at D100; apgsk INCLUDED (per_run.csv complete at D100, 1479/1479 audit-verified) - all 6 comparators run-level","CEC2017 D100; 29 functions x 6 comparators; 51 paired runs","per_run","cec2017/{alg}/per_run.csv (dimension==100 rows)","Holm m=29 across functions within (cec2017,D100,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2017-D100","cec2017/wilcoxon_run_cec2017_D100.csv + primary_stats/statistical_results.csv","RS-07","T02;T02-FULL-D100"
"AN-EFF-2017-D10","Vargha-Delaney A12 [vargha2000critique] (A12>0.5 favors DT-GSK; ties |d|<1e-8 counted half) + Cliff's delta (=2*A12-1) per function at run level; BCa bootstrap 95% CI [efron1993introduction] on paired mean-error difference per (function,comparator); magnitude labels per vargha2000critique thresholds; apgsk cells disclosed-unavailable at D10 (A2-004; no function-level substitute for effect sizes) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (SAP Sec.7)","CEC2017 D10; 29 functions x 5 available comparators; 51 vs 51 runs","per_run","cec2017/{alg}/per_run.csv (dimension==10 rows)","none (estimation family; no test; no multiplicity adjustment of CIs - disclosed as per-cell intervals)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list; degenerate cells: point estimate + 'no CI (degenerate cell)'","cec2017/effect_sizes_cec2017_D10.csv + cec2017/bca_ci_cec2017_D10.csv + primary_stats/statistical_results.csv","RS-08;RS-09","T03;T03-FULL-D10;T-BCA"
"AN-EFF-2017-D30","Same as AN-EFF-2017-D10 at D30; apgsk cells disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D30; 29 functions x 5 available comparators; 51 vs 51 runs","per_run","cec2017/{alg}/per_run.csv (dimension==30 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list","cec2017/effect_sizes_cec2017_D30.csv + cec2017/bca_ci_cec2017_D30.csv + primary_stats/statistical_results.csv","RS-08;RS-09","T03;T03-FULL-D30;T-BCA"
"AN-EFF-2017-D50","Same as AN-EFF-2017-D10 at D50; apgsk cells disclosed-unavailable (A2-004) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}","CEC2017 D50; 29 functions x 5 available comparators; 51 vs 51 runs","per_run","cec2017/{alg}/per_run.csv (dimension==50 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list","cec2017/effect_sizes_cec2017_D50.csv + cec2017/bca_ci_cec2017_D50.csv + primary_stats/statistical_results.csv","RS-08;RS-09","T03;T03-FULL-D50;T-BCA"
"AN-EFF-2017-D100","Same as AN-EFF-2017-D10 at D100; apgsk computed normally (per_run complete at D100) - all 6 comparators","CEC2017 D100; 29 functions x 6 comparators; 51 vs 51 runs","per_run","cec2017/{alg}/per_run.csv (dimension==100 rows)","none (estimation family)","A12 + Cliff's delta; BCa 95% CI; BCa B=10000 seeded per strict_source_execution.md Sec.5 entropy-list","cec2017/effect_sizes_cec2017_D100.csv + cec2017/bca_ci_cec2017_D100.csv + primary_stats/statistical_results.csv","RS-08;RS-09","T03;T03-FULL-D100;T-BCA"
"AN-CONV-2017-D10","Descriptive per-checkpoint MEAN error across 51 runs per algorithm (P2 aggregation; identical basis for all 7 curves); Okabe-Ito styling per P3; display-only log floor; no smoothing; no extrapolation past termination; missing algorithm disclosed never fabricated (SAP Sec.8)","CEC2017 D10; 29 functions; 7 curves per panel","checkpoint_logs","cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D10.csv (f=1,3..30)","none (descriptive; no test)","none","cec2017/convergence_checkpoints_cec2017_D10.csv + primary_stats/statistical_results.csv","","F02-SUP-CEC2017-D10"
"AN-CONV-2017-D30","Same P2/P3 machinery at D30 + P5 main-text selection: strata (difficulty terciles of panel-median final error; DT-GSK standing by per-function mean-error rank) computed from summary CSVs ONLY, BEFORE any curve is rendered/viewed; 4 functions (one per verified category) by frozen fill priority; selections recorded in curve_selection.csv before rendering (SAP Sec.8)","CEC2017 D30 (P5 featured known-weak tier); 29 functions; 7 curves per panel","checkpoint_logs","cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D30.csv; selection strata from cec2017/{alg}/{alg}_cec2017_D30.csv","none (descriptive; no test)","none","cec2017/convergence_checkpoints_cec2017_D30.csv + cec2017/curve_selection_cec2017_D30.csv + primary_stats/statistical_results.csv","","F02-MAIN-D30;F02-SUP-CEC2017-D30"
"AN-CONV-2017-D50","Same P2/P3 machinery at D50 (supplement grids only; not a P5 featured dimension) (SAP Sec.8)","CEC2017 D50; 29 functions; 7 curves per panel","checkpoint_logs","cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D50.csv","none (descriptive; no test)","none","cec2017/convergence_checkpoints_cec2017_D50.csv + primary_stats/statistical_results.csv","IN-02","F02-SUP-CEC2017-D50"
"AN-CONV-2017-D100","Same P2/P3 machinery at D100 + P5 main-text selection (as AN-CONV-2017-D30; strata from D100 summary CSVs; recorded in curve_selection.csv before rendering); the 8 selected panels jointly include >=1 hard and >=1 DT-GSK-weak case (SAP Sec.8)","CEC2017 D100 (P5 featured SGSM/polish-active tier); 29 functions; 7 curves per panel","checkpoint_logs","cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D100.csv; selection strata from cec2017/{alg}/{alg}_cec2017_D100.csv","none (descriptive; no test)","none","cec2017/convergence_checkpoints_cec2017_D100.csv + cec2017/curve_selection_cec2017_D100.csv + primary_stats/statistical_results.csv","IN-02","F02-MAIN-D100;F02-SUP-CEC2017-D100"
"AN-TREND-2017","Descriptive Friedman-mean-rank-vs-dimension trend over D in {10,30,50,100} using the AN-OMNI-2017-* ranks (no independent recomputation); no test; NO extrapolation beyond D100 (operationalizes the LM-05 evidence ceiling) (SAP Sec.12)","CEC2017; 4 dimensions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv (via AN-OMNI-2017-* ranks)","none (descriptive; no test)","none","cec2017/rank_trend_cec2017.csv + primary_stats/statistical_results.csv","IN-01;LM-05;CN-01","F03"
"AN-CLASS-2017","EXPLORATORY per-category descriptive mean ranks + W/T/L on verified CEC2017 categories (unimodal F1/F3; simple multimodal F4-F10; hybrid F11-F20; composition F21-F30 [awad2016problem]); NO per-class inference (avoids micro-family multiplicity); small class sizes acknowledged; never converted to mechanism/causality wording (SAP Sec.11)","CEC2017; 4 categories x 4 dimensions; k=7","summary_per_function","cec2017/{alg}/{alg}_cec2017_D{10,30,50,100}.csv","none (exploratory descriptive; no test)","none","cec2017/class_ranks_cec2017.csv + primary_stats/statistical_results.csv","IN-01",""
"AN-COST-2017","Descriptive runtime: per_run.csv runtime_seconds summarized mean +/- SD per (suite,dimension,algorithm); comparability qualified per papers/governance/comparability_audit.md (eGSK provenance; NO runtime-superiority claim); apgsk cec2017 D10/D30/D50 runtime cells disclosed-unavailable (A2-004; gen_logs carry no runtime) {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; memory answered analytically via phase_03/complexity_analysis.md + evidence_gap_register.md entry (SAP Sec.9)","CEC2017 D10-D100 (primary) + CEC2013/CEC2011 supplement rows; k=7","per_run","cec2017/{alg}/per_run.csv; cec2013/{alg}/per_run.csv; cec2011/{alg}/per_run.csv (runtime_seconds column)","none (descriptive; no test)","none","cec2017/cost_cec2017.csv + primary_stats/statistical_results.csv","LM-04","T-RUNTIME"
"AN-OMNI-2013-D10","Friedman + Iman-Davenport over 28 per-function mean errors, k=7, alpha=0.05; Nemenyi CD condition as AN-OMNI-2017-* (SAP Sec.5); second comparison suite - never 'independent'/'holdout'/'validation'","CEC2013 D10; 28 functions; k=7; 51 runs","summary_per_function","cec2013/{alg}/{alg}_cec2013_D10.csv","single omnibus per (cec2013,D10) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2013/friedman_ranks_cec2013_D10.csv + primary_stats/statistical_results.csv","RS-11","T06;T06-FULL-D10"
"AN-OMNI-2013-D30","Same as AN-OMNI-2013-D10 at D30","CEC2013 D30; 28 functions; k=7","summary_per_function","cec2013/{alg}/{alg}_cec2013_D30.csv","single omnibus per (cec2013,D30) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2013/friedman_ranks_cec2013_D30.csv + primary_stats/statistical_results.csv","RS-11","T06;T06-FULL-D30"
"AN-OMNI-2013-D50","Same as AN-OMNI-2013-D10 at D50","CEC2013 D50; 28 functions; k=7","summary_per_function","cec2013/{alg}/{alg}_cec2013_D50.csv","single omnibus per (cec2013,D50) family; alpha=0.05; Nemenyi CD conditional","Friedman mean ranks (point values)","cec2013/friedman_ranks_cec2013_D50.csv + primary_stats/statistical_results.csv","RS-11","T06;T06-FULL-D50"
"AN-RANKAGG-2013-OVERALL","Unweighted arithmetic mean of the 3 per-dimension Friedman mean ranks from AN-OMNI-2013-*; descriptive aggregation, no test attached (SAP Sec.5)","CEC2013 overall row; 3 dimensions; k=7","summary_per_function","cec2013/{alg}/{alg}_cec2013_D{10,30,50}.csv (via AN-OMNI-2013-* ranks)","none (descriptive aggregation; no test)","none","cec2013/friedman_ranks_cec2013_overall.csv + primary_stats/statistical_results.csv","RS-11","T06"
"AN-PW-2013-D10","Wilcoxon signed-rank across 28 functions on per-function mean errors, DT-GSK vs each of 6 comparators; two-sided; tie |d|<1e-8 (SAP Sec.6a)","CEC2013 D10; n=28 paired functions; 6 comparators","summary_per_function","cec2013/{alg}/{alg}_cec2013_D10.csv","Holm m=6 within (cec2013,D10); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D10","cec2013/wilcoxon_holm_cec2013_D10.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-PW-2013-D30","Same as AN-PW-2013-D10 at D30","CEC2013 D30; n=28 paired functions; 6 comparators","summary_per_function","cec2013/{alg}/{alg}_cec2013_D30.csv","Holm m=6 within (cec2013,D30); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D30","cec2013/wilcoxon_holm_cec2013_D30.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-PW-2013-D50","Same as AN-PW-2013-D10 at D50","CEC2013 D50; n=28 paired functions; 6 comparators","summary_per_function","cec2013/{alg}/{alg}_cec2013_D50.csv","Holm m=6 within (cec2013,D50); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D50","cec2013/wilcoxon_holm_cec2013_D50.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-PWRUN-2013-D10","Per-function run-level Wilcoxon on 51 seed-paired runs; two-sided; cec2013 per_run complete for all 7 algorithms at all 3 dims (no apgsk gap on this suite) (SAP Sec.6b)","CEC2013 D10; 28 functions x 6 comparators; 51 paired runs","per_run","cec2013/{alg}/per_run.csv (dimension==10 rows)","Holm m=28 across functions within (cec2013,D10,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D10","cec2013/wilcoxon_run_cec2013_D10.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-PWRUN-2013-D30","Same as AN-PWRUN-2013-D10 at D30","CEC2013 D30; 28 functions x 6 comparators; 51 paired runs","per_run","cec2013/{alg}/per_run.csv (dimension==30 rows)","Holm m=28 across functions within (cec2013,D30,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D30","cec2013/wilcoxon_run_cec2013_D30.csv + primary_stats/statistical_results.csv","RS-11",""
"AN-PWRUN-2013-D50","Same as AN-PWRUN-2013-D10 at D50","CEC2013 D50; 28 functions x 6 comparators; 51 paired runs","per_run","cec2013/{alg}/per_run.csv (dimension==50 rows)","Holm m=28 across functions within (cec2013,D50,comparator); alpha=0.05","direction from signed statistic; effect/CI via AN-EFF-2013-D50","cec2013/wilcoxon_run_cec2013_D50.csv + primary_stats/statistical_results.csv","RS-11",""
