# Phase 5 (tasks 13-14) source resolution map - PRE-REGISTERED BEFORE ANY OUTCOME INSPECTION. Date: 2026-07-10.
# Maps every EMPIRICAL exhibit of phase_04/exhibit_plan.csv (71 rows total) to its release input class inside the
# immutable evidence release rel-2026-07-10-262fc16c9 (benchmarks/cec_reference_results/, anchor 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21).
# All release_paths are relative to benchmarks/cec_reference_results/. {alg} ranges over the P1 panel order:
# gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk (7 algorithms; exhibit_plan.csv P1).
# input_resolution vocabulary: summary_per_function | per_run | checkpoint_logs.
#
# NON-EMPIRICAL ROWS (26; authored/conceptual/equation/analytic/governance-authored; NOT mapped here, no release input):
#   A1, E1a, E1b, E2, E3, E4, E5, E6, E7, E8, E9, E10, E11, E12, T-NOTATION, T-PARAMS, F-ARCH, F-SGSM-MECH,
#   F-GATING, F-TAXONOMY, T-FAMREV, T-WORKED, T07-PROTOCOL, T-PANEL, S-REPRO, F-NLPSR.
#   (T-PARAMS binds phase_03/parameter_table.md + algorithm_freeze_manifest.json - frozen configuration, not evidence.
#    T07-PROTOCOL/T-PANEL/S-REPRO are authored from governance artifacts + release METADATA files only, no outcome data.)
# RESERVED ROWS (3; skipped): X-ABL-01, X-ABL-02, X-ABL-03 - DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY per P6; their evidence
#   release does not exist; results/_ablation staging is QUARANTINED and forbidden as an input in every phase.
# Mapped empirical rows below: 42. per_run_required=yes rows: 14.
#
# APGSK CEC2017 GAP (binding; papers/governance/phase2_anomaly_register.csv A2-004/A2-006 + seed_and_pairing_audit.md Sec.6 anomaly A1):
#   cec2017/apgsk/per_run.csv covers D100 ONLY (1479 rows = 29 func x 51 runs). Run-level quantities vs apgsk at CEC2017
#   D10/D30/D50 are NOT available from per_run.csv. Pre-registered disposition (fixed now, before any outcome is seen):
#   (i) per-function run-level tests/effect sizes/CIs vs apgsk at CEC2017 D10/D30/D50 are marked disclosed-unavailable
#       (explicit n/a cells + table footnote); NEVER imputed, never silently dropped from row counts;
#   (ii) the DT-GSK-vs-apgsk comparison at those dimensions is carried by the pre-specified FUNCTION-LEVEL Wilcoxon
#        signed-rank across the 29 per-function means (GSK-family convention; summary CSVs are complete for apgsk at all dims,
#        verified 580/580 == gen_logs final checkpoint, seed_and_pairing_audit.md Sec.6);
#   (iii) apgsk D100 run-level analyses proceed normally (per_run.csv verified 1479/1479 vs gen_logs);
#   (iv) OPTIONAL RECOVERY (not exercised here): gen_logs final-checkpoint columns as sanctioned per-run source for apgsk
#        cec2017 D10/D30/D50 (audit Option 1) is admissible ONLY via a registered change request + data-ledger entry
#        BEFORE Phase 6 execution; absent that CR, disposition (i)-(iii) stands.
# APGSK CEC2017 GAP -- RESOLVED CR-0006 (2026-07-11): the registered change request anticipated by disposition (iv) is now filed.
#   cec2017/apgsk/per_run.csv has been restored to all 4 dims (5916 rows) by a validated deterministic recovery of the A2-004 data loss
#   (scripts/recover_apgsk_perrun.py; the recovered D10/D30/D50 rows reproduce the frozen summary CSVs EXACTLY). Disposition (i)'s
#   disclosed-unavailable marking for apgsk run-level cells at CEC2017 D10/D30/D50 is therefore RESOLVED: T02/T02-FULL-D10/D30/D50,
#   T03/T03-FULL-D10/D30/D50, T-BCA and T-RUNTIME apgsk columns at those dims are now computed. The function-level basis (ii) and D100
#   normalcy (iii) are unchanged. Completeness correction only (phase2_anomaly_register A2-004 -> RESOLVED-CR-0006; decision_log D-0011);
#   frozen summary CSVs and primary/function-level results unchanged; no claim upgraded. The T-SENS disclosed-unavailable (EG-006
#   parametric-sweep gap) is a SEPARATE, still-open gap and is NOT affected by this recovery.
# CEC2011 NOTE (A2-017): per_run.csv error column is NaN by design on cec2011; all cec2011 run-level analyses use best_fitness.
exhibit_id,input_resolution,release_paths,per_run_required,apgsk_cec2017_gap_disposition,notes
T04,summary_per_function,"cec2011/{alg}/{alg}_cec2011.csv (22-problem rollup)",no,n/a - gap is cec2017-only; cec2011 apgsk summary complete.,"CEC2011 descriptive stats + ranks across 22 problems at native dims; 25 runs."
F04-CEC2011,summary_per_function,"cec2011/{alg}/{alg}_cec2011.csv",no,n/a - gap is cec2017-only.,"CEC2011 mean-rank figure; same rank source as T04."
T06,summary_per_function,"cec2013/{alg}/{alg}_cec2013_D{10,30,50}.csv",no,n/a - gap is cec2017-only; cec2013 apgsk per_run and summaries complete for all 3 dims.,"Second comparison suite (never independent/holdout); Friedman ranks D10/D30/D50 + overall; 28 functions."
T-RUNTIME,per_run,"{suite}/{alg}/per_run.csv runtime_seconds column (suites cec2017, cec2013, cec2011 as admissible); qualification per papers/governance/comparability_audit.md",yes,"apgsk runtime_seconds at cec2017 D10/D30/D50 disclosed-unavailable {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (per_run truncated to D100; gen_logs carry NO runtime): those cells n/a with per-cell comparability disclosure; apgsk cec2017 D100 + all cec2013/cec2011 runtime cells available.","Empirical runtime cells only; complexity statements come from phase_03/complexity_analysis.md (non-empirical). Comparability status disclosed per cell."
T01-D10,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D10.csv",no,n/a - summary-level input.,"Full 29x7 descriptive table (supplement). Feeds descriptive_stats family."
T01-D30,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D30.csv",no,n/a - summary-level input.,"Full descriptive table D30."
T01-D50,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D50.csv",no,n/a - summary-level input.,"Full descriptive table D50."
T01-D100,summary_per_function,"cec2017/{alg}/{alg}_cec2017_D100.csv",no,n/a - summary-level input.,"Full descriptive table D100."
T02-FULL-D10,per_run,"cec2017/{alg}/per_run.csv (dimension==10 rows)",yes,"apgsk column disclosed-unavailable at D10 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (per_run has no D10 rows); function-level Wilcoxon vs apgsk reported once per disposition (ii); other 5 comparators run-level per function as planned.","Per-function Wilcoxon+Holm matrix, supplement."
T02-FULL-D30,per_run,"cec2017/{alg}/per_run.csv (dimension==30 rows)",yes,"apgsk column disclosed-unavailable at D30 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; function-level substitute per disposition (ii); other comparators unaffected.","Per-function Wilcoxon+Holm matrix D30."
T02-FULL-D50,per_run,"cec2017/{alg}/per_run.csv (dimension==50 rows)",yes,"apgsk column disclosed-unavailable at D50 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; function-level substitute per disposition (ii); other comparators unaffected.","Per-function Wilcoxon+Holm matrix D50."
T02-FULL-D100,per_run,"cec2017/{alg}/per_run.csv (dimension==100 rows)",yes,"NOT affected: apgsk per_run D100 present (1479 rows verified vs gen_logs); full run-level matrix computable for all 6 comparators.","Per-function Wilcoxon+Holm matrix D100."
T03-FULL-D10,per_run,"cec2017/{alg}/per_run.csv (dimension==10 rows)",yes,"apgsk effect-size column disclosed-unavailable at D10 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (no substitute for run-level effect sizes); footnoted n/a cells.","Per-function A12/Cliff table D10."
T03-FULL-D30,per_run,"cec2017/{alg}/per_run.csv (dimension==30 rows)",yes,"apgsk effect-size column disclosed-unavailable at D30 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; footnoted n/a cells.","Per-function A12/Cliff table D30."
T03-FULL-D50,per_run,"cec2017/{alg}/per_run.csv (dimension==50 rows)",yes,"apgsk effect-size column disclosed-unavailable at D50 {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed}; footnoted n/a cells.","Per-function A12/Cliff table D50."
T03-FULL-D100,per_run,"cec2017/{alg}/per_run.csv (dimension==100 rows)",yes,"NOT affected: apgsk per_run D100 present; full effect-size column computable.","Per-function A12/Cliff table D100."
T-BCA,per_run,"cec2017/{alg}/per_run.csv (all 4 dims)",yes,"vs-apgsk BCa CIs at D10/D30/D50 disclosed-unavailable {RESOLVED CR-0006 2026-07-11: apgsk CEC2017 per-run recovered; cell now computed} (paired run-level differences required); vs-apgsk D100 computable; all other comparators all dims computable. Explicit n/a cells + footnote.","BCa 95% CIs of paired mean-error differences [efron1993introduction]; seed 20240620, B=10000 (strict_source_execution.md). Feeds bca_ci family."
F02-SUP-CEC2017-D10,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D10.csv (f = 1, 3..30; 29 functions)",no,"n/a - apgsk gen_logs complete for all dims (116 files/alg; seed columns verified vs unified schedule, seed_and_pairing_audit.md Sec.3).","Full-suite convergence grids; P2 aggregation (mean over 51 runs per checkpoint); 7 curves per panel or disclosed absence."
F02-SUP-CEC2017-D30,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D30.csv",no,n/a - checkpoint logs complete.,"Full-suite grids D30."
F02-SUP-CEC2017-D50,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D50.csv",no,n/a - checkpoint logs complete.,"Full-suite grids D50."
F02-SUP-CEC2017-D100,checkpoint_logs,"cec2017/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D100.csv",no,n/a - checkpoint logs complete.,"Full-suite grids D100."
F02-SUP-CEC2011,checkpoint_logs,"cec2011/{alg}/gen_logs/CheckpointErrors_{alg}_F{p}_D{native}.csv (22 problems, native dims)",no,n/a - gap is cec2017-only; cec2011 gen_logs complete (22 files/alg).,"Real-world-suite grids; P2 aggregation over 25 runs."
F02-SUP-CEC2013-D30,checkpoint_logs,"cec2013/{alg}/gen_logs/CheckpointErrors_{alg}_F{f}_D30.csv (28 functions)",no,n/a - gap is cec2017-only; cec2013 gen_logs complete (84 files/alg).,"Second-suite grids, D30 ONLY per P4 unless Section 8.5 dimension-filename tooling task is completed and recorded."
T04-STATS,per_run,"cec2011/{alg}/per_run.csv (best_fitness column; 550 rows/alg = 22 problems x 25 runs)",yes,"n/a - gap is cec2017-only; cec2011 apgsk per_run complete (550/550). MANDATORY: use best_fitness, NOT error (error=NaN by design on cec2011, anomaly A2-017).","Per-problem Wilcoxon+Holm, effect sizes, W/T/L on the real-world suite (25 paired runs/problem)."
T06-FULL-D10,summary_per_function,"cec2013/{alg}/{alg}_cec2013_D10.csv",no,n/a - gap is cec2017-only.,"Full 28x7 descriptive table (no F2 exclusion on cec2013)."
T06-FULL-D30,summary_per_function,"cec2013/{alg}/{alg}_cec2013_D30.csv",no,n/a - gap is cec2017-only.,"Full descriptive table cec2013 D30."
T06-FULL-D50,summary_per_function,"cec2013/{alg}/{alg}_cec2013_D50.csv",no,n/a - gap is cec2017-only.,"Full descriptive table cec2013 D50."
T-SENS,summary_per_function,"NONE RESOLVABLE: release rel-2026-07-10-262fc16c9 contains only the 7-algorithm panel runs; no admissible parameter-sensitivity sweep exists in the release.",no,n/a - exhibit not computable from the release.,"Pre-registered disposition: disclosed-unavailable; record in papers/governance/evidence_gap_register.md; exhibit ships only if a future versioned release adds admissible sensitivity evidence via scripts/promote_evidence.py. Never sourced from results/ staging."
F-TRACE,checkpoint_logs,"GATED: requires promoted diagnostic release gen_logs/GenLog_* pattern - ABSENT from rel-2026-07-10-262fc16c9 (gen_logs contain exactly the 116/84/22 CheckpointErrors_* files per algorithm, no GenLog_*).",no,n/a - exhibit gated on a diagnostic release that does not exist.,"Pre-registered disposition per P7: marked unavailable in papers/governance/evidence_gap_register.md unless a validated promoted GenLog diagnostic release exists before Phase 7; results/ staging never admissible."
F-ADAPT,checkpoint_logs,"GATED: same GenLog_* diagnostic-release condition as F-TRACE; pattern absent from rel-2026-07-10-262fc16c9.",no,n/a - exhibit gated on a diagnostic release that does not exist.,"Same disposition as F-TRACE (P7 gate; evidence_gap_register.md entry if ungated release absent)."
