citation_key,file,in_build,line,section,semantic_role,in_allowed_57,evidence_card,usage_condition_class,evidence_card_supported,context
demsar2006statistical,sections/performance.tex,yes,480,Statistical Analysis,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$p$~\cite{holm1979simple,demsar2006statistical}. Second, win/tie/loss counts are"
benjamini1995controlling,sections/performance.tex,yes,630,Statistical Analysis,exploratory FDR only when used,PASS,evidence_cards/benjamini1995controlling.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),companion~\cite{benjamini1995controlling} over the run-level tests is
apgsk2021,sections/performance.tex,yes,809,Results on the CEC2020 Pre-Registered Confirmatory Suite,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),the runner-up~\cite{apgsk2021} --- \dtgsk{} places fourth; the family
apgsk2021,sections/performance.tex,yes,886,Results on the CEC2020 Pre-Registered Confirmatory Suite,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"competition~\cite{apgsk2021}, and its paper is a co-author's."
molina2018shadeils,sections/performance.tex,yes,896,Results on the CEC2013LSGO Large-Scale Suite,competition context only where the source supports the stated claim,PASS,evidence_cards/molina2018shadeils.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),SHADE-ILS~\cite{molina2018shadeils} and MOS~\cite{latorre2013mos} ---
latorre2013mos,sections/performance.tex,yes,896,Results on the CEC2013LSGO Large-Scale Suite,competition context only where the source supports the stated claim,PASS,evidence_cards/latorre2013mos.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),SHADE-ILS~\cite{molina2018shadeils} and MOS~\cite{latorre2013mos} ---
wolpert1997nfl,sections/performance.tex,yes,1252,Discussion,"bounded NFL premise, never proof of expected superiority",PASS,evidence_cards/wolpert1997nfl.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),seven-algorithm GSK-family panel~\cite{wolpert1997nfl}.
mohamed2020gaining,sections/proposed_algorithm.tex,yes,57,Notation and Base-GSK Recap,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),GSK~\cite{mohamed2020gaining} evolves a population $P$ through a
zhang2009jade,sections/proposed_algorithm.tex,yes,77,Notation and Base-GSK Recap,adaptive DE and external-archive lineage,PASS,evidence_cards/zhang2009jade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),with JADE~\cite{zhang2009jade} and carried through the L-SHADE
tanabe2014improving,sections/proposed_algorithm.tex,yes,78,Notation and Base-GSK Recap,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2014improving.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"lineage~\cite{tanabe2014improving}, and survivors are chosen by"
mohamed2020gaining,sections/proposed_algorithm.tex,yes,85,Notation and Base-GSK Recap,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"sources~\cite{mohamed2020gaining,tanabe2014improving} with their"
tanabe2014improving,sections/proposed_algorithm.tex,yes,85,Notation and Base-GSK Recap,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2014improving.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"sources~\cite{mohamed2020gaining,tanabe2014improving} with their"
mohamed2020gaining,sections/proposed_algorithm.tex,yes,179,Architecture Overview and Execution Order,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"al.~\cite{mohamed2020gaining}, redrawn here from that paper's description: a"
mohamed2020agsk,sections/proposed_algorithm.tex,yes,318,ACE: Bandit Control of the Operator Pool,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"history~\cite{mohamed2020agsk}, and APGSK widens the adapted parameter"
apgsk2021,sections/proposed_algorithm.tex,yes,319,ACE: Bandit Control of the Operator Pool,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),pools~\cite{apgsk2021}; both adapt at the parameter level.
tanabe2013shade,sections/proposed_algorithm.tex,yes,338,ACE: Bandit Control of the Operator Pool,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2013shade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),history~\cite{tanabe2013shade}.
storn1997differential,sections/proposed_algorithm.tex,yes,341,ACE: Bandit Control of the Operator Pool,DE origin,PASS,evidence_cards/storn1997differential.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),joins the pool~\cite{storn1997differential}.
auer2002finite,sections/proposed_algorithm.tex,yes,344,ACE: Bandit Control of the Operator Pool,"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited",PASS,evidence_cards/auer2002finite.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"problem~\cite{auer2002finite,fialho2010adaptive}; ACE is not an"
fialho2010adaptive,sections/proposed_algorithm.tex,yes,344,ACE: Bandit Control of the Operator Pool,"bandit/adaptive operator-selection grounding, not proof that the exact ACE mechanism is inherited",PASS,evidence_cards/fialho2010adaptive.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"problem~\cite{auer2002finite,fialho2010adaptive}; ACE is not an"
apgsk2021,sections/proposed_algorithm.tex,yes,369,NLPSR: Tier-Floored Population-Size Reduction,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),reduction shape of APGSK's NLPSR schedule~\cite{apgsk2021} and
storn1997differential,sections/proposed_algorithm.tex,yes,432,BSE and the Diversity Archive: Budget-Safe Escape,DE origin,PASS,evidence_cards/storn1997differential.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"evolution~\cite{storn1997differential,zhang2009jade,tanabe2013shade}."
zhang2009jade,sections/proposed_algorithm.tex,yes,432,BSE and the Diversity Archive: Budget-Safe Escape,adaptive DE and external-archive lineage,PASS,evidence_cards/zhang2009jade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"evolution~\cite{storn1997differential,zhang2009jade,tanabe2013shade}."
tanabe2013shade,sections/proposed_algorithm.tex,yes,432,BSE and the Diversity Archive: Budget-Safe Escape,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2013shade.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"evolution~\cite{storn1997differential,zhang2009jade,tanabe2013shade}."
omidvar2014dg,sections/proposed_algorithm.tex,yes,483,Interaction-Structure Memory and Linkage-Aware Exploitation (Supporting Mechanism),differential grouping and decomposition comparison/future work,PASS,evidence_cards/omidvar2014dg.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),dimension --- before optimization starts~\cite{omidvar2014dg}. Covariance
hansen2001cmaes,sections/proposed_algorithm.tex,yes,485,Interaction-Structure Memory and Linkage-Aware Exploitation (Supporting Mechanism),covariance-adaptation conceptual comparison,PASS,evidence_cards/hansen2001cmaes.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),steps~\cite{hansen2001cmaes}. Eigenvector-based crossover
guo2015eig,sections/proposed_algorithm.tex,yes,487,Interaction-Structure Memory and Linkage-Aware Exploitation (Supporting Mechanism),eigenvector crossover comparison,PASS,evidence_cards/guo2015eig.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),generation~\cite{guo2015eig}.
kolda2003directsearch,sections/proposed_algorithm.tex,yes,620,Eigenframe Final Polish (Contribution C1),compass/direct-search basis,PASS,evidence_cards/kolda2003directsearch.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"priori~\cite{kolda2003directsearch}, and the Nelder--Mead simplex, the"
nelder1965simplex,sections/proposed_algorithm.tex,yes,623,Eigenframe Final Polish (Contribution C1),Nelder-Mead basis (with gao2012implementing),PASS,evidence_cards/nelder1965simplex.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"dimension~\cite{nelder1965simplex,kolda2003directsearch,gao2012implementing}."
kolda2003directsearch,sections/proposed_algorithm.tex,yes,623,Eigenframe Final Polish (Contribution C1),compass/direct-search basis,PASS,evidence_cards/kolda2003directsearch.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"dimension~\cite{nelder1965simplex,kolda2003directsearch,gao2012implementing}."
gao2012implementing,sections/proposed_algorithm.tex,yes,623,Eigenframe Final Polish (Contribution C1),Nelder-Mead basis (with nelder1965simplex),PASS,evidence_cards/gao2012implementing.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"dimension~\cite{nelder1965simplex,kolda2003directsearch,gao2012implementing}."
mohamed2020gaining,sections/proposed_algorithm.tex,yes,744,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)","GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"GSK & \cite{mohamed2020gaining} & reference-implementation constants, $NP=100$ at every $D$; in-repository re-run\\"
mohamed2020agsk,sections/proposed_algorithm.tex,yes,745,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)",AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"AGSK & \cite{mohamed2020agsk} & reference-implementation constants, $NP=100$ at every $D$; in-repository re-run\\"
apgsk2021,sections/proposed_algorithm.tex,yes,746,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)",APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"APGSK & \cite{apgsk2021} & reference-implementation constants, $NP=100$ at every $D$; in-repository re-run\\"
fdbagsk2023,sections/proposed_algorithm.tex,yes,749,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)",FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"FDB-AGSK & \cite{fdbagsk2023} & reference-implementation constants, $NP=100$ at every $D$; in-repository re-run\\"
alfadli2025atmals,sections/proposed_algorithm.tex,yes,750,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)",ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"ATMALS-GSK & \cite{alfadli2025atmals} & reference-implementation constants, $NP=100$ at every $D$; in-repository re-run\\"
jawad2024egsk,sections/proposed_algorithm.tex,yes,751,"Parameter Configuration, Determinism, and Configuration Lock (Contribution C3)",eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),eGSK & \cite{jawad2024egsk} & Python port; SLSQP substitutes the
mohamed2020gaining,sections/related_work.tex,yes,35,The GSK Family: From Fixed Parameters to Adaptive Configuration,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),paper~\cite{mohamed2020gaining}.
mohamed2020gaining,sections/related_work.tex,yes,42,The GSK Family: From Fixed Parameters to Adaptive Configuration,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),problems~\cite{mohamed2020gaining}.
mohamed2020agsk,sections/related_work.tex,yes,55,The GSK Family: From Fixed Parameters to Adaptive Configuration,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"lineage~\cite{mohamed2020agsk,tanabe2014improving}."
tanabe2014improving,sections/related_work.tex,yes,55,The GSK Family: From Fixed Parameters to Adaptive Configuration,SHADE/L-SHADE and population-size reduction lineage,PASS,evidence_cards/tanabe2014improving.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"lineage~\cite{mohamed2020agsk,tanabe2014improving}."
mohamed2020agsk,sections/related_work.tex,yes,59,The GSK Family: From Fixed Parameters to Adaptive Configuration,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),CEC2017 protocol~\cite{mohamed2020agsk}.
apgsk2021,sections/related_work.tex,yes,64,The GSK Family: From Fixed Parameters to Adaptive Configuration,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),population~\cite{apgsk2021}.
apgsk2021,sections/related_work.tex,yes,69,The GSK Family: From Fixed Parameters to Adaptive Configuration,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),act~\cite{apgsk2021}.
fdbagsk2023,sections/related_work.tex,yes,75,The GSK Family: From Fixed Parameters to Adaptive Configuration,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),functions~\cite{fdbagsk2023}.
fdbagsk2023,sections/related_work.tex,yes,80,The GSK Family: From Fixed Parameters to Adaptive Configuration,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),untested~\cite{fdbagsk2023}.
alfadli2025atmals,sections/related_work.tex,yes,88,The GSK Family: From Fixed Parameters to Adaptive Configuration,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),fraction~\cite{alfadli2025atmals}.
alfadli2025atmals,sections/related_work.tex,yes,93,The GSK Family: From Fixed Parameters to Adaptive Configuration,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),search~\cite{alfadli2025atmals}.
jawad2024egsk,sections/related_work.tex,yes,101,The GSK Family: From Fixed Parameters to Adaptive Configuration,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),window~\cite{jawad2024egsk}.
jawad2024egsk,sections/related_work.tex,yes,105,The GSK Family: From Fixed Parameters to Adaptive Configuration,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),\agsk{}~\cite{jawad2024egsk}.
hpe_agsk2025,sections/related_work.tex,yes,112,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/hpe_agsk2025.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),categories~\cite{hpe_agsk2025}. Population-side devices include
epd_gsk2024,sections/related_work.tex,yes,114,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/epd_gsk2024.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),"reverse learning~\cite{epd_gsk2024}, opposition-based learning with"
jalali2021opposition,sections/related_work.tex,yes,115,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/jalali2021opposition.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),"Cauchy mutation~\cite{jalali2021opposition}, and multi-population"
pogsk2023,sections/related_work.tex,yes,116,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/pogsk2023.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),parallelism with Taguchi-orthogonal communication~\cite{pogsk2023}.
hpe_agsk2025,sections/related_work.tex,yes,118,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/hpe_agsk2025.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),\agsk{}'s adaptation~\cite{hpe_agsk2025} to a reinforcement-learned
nomer2021gskrl,sections/related_work.tex,yes,123,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/nomer2021gskrl.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),one~\cite{nomer2021gskrl}.
zhong2021gskhho,sections/related_work.tex,yes,125,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/zhong2021gskhho.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),"into DE~\cite{zhong2021gskhho}, and the junior-phase operator into a"
liang2024gskwoa,sections/related_work.tex,yes,126,The GSK Family: From Fixed Parameters to Adaptive Configuration,GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,PASS,evidence_cards/liang2024gskwoa.md,mechanism-discussion-only,yes - verified mechanism discussed at cite site (manual check 2026-07-11),whale-optimization host~\cite{liang2024gskwoa}; composite designs extend the family to
