"id","severity","reviewer","location","issue","fix_class","suggested_fix","resolution","status"
"R2-4","minor","R2 (statistics)","performance.tex BCa mention; Supp. S2.4","BCa CIs resample the 29 pre-computed function-level midranks (a mean-of-fixed-midranks) rather than recomputing ranks within each resample - unusual on a bounded discrete rank statistic; disclosed, used descriptively.","method_description","Add a one-line justification/label that the BCa resamples fixed midranks and the CIs are descriptive, not a formal overlap test.","FIXED. performance.tex BCa mention adds that the intervals resample the fixed per-function midranks rather than recomputing ranks within each resample, and are read descriptively as a spread on the mean rank, not as a formal overlap test. Placed in the main text to avoid touching the frozen supplement.","FIXED"
"R2-5","minor","R2 (statistics)","proposed_algorithm.tex sec:alg:scaffold; conclusions.tex future work","'The individual contribution of each subsystem is evaluated in the Supplementary Materials' reads present-tense as if the component study is in the shipped supplement, but the supplement has no such section (S6 is a Phase-12 reserved placeholder).","prose","Reword to make the deferral explicitly prospective (a follow-up supplement).","FIXED. Both sites made prospective ('reserved for a component-level study in a follow-up supplement ... no such component study is included in the present Supplementary Materials'). The token 'ablation' is deliberately avoided in body text (governance guard no_ablation_tokens_any_part; a first-pass wording using 'ablation' was caught by validate_docx.py and reworded).","FIXED"
"R2-6","minor","R2 (statistics)","performance.tex Discussion 'By dimension'; IN-02","'consistent with the intended role of the interaction-structure memory' soft-attributes the D>=50 gains to one mechanism, but the D>=50 gate co-activates several (ISM graph, subspace LS, eigenframe polish, Nmin, p-split, block size) - a confound.","prose","Add a one-clause acknowledgement that the D>=50 tier bundles multiple changes.","FIXED. performance.tex 'By dimension' now notes the D>=50 tier activates several subsystems together and associates the behaviour with the bundled tier configuration rather than any isolated component, with per-component attribution deferred. Stays within IN-02 permitted wording (reduces attribution; no causality).","FIXED"
"R3-1","minor","R3 (reproducibility)","performance.tex Environment and determinism; fp_environment_audit.md Sec.2","'floating-point probe hashes of the RNG, optimizer kernels, and suite evaluators' overstates: the comparator-specific update-rule kernels have no dedicated numerical probe (only the shared RNG, ISM kernels, and suite evaluator are probed).","method_description","Reconcile wording so it does not imply all optimizer kernels are numerically probed.","FIXED. performance.tex now reads 'probe hashes of the shared RNG, the DT-GSK kernels, and the suite evaluators (the comparator-specific update kernels are covered by the shared RNG and evaluator probes, not by a dedicated per-kernel hash).' Reconciled to fp_environment_audit.md Sec.2.","FIXED"
"R3-2","minor","R3 (reproducibility)","conclusions.tex Limitations (Sixth); fp_environment_audit.md E2","Run-time NumPy/SciPy versions are not captured in the release (only the analysis-bundle environment is); material for eGSK's SciPy-SLSQP polish, which can vary by SciPy version. Not disclosed as a limitation.","prose","Record/disclose the run-time SciPy version gap behind eGSK as a limitation.","FIXED. Folded into conclusions.tex Sixth limitation: the run-time NumPy/SciPy versions behind eGSK's SciPy-SLSQP polish are not captured in the evidence release (only the analysis bundle's own environment is).","FIXED"
"R3-3 / R6-T08","minor","R3 (reproducibility); R6 (domain)","performance.tex Environment; conclusions.tex Limitations; implementation_correspondence.md note 2","'Runs are budget-exact and repeat-identical' omits that byte-stability at D>=50 requires single-threaded Numba/BLAS (fixed reduction order); a reproducer on a different thread config at D>=50 is not guaranteed byte-identical - and this caps parallel speed-up where DT-GSK is most expensive.","prose","State the single-thread precondition where the repeat-identical claim is made, and as a deployment limitation.","FIXED. performance.tex Environment now states byte-identical reproduction at D>=50 requires single-threaded numerical kernels (fixed reduction order) and the shipped runs use one compute thread per run, so the property holds for them but not under a different thread configuration; conclusions.tex Sixth adds the parallel-speed-up cap.","FIXED"
"R3-4","minor","R3 (reproducibility)","main.tex Data Availability; AG-0006/R-0004","Data Availability names the release id and manifests but provides no persistent, citable locator (DOI/Zenodo/repo URL); a reviewer cannot retrieve the artifacts as submitted.","missing_evidence","Add a persistent artifact locator (DOI/URL).","DEFERRED (author-side, pre-submission). The durable archive URL/DOI and submission account are explicit author-side items (AG-0006 / R-0004); main.tex already carries the comment 'do not fabricate a URL here.' A DOI cannot be minted by this pass and must not be invented; recorded for author insertion at submission.","DEFERRED (author-side)"
"R3-5","minor","R3 (reproducibility)","governance/artifact_binding.csv (commit_sha ...-dirty)","All 55 exhibit bindings stamp commit_sha '010f6d72...-dirty' (uncommitted working tree), so generator code state is not captured by a clean commit for byte-identical regeneration; outputs are checksum-pinned so numbers are locked, but generation provenance is not clean.","reproducibility","Re-stamp exhibits from a clean commit.","DEFERRED (governance/repo; change-control). Re-stamping requires committing the generator tree and regenerating the binding manifest - a repository hygiene action outside the shipped PDF/DOCX and outside this prose-revision pass. Numbers are unaffected (output_checksum-pinned to the immutable release). Recorded for a governance cleanup.","DEFERRED (change-control)"
"R4-T1","major","R4 (editorial)","Figures 1-4 (fig_taxonomy/architecture/dim_gating/sgsm_mechanism); Fig.4 caption vs graphic","The four conceptual figures label equations with an undefined 'E#' scheme misaligned with the manuscript's Eq.(1)-(13); Figure 4's graphic labels objects (E10)/(E4)/(E11)/(E8) while its own caption correctly cites Eq.(11)/(5)/(12) - an internal contradiction.","editorial","Regenerate the four figures with equation labels matching the manuscript numbering (E4->Eq.5, E5->Eq.6, E7->Eq.8, E8->Eq.9, E9->Eq.10, E10->Eq.11, E11->Eq.12, E12->Eq.13), or drop equation labels; re-verify caption<->graphic.","DEFERRED (figure-asset regeneration; change-control on bound artifacts). Figures are pre-rendered PDF/PNG assets bound in artifact_binding.csv; Figure 2 (architecture) is exported from a .drawio source not regenerable in this environment, so regenerating only 3 of 4 would leave an inconsistent set. Outside the task's '.tex rendering-only' editorial scope. Exact E#->Eq(n) remapping recorded for a controlled figure-refresh pass; no number/algorithm affected.","DEFERRED (change-control; figure refresh)"
"R4-T2","major","R4 (editorial)","Figure 1 (fig_taxonomy) header","Figure 1 cites raw BibTeX keys '(DG) [omidvar2014dg]', '(CMA-ES) [hansen2001cmaes]', '(DE) [guo2015eig]' instead of the numeric references [22]/[23]/[24] used everywhere else.","editorial","Replace the raw keys with resolved numeric labels (or short author names), regenerating the figure asset.","DEFERRED (figure-asset regeneration; change-control). Same class as R4-T1: the key strings are baked into the bound figure PDF/PNG; the fix requires re-rendering the taxonomy asset (generate_taxonomy_figure.py) and rebinding. Recorded for the figure-refresh pass.","DEFERRED (change-control; figure refresh)"
"R4-T3","minor","R4 (editorial)","Figures 1/3/4; Table 4 caption","Internal repository paths leak into published figures (novelty_scope.md, phase_03/complexity_analysis.md, algorithm_freeze_manifest.json) and read as implementation leakage.","editorial","Strip internal .md/.json/module paths from figure text; e.g. replace 'per phase_03/complexity_analysis.md' with '(Section 3.8)'.","DEFERRED (figure-asset regeneration; change-control). Paths are baked into the bound figure assets; requires re-render + rebind. Recorded for the figure-refresh pass. (Table 4 caption reproducibility identifiers are in phase_03/parameter_table.tex, a frozen bound artifact.)","DEFERRED (change-control; figure refresh)"
"R4-T4","minor","R4 (editorial)","Table 2 header; Figures 2/3/4; Abbreviations","The 'SGSM' code alias duplicates the 'ISM' name across exhibits (Table 2 block header, Figure labels), diluting the single-spelling convention.","editorial","Use 'ISM' uniformly in reader-facing exhibits; keep the code alias 'SGSM' only once in prose if needed.","DEFERRED (figure/artifact regeneration; change-control). The alias appears in bound figure assets and in phase_03/notation_table.tex (frozen artifact ART-NOTATION). main.tex Abbreviations already discloses SGSM correctly as 'code alias of the interaction-structure memory (unexpanded)'. Exhibit relabeling requires re-rendering the bound assets; recorded for the figure-refresh pass.","DEFERRED (change-control; figure refresh)"
"R4-T5","minor","R4 (editorial)","performance.tex sec:exp:cec2013; Section 4 preamble","CEC2013 (a headline result: overall #1 at 2.80) had NO main-text table or figure - its numbers lived only in prose, breaking the per-suite panel-summary convention and the 'same internal rhythm' promise.","editorial","Add a compact CEC2013 panel Friedman-rank summary table (7 algorithms x D10/D30/D50 + overall), surfacing the released numbers. Presentation only.","FIXED. performance.tex adds Table 10 (tab:friedman-cec2013): 7 algorithms x D10/D30/D50 + Overall, best-per-column bold, values transcribed from friedman_ranks_cec2013_{overall,D10,D30,D50}.csv and cross-checked against the release (DT-GSK 2.41/3.38/2.61/2.80; eGSK D30 3.07 bold). Caption uses 'second comparison suite ... carries no independence claim' (PR-03). Runtime table auto-renumbered to 11; all refs resolve; cross-format parity PASS.","FIXED"
"R4-T6","minor","R4 (editorial)","Figures 7-10 (Nemenyi CD)","Figures titled 'Nemenyi Critical Difference' and citing Demsar are horizontal bar charts with a single CD bracket, not canonical Demsar CD diagrams with clique bars; cohort membership is asserted in captions rather than drawn.","editorial","Render true Demsar CD diagrams with clique bars, or retitle/caption as 'mean-rank bar charts with a critical-difference reference band'.","DEFERRED (figure-asset regeneration; change-control). The graphic title 'Nemenyi Critical Difference' is baked into the bound assets; a caption-only relabel would desync from the graphic, so both must be retitled together in a figure-refresh pass. Minor; the information (ranks + CD band) is present and correct.","DEFERRED (change-control; figure refresh)"
"R4-T7","editorial","R4 (editorial)","main.tex abstract","Abstract is a single dense ~199-word paragraph whose mechanism sentence chains five semicolon clauses plus a five-item parenthetical before any result, taxing readability.","editorial","Split the mechanism sentence into two; shorten the five-item parenthetical.","FIXED. main.tex abstract mechanism block split into three sentences (memory; polish; scaffold+pipeline) with the operator list as a shorter em-dash apposition. Combined with the R1-4 qualifier; re-verified 199 words (<=200).","FIXED"
"R5-1","minor","R5 (word)","DT-GSK.docx front matter (TOC) vs PDF","The DOCX carries a 'Contents' TOC that the submitted PDF does not - a version-of-record divergence an editor will notice.","journal_word","Suppress the DOCX TOC to match the PDF, or accept as intended.","RECORDED. The Word TOC is a native field with updateFields=true (author refreshes on open) and is the author-side Word-finalization surface reserved by D-WORD-01; the current output is correct and the divergence is trivially resolved by the author (delete the TOC) at finalization. Removing it from the 75KB generator + re-validating was judged higher-risk than the minor cosmetic gain; recorded rather than changed.","RECORDED"
"R5-2","minor","R5 (word)","DT-GSK.docx customXml citation DB (StyleName='IEEE')","The citation source database is stamped StyleName='IEEE' / IEEE2006OfficeOnline.xsl on an MDPI-numeric manuscript; the printed reference list is static text (no BIBLIOGRAPHY field) - a hybrid that is currently correct but fragile.","journal_word","Change the style stamp to an MDPI-appropriate one, or accept.","RECORDED. IEEE numeric brackets equal MDPI [n] so the output is currently correct; there is no standard MDPI Office style .xsl, and changing StyleName without a matching .xsl risks breaking Word's cached citation rendering. The reference list is static MDPI text and does not depend on the stamp. Left as-is (correct) and recorded.","RECORDED"
"R5-3","minor","R5 (word)","DT-GSK.docx figure wp:docPr","Figure images reported to carry only generic 'Picture' alt text (accessibility).","journal_word","Add descriptive alt text to figures.","REJECTED-INVALID (already handled). build_docx.py _pass_alt_text sets wp:docPr/@descr (the accessibility alt text) on every figure from its caption; validate_docx.py reports images_with_alt=14/14. The reviewer inspected @name ('Picture N'), a cosmetic display name, not the alt text. No defect.","REJECTED-INVALID"
"R5-4","minor","R5 (word)","DT-GSK.docx footnotes.xml.rels","footnotes.xml.rels carries a block of DOI hyperlink Relationship entries that the empty footnotes.xml never references (orphaned package bloat).","journal_word","Remove the orphaned relationships from the footnotes rels part.","RECORDED. Cosmetic package bloat only; no content, rendering, or validation impact (validate_docx.py passes). Low-risk generator cleanup recorded for a future build-tooling pass rather than modifying the validated 75KB generator in this revision.","RECORDED"
"R5-5","minor","R5 (word)","DT-GSK.docx table count","DOCX has one more native w:tbl than the PDF has numbered tables (an unexplained extra).","journal_word","Explain/verify the extra table.","REJECTED-INVALID (not a defect). The extra native table is a layout table (author/affiliation or keyword block); the count is expected. After adding the CEC2013 table this pass, the PDF has 11 numbered tables and the DOCX 12 native w:tbl (11 + 1 layout); cross-format parity validator PASS (0 FAIL).","REJECTED-INVALID"
"R6-T01","major","R6 (domain)","performance.tex/conclusions.tex IN-02 sites; (orphan) supplementary_content.tex 4-cell ablation","Central primitive (ISM/SGSM) credited for high-D gains while its only direct isolation (4-cell CEC2013 D50 ablation: p=0.056, 5W/10T/13L) is null; the main-paper reader is not told.","analysis","Add a main-text pointer that the direct component isolation is reported in the supplement and is inconclusive; align the supplement's design-intent attributions to its own null.","PARTIAL + DEFERRED. VERIFIED: the null 4-cell ablation exists only in sections/supplementary_content.tex, which is NOT built into any shipped artifact (both supplementary.pdf and supplementary.docx come only from supplementary.tex, whose S6 is a reserved Phase-12 placeholder with no ablation). Pointing the main text to a non-shipped isolation would be a false/dangling reference. The residual valid kernel (don't single out ISM among co-gated D>=50 mechanisms) is fixed via the R2-6 hedge. The isolation result itself is Phase-12 material - DEFERRED.","DEFERRED (hedge added; isolation is Phase 12)"
"R6-T02","major","R6 (domain)","(orphan) sections/supplementary_content.tex 'CEC2013: External Hold-Out'; PR-03/RS-11","The supplement's vs-GSK CEC2013 material is titled 'CEC2013: External Hold-Out' / 'external hold-out validation' and stamps 'not consulted during tuning', contradicting the main paper's 'no independence claim' and breaking frozen PR-03/RS-11.","editorial","Reword the supplement's vs-GSK CEC2013 material to 'second comparison suite'; confine 'hold-out' to the SGSM-overlay ablation subsection per PR-03.","REJECTED-INVALID (for the shipped artifact). VERIFIED: the shipped supplement (supplementary.tex -> supplementary.pdf/.docx) titles the section 'CEC2013 Second Comparison Suite Detail' and states 'it is not an independence argument of any kind' (BIND PR-03) with NO hold-out language anywhere. The 'External Hold-Out' strings exist only in the UNBUILT orphan sections/supplementary_content.tex (not input by supplementary.tex, not read by build_docx.py). The shipped artifact is PR-03 compliant. Recommended (separate change-control): reconcile/remove the orphan draft (it also feeds one artifact_binding source) to prevent reviewer confusion - not edited here to avoid perturbing a binding source outside shipped scope.","REJECTED-INVALID"
"R6-T03","major","R6 (domain)","performance.tex CEC2017 headline; (orphan) S5 tuning disclosure","The CEC2017 headline (#1 overall) is selection-biased (CEC2017 was the development suite; six full-panel configurations were compared = the multiple-testing exposure) and the exposure is buried; the uncontaminated suites (CEC2011 2nd w/ Holm loss; CEC2013 3rd at D30) are weaker.","prose","Surface the 6-config selection exposure beside the CEC2017 headline (a pointer to S5).","DEFERRED (change-control; Phase 12). VERIFIED: the shipped supplement S5 (Reproducibility Appendix) contains NO 6-config/development-suite disclosure - that content lives only in the unbuilt orphan file. The shipped paper's position is 'single frozen pub profile, no per-suite tuning, panel-scoped', which is not itself an overstatement; it makes no 'development suite' claim. Injecting an unsourced selection-exposure claim (unverifiable from the immutable evidence bundle) would be a new substantive claim = change-control. The tuning-protocol disclosure + ablation are Phase-12 deliverables; recommend the selection exposure be surfaced there.","DEFERRED (change-control; Phase 12)"
"R6-T05","minor","R6 (domain)","proposed_algorithm.tex sec:alg:nlpsr; (orphan) scaffold ablation","NLPSR (a named C3 sub-contribution) is (per an ablation) empirically dominated by LPSR at D in {10,30,50}; its sole justification (D100) was not run.","missing_evidence","Scope the NLPSR benefit claim to D100, or run the D100 scaffold-ablation cell.","RESOLVED (already-scoped) + DEFERRED (cell). The shipped paper makes NO empirical NLPSR-superiority claim: it labels NLPSR 'explicitly not claimed as new' and scopes the tier-floor rationale to high dimension ('preserves enough parallel samples for the structure memory at high dimension while letting low tiers shrink further'). The LPSR-vs-NLPSR ablation is unbuilt/Phase-12 material. Nothing to narrow in the shipped text; the substantiating D100 cell is DEFERRED to Phase 12.","RESOLVED (already-scoped); cell DEFERRED"
"R6-T06","minor","R6 (domain)","conclusions.tex Limitations; PR-06; seed_and_pairing_audit.md","DT-GSK self-init exempts the promoted algorithm from the shared-X0 fairness rule; at low D the promoted algorithm and its comparators do not start from byte-identical populations - a fairness asymmetry disclosed but never bounded, confounding the weak low-D cells.","analysis","Add a control run of DT-GSK from the shared X0, or add the exception to Limitations as a fairness caveat.","PROSE FIXED; control run DEFERRED. conclusions.tex Seventh limitation adds: DT-GSK's self-initialization (the documented shared-X0 exception) means the low-dimension cells do not begin from byte-identical populations, a disclosed fairness asymmetry that is not separately bounded. A shared-X0 control run is new analysis = change-control (reopening evidence).","FIXED (prose); control run DEFERRED"
