exhibit_id,artifact_path,exists,manuscript_location,generator_script,generator_command,empirical_inputs,input_status,source_class,classification,notes
T22,papers/tables/T22.tex,yes,main:sections/performance.tex:636 AND supplement:sections/supplementary_content.tex:374,papers/scripts/generate_parametric_tables.py,python papers/scripts/generate_parametric_tables.py,results/paper_tables/T22.csv (parametric sweep n=3),MISSING; same promotion condition as T21,rendered,rewrite,DEFECT: same fragment included twice with CONTRADICTORY captions - main caption claims full study at CEC2017 D=50; supplement caption declares an n=3 3-function D=30 pilot lower-bounded at p=0.25. Caption conflict + duplicate inclusion must be resolved (Phase 4/7); availability conditional on promoted parametric release
ABL-*,papers/tables/ablation_<tag>.tex,no,none (prohibited in main; supplement only after Phase 12),papers/scripts/generate_latex_tables.py::gen_ablation_table,python papers/scripts/generate_latex_tables.py (after generate_ablation_matrix.py),results/ablation/ablation_matrix_rank_summary_<suite>[_D<dim>].csv from a PROMOTED ablation release,correctly absent,rendered,intentional-gap,Phase-12-only artifacts (Sections 1.3 and 6.10); none committed - correct state
FIG-taxonomy,papers/figures/taxonomy/metaheuristic_tree.pdf,yes,main:sections/literature_review.tex:42,papers/scripts/generate_taxonomy_figure.py,python papers/scripts/generate_taxonomy_figure.py,none (authored conceptual specification in script),n/a,conceptual,keep,Metaheuristic taxonomy tree; no empirical values; verify authored content in Phase 7 QA
FIG-taxonomy-preview,papers/figures/taxonomy/metaheuristic_tree_preview.png,yes,none (not referenced by any .tex),papers/scripts/generate_taxonomy_figure.py,python papers/scripts/generate_taxonomy_figure.py,none,n/a,conceptual,archive,Preview raster referenced only by superseded companion phase file
FIG-gsk-flowchart,papers/figures/concept/fig_gsk_flowchart.pdf,yes,main:sections/proposed_algorithm.tex,papers/figures/concept/fig_gsk_flowchart_src.tex,pdflatex fig_gsk_flowchart_src.tex,none (authored TikZ standalone),n/a,conceptual,keep,Base GSK control-flow flowchart (Fig 3); GSK-paper Fig-10 style
FIG-ismgsk-flowchart,papers/figures/concept/fig_ismgsk_flowchart.pdf,yes,main:sections/proposed_algorithm.tex,papers/figures/concept/fig_ismgsk_flowchart_src.tex,pdflatex fig_ismgsk_flowchart_src.tex,none (authored TikZ standalone),n/a,conceptual,keep,DT-GSK control-flow flowchart (Fig 4); additions bold-outlined; order matches Algorithm 1 and the code
FIG-nlpsr,papers/figures/traces/nlpsr_trajectory.pdf,yes,main:sections/proposed_algorithm.tex:395,papers/scripts/generate_nlpsr_trajectory.py,python papers/scripts/generate_nlpsr_trajectory.py,none (analytic curve computed from the NLPSR equation; no result files read),n/a,conceptual,keep,Equation-driven illustration; confirm plotted formula matches frozen code in Phase 3
FIG-friedman,papers/figures/ranks/friedman_gsk_family.pdf,yes,main:sections/performance.tex:452,papers/scripts/generate_rank_charts.py,python papers/scripts/generate_rank_charts.py,results/paper_tables/T16.csv,MISSING (Phase 6 task 23 export),rendered,regenerate,Friedman rank bar chart; committed figure currently unverifiable against an admissible bundle
FIG-nemenyi,papers/figures/ranks/nemenyi_cd_d50.pdf,yes,main:sections/performance.tex:474,papers/scripts/generate_nemenyi_cd.py,python papers/scripts/generate_nemenyi_cd.py,papers/tables/T16.tex (D50 column - a RENDERED LaTeX table parsed by regex),DEFECT: rendered artifact used as data source (violates Section 6.5); known issue - Phase 7 re-points it at the authoritative machine-readable rank output,rendered,regenerate,Nemenyi CD diagram D50 (k=7 N=29 q0.05=2.949); flag recorded as asset_map.md F-12.1
FIG-conv-2017-D10-a,papers/figures/convergence/all_funcs_D10_a.pdf,yes,main:sections/performance.tex:590,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,benchmarks/cec_reference_results/cec2017/dt-gsk/gen_logs/CheckpointErrors_* + cec2017/gsk/curves/Figure_*,AVAILABLE in reference tree (release ID pending manifest),derived+rendered,regenerate,Two-series (GSK vs DT-GSK) design; CR-0001 requires seven-curve family overlay before Phase 7 rendering
FIG-conv-2017-D10-b,papers/figures/convergence/all_funcs_D10_b.pdf,yes,main:sections/performance.tex:601,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,same as FIG-conv-2017-D10-a,AVAILABLE,derived+rendered,regenerate,CR-0001 seven-curve redesign required
FIG-conv-2017-D10-c,papers/figures/convergence/all_funcs_D10_c.pdf,yes,main:sections/performance.tex:608,papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,same as FIG-conv-2017-D10-a,AVAILABLE,derived+rendered,regenerate,CR-0001 seven-curve redesign required
FIG-conv-2017-D50-a,papers/figures/convergence/all_funcs_D50_a.pdf,yes,none (not referenced by any .tex),papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,same as FIG-conv-2017-D10-a,AVAILABLE,derived+rendered,archive,ORPHAN rendered artifact - emitted by the same pass as D10 grids but never included; exhibit plan decides fate
FIG-conv-2017-D50-b,papers/figures/convergence/all_funcs_D50_b.pdf,yes,none (not referenced by any .tex),papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,same as FIG-conv-2017-D10-a,AVAILABLE,derived+rendered,archive,ORPHAN rendered artifact
FIG-conv-2017-D50-c,papers/figures/convergence/all_funcs_D50_c.pdf,yes,none (not referenced by any .tex),papers/scripts/generate_full_convergence.py,python papers/scripts/generate_full_convergence.py,same as FIG-conv-2017-D10-a,AVAILABLE,derived+rendered,archive,ORPHAN rendered artifact
FIG-conv-2011-a,papers/figures/convergence/cec2011_a.pdf,yes,supplement:sections/supplementary_content.tex:163,papers/scripts/generate_cec2011_convergence.py,python papers/scripts/generate_cec2011_convergence.py,benchmarks/cec_reference_results/cec2011/dt-gsk/gen_logs/CheckpointErrors_* + cec2011/gsk/curves/Figure_*,AVAILABLE in reference tree,derived+rendered,regenerate,CR-0001 seven-curve redesign required
FIG-conv-2011-b,papers/figures/convergence/cec2011_b.pdf,yes,supplement:sections/supplementary_content.tex:180,papers/scripts/generate_cec2011_convergence.py,python papers/scripts/generate_cec2011_convergence.py,same as FIG-conv-2011-a,AVAILABLE,derived+rendered,regenerate,CR-0001 seven-curve redesign required
FIG-conv-2011-c,papers/figures/convergence/cec2011_c.pdf,yes,supplement:sections/supplementary_content.tex:188,papers/scripts/generate_cec2011_convergence.py,python papers/scripts/generate_cec2011_convergence.py,same as FIG-conv-2011-a,AVAILABLE,derived+rendered,regenerate,CR-0001 seven-curve redesign required
FIG-conv-2013-a..d,papers/figures/convergence/cec2013_{a..d}.pdf,no,none yet (planned supplement exhibit),papers/scripts/generate_cec2013_convergence.py,python papers/scripts/generate_cec2013_convergence.py --dimension 30,benchmarks/cec_reference_results/cec2013/<opt>/{gen_logs;curves} (script also carries results/ fallbacks that the strict guard must wrap),AVAILABLE in reference tree,derived+rendered,regenerate,Not yet committed; required scope = D30 (Section 8.5); CAUTION script writes dimension-less filenames so a second dimension pass silently overwrites D30 output; CR-0001 seven-curve redesign required
FIG-trace-ace,papers/figures/traces/ace_probability_F14_D10.pdf,yes,supplement:sections/supplementary_content.tex:492,papers/scripts/generate_trace_figures.py,python papers/scripts/generate_trace_figures.py,results/dt-gsk/.../gen_logs/GenLog_dt-gsk_F14_D10_Run1.csv (staging),BLOCKED: staging inputs no longer exist under results/ (thinned) and the immutable release contains NO GenLog_* files; requires a promoted GenLog diagnostic release (Section 8.5),rendered,verify,ORPHAN derivative - committed PDF whose source data vanished; if no validated diagnostic release is promoted the figure must be marked unavailable and removed from the supplement
FIG-trace-accept,papers/figures/traces/accept_diversity_F14_D10.pdf,yes,supplement:sections/supplementary_content.tex:500,papers/scripts/generate_trace_figures.py,python papers/scripts/generate_trace_figures.py,same as FIG-trace-ace,BLOCKED (same),rendered,verify,ORPHAN derivative - same condition as FIG-trace-ace
FIG-trace-adaptive,papers/figures/traces/adaptive_params_all_D10.pdf,yes,supplement:sections/supplementary_content.tex:508,papers/scripts/generate_adaptive_params_panel.py,python papers/scripts/generate_adaptive_params_panel.py,results/dt-gsk/.../gen_logs/GenLog_* bulk scan (staging),BLOCKED (same GenLog promotion condition),rendered,verify,ORPHAN derivative - same condition as FIG-trace-ace
FIG-conv-png-legacy,papers/figures/convergence/F01_D30.png F01_D50.png F04_D30.png F04_D50.png F15_D30.png F15_D50.png F22_D30.png F22_D50.png,yes,none (not referenced by any .tex; named only in superseded companion PHASE_3 file),unknown legacy per-function export,unknown,unknown legacy two-series exports,n/a,rendered,archive,8 legacy PNGs; raster; not part of the current exhibit set
FIG-diagrams-dir,papers/figures/diagrams/,yes (empty),none,none yet,none,none,n/a,n/a,verify,Expected method architecture/data-flow diagram family (Section 8.4) has no committed artifact; frozen exhibit plan (Phase 3) decides whether to author it
