citation_key,word_tag,tag_scheme,bibtex_entry_type,word_source_type,word_source_store,admissible,status,notes
mohamed2021novel,mohamed2021novel,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
storn1997differential,storn1997differential,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
zhang2009jade,zhang2009jade,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
tanabe2013shade,tanabe2013shade,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
tanabe2014improving,tanabe2014improving,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
mohamed2017lshadespacma,mohamed2017lshadespacma,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
hansen2001cmaes,hansen2001cmaes,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
omidvar2014dg,omidvar2014dg,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
guo2015eig,guo2015eig,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
awad2016problem,awad2016problem,"bibkey-identity (deterministic, stable across builds)",techreport,Report,customXml b:Sources (sources.xml) - generated in the Word build phase,yes,admissible,"RESOLVED 2026-07-10 (CR-0005 / decision D-0009): correct bound-constrained CEC2017 definitions report supplied + verified; key admissible, CEC2017 suite-definition role; see evidence_cards/awad2016problem.md"
das2011cec2011,das2011cec2011,"bibkey-identity (deterministic, stable across builds)",techreport,Report,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
liang2013cec2013,liang2013cec2013,"bibkey-identity (deterministic, stable across builds)",techreport,Report,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
awad2017ensemble,awad2017ensemble,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
li2013lsgo,li2013lsgo,"bibkey-identity (deterministic, stable across builds)",techreport,Report,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,"CR-0020 / ruling R8: row added 2026-07-29 (CEC2013-LSGO suite definition). Admissible; no citation site exists in the manuscript sources yet, so no Word citation is generated. Admissible with no admissibility hold of any kind."
yue2020cec2020,yue2020cec2020,"bibkey-identity (deterministic, stable across builds)",techreport,Report,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,CR-0020 / ruling R8: row added 2026-07-29 (CEC2020 suite definition). The bib entry pre-existed; only the lockstep rows were missing. Admissible with no admissibility hold of any kind.
molina2018shadeils,molina2018shadeils,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,CR-0020 / ruling R8: row added 2026-07-29 (published SHADE-ILS results for LM-06). Admissible with no admissibility hold of any kind.
latorre2013mos,latorre2013mos,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,CR-0020 / ruling R8: row added 2026-07-29 (published MOS results for LM-06). Admissible with no admissibility hold of any kind.
brest2017single,brest2017single,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
chen2020cbo,chen2020cbo,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
kaveh2021pgo,kaveh2021pgo,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
arini2022gjojos,arini2022gjojos,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
hu2022qcsca,hu2022qcsca,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
khalfi2023csm,khalfi2023csm,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
tang2024fowfo,tang2024fowfo,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
zhou2021iade,zhou2021iade,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
yao1999evolutionary,yao1999evolutionary,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
nelder1965simplex,nelder1965simplex,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
gao2012implementing,gao2012implementing,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
jones1995fitness,jones1995fitness,"bibkey-identity (deterministic, stable across builds)",inproceedings,ConferenceProceedings,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
kolda2003directsearch,kolda2003directsearch,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
auer2002finite,auer2002finite,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
fialho2010adaptive,fialho2010adaptive,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
demsar2006statistical,demsar2006statistical,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
friedman1937use,friedman1937use,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
wilcoxon1945individual,wilcoxon1945individual,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
holm1979simple,holm1979simple,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
benjamini1995controlling,benjamini1995controlling,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
vargha2000critique,vargha2000critique,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
efron1993introduction,efron1993introduction,"bibkey-identity (deterministic, stable across builds)",book,Book,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
david_order_statistics,david_order_statistics,"bibkey-identity (deterministic, stable across builds)",book,Book,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
wolpert1997nfl,wolpert1997nfl,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
del2019bio,del2019bio,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
hussain2019metaheuristic,hussain2019metaheuristic,"bibkey-identity (deterministic, stable across builds)",article,JournalArticle,customXml b:Sources (sources.xml) - to be generated in the Word build phase,yes,ready_no_citation_generated,
