change_id,reason,evidence,affected_phases,affected_claims,affected_artifacts,rerun_plan,approver,status
CR-0011,"Duplicate non-finite population scan, twice per evaluate call, on every suite. benchmark_adapter/problem.py as_population ran np.all(np.isfinite(pop)) and every suite dispatcher (cec2011/cec2013/cec2017/cec2020/cec2013lsgo functions.py) repeated the identical scan on the same array immediately after. Microbenchmarked at NP=100/D=1000: the scan is 18.42 us of as_population's 18.60 us (99% of its cost; comparable to a full pop.sum() over 1e5 doubles at 23.14 us), while ascontiguousarray is only 0.12 us. Scanning twice therefore cost ~1.1 s per LSGO run.","as_population gains check_finite: bool = True; only the duplicate pass is elided and only at the two real-suite adapter call sites (factory.py, both inside the evaluator), which hand pop straight to a suite dispatcher that repeats the scan. The sphere call site keeps the default True. Shape/dtype/emptiness checks are ALWAYS performed. Verified: (1) non-finite input still raises on BOTH the adapter path (via the suite dispatcher) and the direct as_population path; (2) 1-D / empty / wrong-D inputs still raise with check_finite=False; (3) bit-identical best_fitness for ALL SEVEN algorithms, pre vs post, hex-exact (F1 D1000, seed 20240620, MaxFES=60k); (4) full suite 488 passed. Measured gain, all 7 improved (7/7 same direction, p~0.016 by chance): gsk 1.13x, agsk 1.09x, apgsk 1.11x, fdb-agsk 1.13x, atmals-gsk 1.06x, egsk 1.12x, dt-gsk 1.17x. Magnitude carries measurement uncertainty (this machine shows up to 22% run-to-run spread); the DIRECTION is unambiguous. New SHA-256 prefixes: problem.py 2e47bff135a81443, factory.py c2d53f59ab3fc770.","NONE. Output is bit-identical, so no evidence release is regenerated: rel-2026-07-20-67d9345f9 remains valid and reproduces bit-for-bit.","NONE. No number, rank, p-value, equation, figure or table value changes. A redundant VALIDATION pass was removed; no arithmetic was touched.",src/gsk_family/benchmark_adapter/problem.py (check_finite parameter) and src/gsk_family/benchmark_adapter/factory.py (opt-out at the two real-suite evaluator call sites). No manuscript-printed value depends on either file.,"NONE - bit-identical, certified for all seven algorithms plus the safety-regression checks above.",Author decision 2026-07-25 (open permission to tune LSGO without changing algorithm logic),"APPROVED 2026-07-25. Removes a duplicated validation pass; finiteness is still enforced on every path. Benefits all seven algorithms and all five suites. NOTE the accepted tradeoff: on the campaign path the suite dispatcher is now the sole non-finite guard, which is why the check was made optional rather than deleted -- a future refactor that bypasses the dispatcher must re-enable check_finite."
CR-0012,"BUG-RESUME-01: resume mode silently corrupted the per-dimension summary CSV. Reported by the author 2026-07-25 from the sibling project (shade-ils/cec2013lsgo: a resume that filled 6 missing F8 runs left the D1000 summary containing ONLY F8; 12 other functions were dropped). Confirmed present here for all seven algorithms and all five suites. Root cause: run_experiment.py builds `artifacts` empty (:1356) and appends only NEW runs (:1630) because already-complete runs are skipped without reconstruction (:1366-1371), then output.py write_summary_tables opened <alg>_<suite>_D<dim>.csv with mode 'w' and wrote only those functions. SECOND FACE not in the original report and more dangerous: a PARTIALLY resumed function was summarised over its new runs alone, so 6 new runs of a 25-run cell yielded Best/Median/Mean/Worst/SD over 6 values -- a plausible-looking wrong row rather than a visibly missing one. The cec2011 single rollup had the identical truncation defect. per_run.csv was always correct (it merges existing rows at :1355).","Fix designed to never perturb a number it did not recompute. The naive 'rebuild everything from per_run.csv' approach was REJECTED after measurement: per_run.csv stores %.10e-rounded values while the artifact path summarises full float64, so rebuilding shifts Mean/SD in the 10th significant digit -- verified on real dt-gsk LSGO data, 5 of 20 fields differed (e.g. F3 Mean 2.0522500209E+01 vs 2.0522500208E+01). Best/Median/Worst always matched. That drift never reaches manuscript precision (tables print ~3 significant digits) but would break file hashes on every frozen summary it rewrote. Implemented instead: (a) _read_existing_summary carries untouched rows over BYTE-FOR-BYTE; (b) fully covered cells keep the exact artifact computation; (c) only partially-resumed cells fall back to the complete banked values via new bank_counts/bank_values arguments derived from per_run.csv by _bank_from_rows (basis-aware: best_fitness for raw_objective, the precomputed error column otherwise). Verified: RED-then-GREEN -- the new regression test fails on pre-fix code reproducing the exact symptom ('resume dropped functions: kept [8], expected [1, 2, 3, 8, 15]') and passes after; 3 new tests in tests/regression/test_resume_summary_not_truncated.py cover truncation, subset-statistics, and the cec2011 rollup; full suite 491 passed (was 488); end-to-end against the real runner -- F1/F2/F3 run, then a resume touching only F2 retained all three functions. New SHA-256 prefixes: output.py 078cce58df59be78, run_experiment.py b11a82e97e48a628.",NONE. No existing artifact is rewritten by this change: untouched summary rows are preserved byte-for-byte and fully-covered cells keep the identical artifact computation. rel-2026-07-20-67d9345f9 remains valid.,"NONE. No released number, rank, p-value, equation, figure or table value changes. The defect could only manifest on a FUTURE resume; no frozen evidence was produced by a resume.","src/gsk_family/runners/output.py (merge-instead-of-truncate, _read_existing_summary, bank_counts/bank_values), src/gsk_family/runners/run_experiment.py (_bank_from_rows helper, both call sites), tests/regression/test_resume_summary_not_truncated.py (new), docs/development/BUG_resume_summary_truncation.md (diagnosis).","NONE - no experiment re-executed. NOTE: any summary CSV previously produced BY A RESUME is suspect and should be regenerated from per_run.csv, which is authoritative and was never affected.",Author decision 2026-07-25 (bug reported by author; fix + regression test requested),APPROVED 2026-07-25. Data-integrity fix. Removes a silent corruption path that would have hit the dt-gsk CEC2013LSGO campaign on its next resume (it stands at 100/375 runs).
CR-0013,"Family-wide acceleration Wave 1 (bit-identical): four structural memory-traffic removals shared by the classic optimizers and the Threefry stream. W1.1 _draw direct-fill: every large draw allocated an intermediate block array and paid a full-size memcpy into `out` (microbenched 56% of draw cost at >=300k doubles; ~70 GB redundant memcpy per dt-gsk LSGO run). Full blocks now generate straight into `out`; only the partial tail (need%4 doubles) uses a 4-double temp that becomes the reservoir. W1.3 single population buffer: gsk/agsk/apgsk/fdb-agsk began each generation with `pop = popold.copy()` and ended with `popold = pop.copy()` -- two full NP*D copies whose source and destination are byte-identical (no writer in between; verified per file). Replaced by one array with the ORIGINAL masked-scatter expression. W1.4 reduction helper: the second (dead) survivor gather and the arange allocated on every non-reducing generation removed; signature now single-array (unit test updated). W1.2 rand-plane buffer: the (3,NP,D) draw's F-order planes were strided-copied into FRESH allocations by the kernel's ascontiguousarray each generation; now copied once into a persistent C-buffer (prefix-sliced for NLPSR-shrinking NP) so the kernel-side coercion is a free pass-through. Discovered by a 6-agent static-analysis workflow (47 findings) + an 84-cell cross-suite attribution ledger; every candidate microbenchmarked before coding (T1 rule).","Bit-identity certified at three levels. (1) By construction: W1.1 -- the fill kernel maps block index to a fixed quadruple independent of destination; _next_block advances by full_blocks+(1 if rem else 0) == (need+3)//4; the unconsumed reservoir tail holds the identical doubles, so copy_state snapshots are byte-unchanged; verified additionally by 80 trials x 150 adversarial mixed scalar/batch calls against an independent reimplementation of the old semantics (0 mismatches) and 37 RNG KATs. W1.2 -- layout-only: same doubles at the same (i,j); the draw itself is untouched. W1.3/W1.4 -- dead-copy/dead-value proofs verified in source per file. (2) NEW GOLDEN-VALUES MATRIX (tests/regression/test_family_golden_values.py): 7 optimizers x 6 suites, seed 20240620, hex-exact best_fitness pins minted from PRE-Wave-1 HEAD -- all 42 green after every edit. (3) Full-budget hex identity: gsk/agsk/fdb-agsk LSGO D1000 @300k and gsk/apgsk cec2017 D100 @60k reproduce the pre-fix ledger's hex best_fitness exactly. Full suite 575 passed. Performance: microbenched savings ~15 us/FE at D=1000 for the classics (471+331 us/gen copies removed + 56% of draw cost); interleaved subprocess A/B (agsk LSGO, 3 reps alternating) median 1.07x faster with sharply reduced variance (old 54.7-87.2, new 58.4-61.9 us/FE); per the campaign's measurement rule, whole-run effects under ~1.3x are quoted as indicative only. New SHA-256 prefixes: threefry_rng.py 71c6a4c53202fb37, gsk.py 8513b2d9420b2a33, agsk.py a5a65016d9ce6ba7, apgsk.py 986b5a2c9590e4e8, fdb_agsk.py 2cd08cb11fec7c14.",NONE. Output is bit-identical (hex-verified at small AND full measurement budgets); rel-2026-07-20-67d9345f9 remains valid and reproduces bit-for-bit.,"NONE. No number, rank, p-value, equation, figure or table value changes.","src/gsk_family/common/threefry_rng.py (W1.1), src/gsk_family/optimizers/{gsk,agsk,apgsk,fdb_agsk}.py (W1.2/W1.3/W1.4), tests/unit/test_agsk_helpers.py (new helper signature), NEW tests/regression/test_family_golden_values.py + fixtures/family_golden_values.json (certification backbone), docs/development/FAMILY_ACCELERATION_PLAN.md (campaign plan).",NONE - bit-identical. Golden fixtures are re-minted ONLY on a deliberate result-changing release.,"Author directive 2026-07-25 (tune all algorithms, all suites, without impacting logic; ultracode campaign)","APPROVED 2026-07-25. Wave 1 of the family-wide acceleration campaign; Wave 2 (dt-gsk: authorized _rng_3buf fused draw, trial-assembly fusion, dead-scan removal) and Wave 3 (suite dispatcher hoisting) planned in FAMILY_ACCELERATION_PLAN.md."
CR-0014,"Acceleration Wave 2.1: realized the author-authorized _rng_3buf fast path in DT-GSK as ONE fused flat core-stream draw. Production previously took three separate (N,D) draws per generation from rngs.core (both the linkage-off and scalar-rows branches of _dt_core.py); the pre-allocated (3*NP_init,D) buffer and its Generator.random(out=...) path were DEAD CODE -- unreachable because ReferenceRNG.uses_reference_matrix_order is a class attribute True for every generator, and the out= path would in fact have filled C-order, NOT reproducing the three column-major draws (the old B04 comment claiming 'no determinism break' was wrong; the guard protecting against it was load-bearing). The fused form draws rng_core.random(3*n) once and views segment k as reshape(D,N).T.","Bit-identical BY CONSTRUCTION: a shaped (N,D) draw is _draw(N*D) + reshape(D,N).swapaxes, so element [i,j] is the stream double at start+j*N+i; _draw is concatenation-consistent (Threefry doubles are a pure function of block index, the reservoir carries partial-block tails, so _draw(a)+_draw(b) consumes exactly the positions of _draw(a+b)); therefore segment k of the fused draw occupies exactly draw k's absolute stream positions, the identical reshape maps each element to the same 8 bytes, and the generator end state (counter + unconsumed tail) is unchanged. The .T views preserve the F-order layout downstream numba mask kernels always received. Certified: 13-substream dt KAT + 42-cell golden matrix + dt byte-stable pins (66 tests) green; full-budget hex best_fitness identity vs the pre-change ledger at cec2017 D50 (SGSM tier), cec2017 D100 and cec2013lsgo D1000 @300k -- all YES; full suite 575 passed. Performance: interleaved subprocess A/B (dt-gsk LSGO, 3 reps alternating stash/pop) median 1.07x faster (309 -> 289 us/FE); removes 2 Python draw dispatches + 2 allocations per generation. An uncontrolled spot-read suggested a large slowdown; the interleave showed the machine itself was ~2x slower than the ledger window -- ambient drift, not the change. All dead _rng_3buf plumbing (parameter, two pass-throughs, buffer allocation, stale B04 comment) removed. New SHA-256 prefix: _dt_core.py de86c59e0926266b.",NONE. Output is bit-identical (hex-verified at small and full budgets); rel-2026-07-20-67d9345f9 remains valid.,"NONE. No number, rank, p-value, equation, figure or table value changes.",src/gsk_family/optimizers/_dt_core.py only (draw fusion + dead-code removal).,NONE - bit-identical.,Author authorization 2026-07-25 (_rng_3buf explicitly authorized; full unfreeze in force but unneeded),"APPROVED 2026-07-25. Wave 2.1 of the family acceleration campaign. Remaining Wave-2 items (trial-assembly fusion, dead-scan/telemetry gates W2.3/W2.4/W2.6 pending consumer re-verification, linkage flatten cache) tracked in FAMILY_ACCELERATION_PLAN.md."
CR-0015,"Acceleration Wave 2.3/2.4/2.6: three dead-work removals in DT-GSK's per-generation loop, each applied only after re-verifying the 'no consumer' claim in source (the campaign plan's own warning). W2.3: the np.logical_or(D_J, D_S) into _dim_upd_buf was dead whenever the numba coverage kernel is active (the kernel reads D_J/D_S directly; the mask's only reader is the numpy fallback) -- an O(NP*D) scan per generation moved inside the fallback branch. W2.4: coverage_i's only consumers are the ACE coverage weight (ace_coverage_weighted=False in every shipped profile) and the mean_dim_coverage telemetry field, whose GenStats reach generation_callback only (verified: the callback call is inner-guarded and curve_callback takes (evals, best_f)); computation now gated on _need_coverage = ace_coverage_weighted or generation_callback present, with the DE coverage write and telemetry mean guarded (placeholder 0.0 is only reachable when the stats are discarded). W2.6: the accepted_displacements gather (ui[idx_imp]-pop[idx_imp], O(K*D)) has exactly two consumers -- the subspace-NM displacement buffer (_track_disp_vectors) and the SGSM update (interaction_state is not None); the DT2 shadow computes its own displacements (verified). Gather now gated on those consumers, eliminating it below D50 and under coordinate LS.","Bit-identical by dead-value proofs verified in source per surface. Certified: 42-cell golden matrix + dt byte-stable pins + 13-substream KAT + smoke incl. dt_diagnostics runner (generation_callback path exercises the coverage-computed branch) -- 124 targeted tests green; full-budget hex best_fitness identity vs the pre-change ledger at cec2017 D10 (ISM-off: BOTH new gates active), cec2017 D50 and cec2013lsgo D1000 @300k; full suite 575 passed. New SHA-256 prefix: _dt_core.py 5bd9e0837e2fd64d.",NONE. Output bit-identical; rel-2026-07-20-67d9345f9 remains valid. Diagnostics output is unchanged when generation_callback is present (coverage computed exactly as before on that path).,"NONE. No number, rank, p-value, equation, figure or table value changes.",src/gsk_family/optimizers/_dt_core.py only.,NONE - bit-identical.,"Author directive 2026-07-25 (family acceleration campaign, no logic impact)",APPROVED 2026-07-25. Wave 2 remainder tracked in FAMILY_ACCELERATION_PLAN.md: W2.2 trial-assembly fusion (new numba kernel) and W2.5 linkage-flatten cache; then Wave 3 suite-dispatcher hoisting.
CR-0016,"Acceleration Wave 2.2: fused DT-GSK trial assembly. The per-generation sequence np.copyto(ui, pop); ui[D_J] = vi_junior[D_J]; ui[D_S] = vi_senior[D_S] performed a full NP*D copy plus TWO boolean fancy-index gather/scatter pairs, each materialising index arrays and masked temporaries. Replaced by one branchy numba pass (_compose_trial_nb in _dt_subsystems/_numba_accel.py, cache=True fastmath=False, added to the warmup registry): out = D_S ? vi_senior : (D_J ? vi_junior : pop). NumPy fallback preserves the original sequence verbatim when numba is absent. Wave 2.5 (linkage-flatten cache) was REJECTED by inspection: the rebuild is ~20 small allocations + a 20-iteration loop per generation at D=1000 (<0.5% of runtime) and identity-based caching is medium-risk -- recorded as a ceiling line, not a target.","Bit-identical for EVERY mask combination, not only disjoint ones: the sequential writes end with vi_senior wherever D_S is True (written last), vi_junior where only D_J, pop where neither -- exactly the kernel's selection; pure selection, no arithmetic, no RNG. Certified: 42-cell golden matrix + dt byte-stable pins + 13-substream KAT green; full-budget hex best_fitness identity vs the pre-change ledger at cec2017 D10/D50/D100 and cec2013lsgo D1000 @300k -- all YES; full suite 576 passed (575 + the new kernel's coverage). Performance, honestly sized: synthetic microbench 2353->469 us/gen (NP=100, D=1000, 45%/45% masks); REAL captured call-site data (production densities D_J 0.1%, D_S 76.6%, NLPSR-shrunk NP=65) 436->124 us/gen (71.5% of the assembly surface) with outputs verified identical -- ~2% of an LSGO run, ~5% at D=100, so the interleaved whole-run A/B was correctly unresolvable (0.93 median with fully overlapping arms 208-239 vs 189-252 us/FE) per the campaign's <1.3x rule; the effect is claimed from the isolated measurements, not the whole-run read. New SHA-256 prefixes: _numba_accel.py 484f76ed92a8538f, _dt_core.py 3ce5db5291dcda4d.",NONE. Output bit-identical; rel-2026-07-20-67d9345f9 remains valid.,"NONE. No number, rank, p-value, equation, figure or table value changes.","src/gsk_family/optimizers/_dt_subsystems/_numba_accel.py (new kernel + warmup), src/gsk_family/optimizers/_dt_core.py (call site with fallback).",NONE - bit-identical.,"Author directive 2026-07-25 (family acceleration campaign, no logic impact)","APPROVED 2026-07-25. Closes Wave 2. Remaining campaign surface: Wave 3 suite-dispatcher hoisting + cec2013 transform reuse (microbench first); classics leftovers (atmals/egsk selection variants, W1.5 donor batch). See FAMILY_ACCELERATION_PLAN.md."
CR-0017,"Acceleration campaign close-out: classics leftovers applied, Wave 3 and two residual candidates REJECTED by measurement. Applied -- atmals-gsk: the full-population snapshot copied every generation was dead (popold is read-only until selection: _gsk_generation copies internally, _local_search touches only the fresh trial, the dim-1 path is read-only); the selection scatter now writes popold directly (~506 us/gen at D=1000). egsk: single population buffer (the loop-top copy and both selection-branch full copies were redundant; branch B rewritten as the in-place complement scatter pop[~parent_better]=trial[~parent_better] -- identical selected values; the late-stage IP-refine write-back retargeted to the single array) plus the W1.2 persistent rand-plane buffer. REJECTED with numbers -- W3.1 dispatcher hoisting: measured adapter+dispatch delta is 1.7 us/gen at cec2013 D50 and ~0 at cec2017 D100 (~0.1%); W3.2 cec2013 transform-temp reuse: the ENTIRE evaluate is 0.44-2.81 us/FE, so even full capture cannot clear the bar, and the surface is a KAT-locked FP-sensitive pipeline; W1.5 senior-donor draw batching: ~2 us/gen; W2.5 linkage-flatten cache: <0.5% surface, identity-caching medium-risk. All recorded as ceiling lines in FAMILY_ACCELERATION_PLAN.md.","Bit-identity certified: dead-copy proofs verified per file (all popold/pop readers and writers enumerated; egsk branch-B complement proven value-identical row-by-row); 42-cell golden matrix green after each file; full-budget hex best_fitness identity vs the pre-campaign ledger for atmals-gsk LSGO D1000 @300k, egsk LSGO D1000 @300k, atmals-gsk cec2011 native @30k, egsk cec2017 D100 @60k -- all YES; full suite 575 passed. New SHA-256 prefixes: atmals_gsk.py 6de97d9b66659e4b, egsk.py 6d917795814e9b98.",NONE. Output bit-identical; rel-2026-07-20-67d9345f9 remains valid.,"NONE. No number, rank, p-value, equation, figure or table value changes.","src/gsk_family/optimizers/atmals_gsk.py, src/gsk_family/optimizers/egsk.py, docs/development/FAMILY_ACCELERATION_PLAN.md (rejection ledger).",NONE - bit-identical.,"Author directive 2026-07-25 (family acceleration campaign, no logic impact)",APPROVED 2026-07-25. Closes the fix waves of the family acceleration campaign (CR-0013..CR-0017). Remaining deliverable: post-campaign ledger re-measure + written ceiling proof.
CR-0018,"Campaign close-out record for CR-0013..CR-0017: final certification + measured result + ceiling proof. Reason for a separate entry: the post-campaign 84-cell sequential re-measure reported 0.79-0.90x (i.e. APPARENTLY SLOWER) for all seven algorithms, including cells the campaign never touches. That reading is INVALID and must not be cited: it was machine drift, proven independently because FIXED workloads slowed by the same factor over the same period -- the unchanged 575-test suite 77.0s -> 110.0s (1.43x) and the unchanged 42-pin golden test 3.6s -> 7.1s. No optimizer edit can slow a suite dominated by non-optimizer tests; uniformity across untouched cells was the tell.","FINAL CERTIFICATION: 84 of 84 ledger cells (7 algorithms x cec2017 D10/30/50/100, cec2013 D10/50, cec2020 D10/20, cec2011 native x3, cec2013lsgo D1000) reproduce their pre-campaign best_fitness BIT-FOR-BIT, hex compared -- zero breaks. Plus 42-pin golden matrix, threefry + 13-substream KATs, dt byte-stable pins, 575-test suite green. rel-2026-07-20-67d9345f9 untouched and still reproducing; no rerun incurred and the authorized full unfreeze was never spent. FINAL PERFORMANCE (paired interleaved A/B vs baseline 428cf02e6, arms alternating within one time window, n=12, hex verified identical in every arm): gsk cec2013lsgo D1000 1.718x, dt-gsk cec2013lsgo D1000 1.440x, agsk cec2013lsgo D1000 1.205x, gsk cec2017 D100 1.076x; OVERALL PAIRED MEDIAN 1.280x. Methodological rule now load-bearing for this repository: on this machine only paired/interleaved designs resolve optimizer speedups -- sequential before/after ledgers separated by hours measure the machine, not the code. CEILING PROOF (full text in docs/development/FAMILY_ACCELERATION_PLAN.md section 7): the bit-identical surface is exhausted. Rejected by measurement: T1 wrapper ceremony 0.03 s/run, W3.1 dispatcher hoisting 1.7 us/gen, W3.2 cec2013 transform reuse (whole evaluate is 0.44-2.81 us/FE), W1.5 donor batching ~2 us/gen, W2.5 linkage cache <0.5%. Structural floors protected by bit-identity: the BSE archive distance scan (~29% of dt-gsk, order-dependent by construction), the CR-0009 row-sum kernel (~12%, inherent FLOPs), the already-unrolled Threefry kernel (4.19x, 61dc84bd8), the JIT objective kernels, and the column-major reference draw order (removing it remaps stream->cell). Further gains require accepting result changes and paying the full evidence rerun.",NONE. Campaign-wide: output bit-identical on all 84 cells; rel-2026-07-20-67d9345f9 remains valid.,"NONE. No number, rank, p-value, equation, figure or table value changed anywhere in CR-0013..CR-0017.",docs/development/FAMILY_ACCELERATION_PLAN.md (section 7: result + ceiling proof). No source change in this entry.,NONE - the campaign incurred no rerun. Golden fixtures are re-minted ONLY on a deliberate result-changing release.,"Author directive 2026-07-25 (tune all algorithms, all suites, without impacting logic)",APPROVED 2026-07-25. CAMPAIGN COMPLETE. Stopping is the deliverable: the bit-identical surface is exhausted and the ceiling proof is recorded.
CR-0019,"Final empirical scope, fixed by author decision 2026-07-27/28. (a) The paper's analyzed scope is the SEVEN GSK-family algorithms on FIVE suites: CEC2017 (29 functions, D10/30/50/100, 51 runs), CEC2011 (22 problems, native, 25 runs), CEC2013 (28 functions, D10/30/50, 51 runs), CEC2020 (10 functions, D5/10/15/20, F6/F7 undefined at D5 -> 38 cells, 30 runs, MaxFES 50k/1M/3M/10M) and CEC2013LSGO (15 functions, D1000/905, 25 runs, 3e6 FES). (b) Decision Gate 0 outcome: CEC2013 is KEPT (author, 2026-07-28); the five-suite branch of FINAL_PUBLICATION_PLAN.md is in force and every [DROP]-branch task is void. (c) The eight vendored external baselines (MOS, SHADE-ILS, DECC-G, CMA-ES, EBOwithCMAR, jSO, L-SHADE, LSHADE-SPACMA) appear in NO panel, table, figure or claim; they remain in-repo as runnable tooling whose validation evidence is not reproducible in this repository (six of the eight vendored ports carry their author-code parity records only in the sibling project; DECC-G is first-party code with no author-code oracle), with their result banks documented-but-unpromoted. Wording corrected 2026-07-28 (D-0025); the decision itself is unchanged. (d) CEC2013LSGO uses the TRANSFORMED Ackley variant only, and no comparison against published raw-Ackley results is drawn. Precise statement (corrected 2026-07-28, an earlier wording said ackley_raw is 'permanently unwired' which is imprecise): the raw kernels ARE implemented inside the evaluator and are reachable through the ackley_raw_scope context manager, but nothing activates them -- no reference to ackley_raw_scope or ackley_variant exists anywhere in src/, configs/, tests/, scripts/ or papers/scripts/, and ackley_raw_active() returns False, so every committed bank ran the transformed chain (T_osz -> T_asy(0.2) -> Lambda(10) -> ackley). The scope stays permanently INACTIVE for paper evidence. (e) Seed policy is unified everywhere, so every cell of every suite is paired across optimizers: configs/agsk_cec2020.yml carried seed_policy: reference and a data_root (benchmarks/cec_suite) that does not exist in this repository -- both corrected; scripts/run_all_cec2020.py, which hard-pointed at that config, now runs configs/family_cec2020.yml and forwards CLI arguments.","Verified 2026-07-28 before the change: scripts/run_all_cec2020.py:9 invoked configs/agsk_cec2020.yml; configs/agsk_cec2020.yml:19 read seed_policy: reference; benchmarks/cec_suite is absent from the tree. Verified after: both cec2020 configs resolve to exactly 38 protocol cells (8 at D5, 10 at D10/D15/D20), F6/F7 at D5 absent, runs 30, seed 20240620, policy unified, generator threefry, overwrite false, budgets 50k/1M/3M/10M -- family total 7,980 runs / 2.948e10 evaluations. No CEC2020 result bank exists anywhere in the repository (results/_run_all/*/cec2020 empty), so the seed-policy correction invalidated nothing.","0,1,2,3,4,5,6,7,8",RS-12; RS-13; LM-06; PR-03; RS-11; LM-05; MT-02; MT-06; AB-02,configs/agsk_cec2020.yml; scripts/run_all_cec2020.py; papers/build_prompt_phases/phase_05/statistical_analysis_plan_addendum_cec2020_lsgo.md; papers/build_prompt_phases/phase_05/S8_cec2020_supplement_skeleton.tex; papers/governance/claims_evidence_matrix.csv; papers/governance/_pending_refreeze.json; docs/development/FINAL_PUBLICATION_PLAN.md,"CEC2020 campaign is NEW compute (no bank exists). The frozen banks for CEC2017, CEC2011 and CEC2013 are NEVER re-run and rel-2026-07-20-67d9345f9 is never re-minted; CEC2013LSGO banks already exist and are promoted, not re-run.",Author decision 2026-07-27 (scope) and 2026-07-28 (Gate 0 KEEP; unified seed policy for all suites),APPROVED 2026-07-28. Supersedes the LSGO campaign ruling that admitted an external descriptive-context layer; comparability_audit.md and the data_ledger.csv context rows are amended to out-of-paper-scope in Phase 2.
CR-0020,"Citation corpus reopened from 57 to at most 61 keys for exactly four admissions, all forced by the new scope: (1) the CEC2013LSGO suite definition (Li, Tang, Omidvar, Yang, Qin 2013) -- no key exists today and liang2013cec2013 is the WRONG suite (bound-constrained CEC2013); (2) yue2020cec2020, already present in references.bib but absent from the allowed set, now cited as the CEC2020 protocol source; (3) SHADE-ILS and (4) MOS, required because the mandatory large-scale limitation sentence (LM-06) cites PUBLISHED specialist results by name. DECC-G is NOT admitted: it is not named in any disclosure sentence.","Each admission costs the full citation lockstep enforced by papers/scripts/validate_citation_controls.py (C1-C5): references.bib entry, PDF in reference_papers/ with a README entry, evidence card, the citation role/usage/Word-tag maps, allowed_citation_keys.txt, and PAPER_BUILD_PROMPT Appendix A/B.4. Bibliographic metadata is taken from the PDF itself and never reconstructed from memory; a key whose PDF cannot be obtained stays BLOCKED and its dependent sentence is not written.","4,5,6",LM-06; RS-12; RS-13; PR-03,papers/references.bib; papers/governance/allowed_citation_keys.txt; papers/governance/citation_role_map.csv; papers/governance/citation_usage_map.csv; papers/governance/evidence_cards/; papers/PAPER_BUILD_PROMPT.md; reference_papers/,NONE. Citation-only change; no evaluation is re-run and no reported value changes.,"Author decision 2026-07-28 (externals out of the paper, large-scale limitation mandatory)","APPROVED 2026-07-31. Closure criteria met in full. All four admissions (the CEC2013LSGO suite definition, yue2020cec2020, SHADE-ILS, MOS) completed the citation lockstep: the corpus stands at 61 keys in allowed_citation_keys.txt and validate_citation_controls.py reports PASS: C1-C5 hold across all three citation-control files (role=61 usage=142 word=61 overrides=1), re-verified 2026-07-31. No key was recorded BLOCKED-NEEDS-PDF and no dependent sentence was withdrawn, so LM-06, RS-12, RS-13 and PR-03 all ship as written. Corroborated by _pending_refreeze.json ticket P0-CITATIONS (DONE 2026-07-28, CrossRef-verified metadata). Status-only closure: no manuscript file, evaluation, or reported value is touched, and this register is not among the files hashed by main_manuscript_freeze_manifest.json, so the pass-26 freeze is unaffected and no re-mint is required."
CR-0021,"Production budget re-set for the five-suite build. The shipped build exceeds the CR-0008 caps (B1 hard cap 40 pp, B2 hard cap 20,000 words): measured B1 = 41 pp, B2 = 22,821 tokens. The cause is the CR-0019 five-suite scope change: supplements S7/S8, the two new main-text results subsections with their panels (tab:cec2020-ranks, tab:lsgo-ranks), the main-text comparator parameter table, and the mandated registered disclosure text. Raised formally rather than absorbed: SE-005/SE-013-class rules forbid resolving an overrun by shrinking exhibits, and LM-06 plus the calibrated-statement text may not be cut for page budget.","pypdf page scan of papers/DT-GSK.pdf on 2026-07-31: 46 pp total; back matter (Author Contributions) begins p.42, so B1 = 41. B2 = 22,821 tokens over pp.1-41 by the CR-0008 recorded method (pdftotext, every token including table cells and numerals). MDPI Algorithms imposes no page or word limit; the cap is repo-internal reviewer-attention discipline, not venue compliance. Flagged by the eight-seat panel register (papers/governance/panel_review_register_2026-07-31.md, U-5/SEAT5-9).",12 (production only),"NONE. No claim, number, rank, p-value, equation, figure, or table value changes.","papers/build_prompt_phases/phase_04/page_budget.md (cap banner updated); papers/DT-GSK.pdf / .docx (measured, not modified by this CR)","NONE - no experiment, analysis, or optimizer code is touched. Production-side only.","Author directive 2026-07-31 (""fix all"" over the panel register); P1","APPROVED 2026-07-31. New caps: B1 hard cap 44 pp, B2 hard cap 24,000 words, both measured on the shipped PDF by the CR-0008 method. Prior caps (40 pp / 20,000 words) are SUPERSEDED. Any future build exceeding the new caps requires a further change request."
