claim_id,claim_type,claim_template,evidence_ids,citation_keys,risk,permitted_wording,blocked_wording,status,analysis_ids
"RS-03","primary-result","Within the panel on CEC2017 at D30, DT-GSK attains Friedman mean rank <T05:friedman_rank_D30>.","T05:friedman_rank_D30; F01:cd_diagram_per_dim","friedman1937use; demsar2006statistical","D30 is the verified-planning #2 tier; template must not presuppose #1.","Neutral rank template; the D30 outcome is cross-referenced to limitation LM-01.","Wording that presupposes first place at D30.","ACCEPTED_PHASE_6","AN-OMNI-2017-D30"
"RS-04","primary-result","Within the panel on CEC2017 at D50, DT-GSK attains Friedman mean rank <T05:friedman_rank_D50>.","T05:friedman_rank_D50; F01:cd_diagram_per_dim","friedman1937use; demsar2006statistical","Same as RS-01.","'Within the GSK family panel'.","Field-wide superiority; concrete rank before Phase 6.","ACCEPTED_PHASE_6","AN-OMNI-2017-D50"
"RS-05","primary-result","Within the panel on CEC2017 at D100, DT-GSK attains Friedman mean rank <T05:friedman_rank_D100>.","T05:friedman_rank_D100; F01:cd_diagram_per_dim","friedman1937use; demsar2006statistical","Same as RS-01.","'Within the GSK family panel'.","Field-wide superiority; concrete rank before Phase 6.","ACCEPTED_PHASE_6","AN-OMNI-2017-D100"
"RS-06","primary-result","Nemenyi critical-difference structure per dimension is <F01:cd_diagram_per_dim>; differences inside a CD band are reported as not statistically separable.","F01:cd_diagram_per_dim; T05:friedman_rank_overall","demsar2006statistical","Over-reading CD diagrams as pairwise proof.","CD bands interpreted per demsar2006statistical.","Claiming significance for pairs inside a common CD band.","ACCEPTED_PHASE_6","AN-OMNI-2017-D10;AN-OMNI-2017-D30;AN-OMNI-2017-D50;AN-OMNI-2017-D100"
"RS-07","primary-result","Per-function Wilcoxon signed-rank tests with Holm correction against each comparator yield <T02:wilcoxon_holm_pairwise>.","T02:wilcoxon_holm_pairwise","wilcoxon1945individual; holm1979simple","Multiplicity handling must match the Phase 5 pre-registration.","Holm-corrected outcomes reported per comparator and dimension. [CR-0006 evidence note 2026-07-11: the apgsk CEC2017 D10/D30/D50 run-level Wilcoxon (AN-PWRUN/AN-EXP-BH) cells feeding this claim, formerly disclosed-unavailable (A2-004), are now computed from the recovered per_run.csv (decision_log D-0011); completeness correction only -- the permitted wording above is unchanged and no strengthening is licensed.]","Uncorrected p-values presented as headline results.","ACCEPTED_PHASE_6","AN-PW-2017-D10;AN-PW-2017-D30;AN-PW-2017-D50;AN-PW-2017-D100;AN-PWRUN-2017-D10;AN-PWRUN-2017-D30;AN-PWRUN-2017-D50;AN-PWRUN-2017-D100;AN-ROB-2017-05;AN-ROB-2017-06;AN-EXP-BH-2017"
"RS-08","primary-result","The tabulated effect size aligned to the paired across-function Wilcoxon is the matched-pairs rank-biserial correlation r; the unpaired Vargha-Delaney A12 is retained as a descriptive companion in the released workbooks. Win/tie/loss tallies against each comparator are <T03:a12_cliffs_bca>.","T03:a12_cliffs_bca","vargha2000critique","Effect-size thresholds must follow the cited convention.","Rank-biserial r as the primary tabulated effect size (r > 0 favors DT-GSK); A12 magnitude labels per vargha2000critique for the descriptive companion only. [CR-0006 evidence note 2026-07-11: the apgsk CEC2017 D10/D30/D50 A12 / Cliff's delta effect-size (AN-EFF) cells feeding this claim, formerly disclosed-unavailable (A2-004), are now computed from the recovered per_run.csv (decision_log D-0011); completeness correction only -- the permitted wording above is unchanged and no strengthening is licensed.]","Ad-hoc effect-size labels; effect sizes stated before Phase 6.","ACCEPTED_PHASE_6","AN-EFF-2017-D10;AN-EFF-2017-D30;AN-EFF-2017-D50;AN-EFF-2017-D100;AN-DESC-2017-D10;AN-DESC-2017-D30;AN-DESC-2017-D50;AN-DESC-2017-D100;AN-ROB-2017-01;AN-ROB-2017-02"
"RS-09","primary-result","BCa bootstrap confidence intervals on per-function performance differences are <T03:bca_ci>.","T03:bca_ci","efron1993introduction","CI parameters must match the Phase 5 pre-registration.","BCa intervals per efron1993introduction with pre-registered parameters. [CR-0006 evidence note 2026-07-11: the apgsk CEC2017 D10/D30/D50 BCa confidence-interval (AN-EFF) cells feeding this claim, formerly disclosed-unavailable (A2-004), are now computed from the recovered per_run.csv (decision_log D-0011); completeness correction only -- the permitted wording above is unchanged and no strengthening is licensed.]","CI-based claims before Phase 6 binding.","ACCEPTED_PHASE_6","AN-EFF-2017-D10;AN-EFF-2017-D30;AN-EFF-2017-D50;AN-EFF-2017-D100"
"RS-10","primary-result","On CEC2011 within the panel, DT-GSK places <T04:cec2011_panel_rank>, with per-problem results <T04:cec2011_panel_results>.","T04:cec2011_panel_results; T04:cec2011_panel_rank","das2011cec2011; friedman1937use","CEC2011 is corroborative; headline weight would over-claim.","Real-world corroboration within the panel; no headline claim rests on CEC2011 alone. ACCEPTED (Phase 6): re-derived CEC2011 Friedman mean rank 3.363636 = second of 7, behind eGSK (2.522727), matching the planning rank #2; the function-level Holm-corrected Wilcoxon vs eGSK is a significant loss (p_holm=4.244817e-02) and must accompany any CEC2011 placement statement.","Making CEC2011 the primary evidence; concrete rank before Phase 6 (planning rank #2 quotable only per thesis 5.1 with re-derivation marker); omitting the significant pairwise deficit vs eGSK on CEC2011.","ACCEPTED_PHASE_6","AN-OMNI-2011-NATIVE;AN-PW-2011-NATIVE;AN-PWRUN-2011-NATIVE;AN-EFF-2011-NATIVE;AN-ROB-2017-07"
"RS-11","primary-result","On the CEC2013 second comparison suite, panel behavior is <T06:cec2013_panel_results>.","T06:cec2013_panel_results","liang2013cec2013","Independence over-claim (non-claim #10).","'Second comparison suite'; descriptive breadth check.","'Independent'/'holdout'/'validation' wording; generalization claims from CEC2013.","ACCEPTED_PHASE_6","AN-OMNI-2013-D10;AN-OMNI-2013-D30;AN-OMNI-2013-D50;AN-RANKAGG-2013-OVERALL;AN-PW-2013-D10;AN-PW-2013-D30;AN-PW-2013-D50;AN-PWRUN-2013-D10;AN-PWRUN-2013-D30;AN-PWRUN-2013-D50;AN-EFF-2013-D10;AN-EFF-2013-D30;AN-EFF-2013-D50;AN-ROB-2017-07"
"IN-01","interpretation","The rank-vs-dimension trend <F03:rank_vs_dimension_trend> across D in {10, 30, 50, 100} is interpreted as within-panel scalability behavior, consistent with the dimension-tiered design.","F03:rank_vs_dimension_trend; T05:friedman_rank_D10; T05:friedman_rank_D100","","Extrapolation beyond the evidence ceiling.","Trend statement over the four CEC2017 tiers only.","Extrapolation beyond the tested dimensions of the cited suite; describing the trend as monotone (it is not: 2.879310/2.500000/2.206897/2.344828 across D10/D30/D50/D100).","ACCEPTED_PHASE_6","AN-TREND-2017;AN-CLASS-2017;AN-OMNI-2017-D10;AN-OMNI-2017-D100"
"IN-02","interpretation","High-dimension panel behavior (<F02:convergence_grids_D50_D100>; <T05:friedman_rank_D50>; <T05:friedman_rank_D100>) is consistent with the intended role of the interaction-structure memory, which is active at D>=50; causal attribution of any component is deferred to the Phase-12 supplement.","F02:convergence_grids_D50_D100; T05:friedman_rank_D50; T05:friedman_rank_D100","","Causality leakage into the main text.","'Consistent with the design intent'; mechanisms presented as proposed and specified.","'ISM causes/drives/explains the gain' or any component-causality wording in the main text; implying head-to-head dominance over eGSK at D50/D100 (per-function W/T/L vs eGSK is 13-0-16 at D50 and 12-0-17 at D100; Holm-corrected function-level Wilcoxon vs eGSK is a tie at both).","ACCEPTED_PHASE_6","AN-CONV-2017-D50;AN-CONV-2017-D100;AN-OMNI-2017-D50;AN-OMNI-2017-D100"
"IN-03","interpretation","CEC2011 results <T04:cec2011_panel_results> corroborate the panel comparison on real-world problems at native dimensions.","T04:cec2011_panel_results","das2011cec2011","Over-weighting the secondary suite.","'Corroborate' only; secondary role per the evidence-role table. NARROWED (Phase 6): corroboration is limited to within-family competitiveness - on CEC2011 DT-GSK places second behind eGSK (Friedman mean ranks 3.363636 vs 2.522727) and the Holm-corrected function-level Wilcoxon vs eGSK is a significant loss (p_holm=4.244817e-02); CEC2011 does NOT corroborate first place and any corroboration sentence must be scoped to 'competitive placement (second of 7)' with the eGSK deficit disclosed.","'Validate' or 'confirm generalization'; headline claims resting on CEC2011 alone; 'corroborates the CEC2017 headline result' or any wording implying CEC2011 supports first place.","NARROWED_PHASE_6","AN-OMNI-2011-NATIVE;AN-PW-2011-NATIVE"
"LM-01","limitation","At D30 on CEC2017, DT-GSK ranks second within the family panel behind eGSK (verified planning rank; to be re-derived in Phase 6 from release rel-2026-07-10-262fc16c9): <T05:friedman_rank_D30>.","docs/algorithms/dt-gsk.md; T05:friedman_rank_D30","jawad2024egsk","Omitting this limitation would be selective reporting; a reviewer comparing tables will find it.","Stated openly as a limitation with eGSK named; marked for Phase 6 re-derivation. ACCEPTED (Phase 6): re-derived from rel-2026-07-10-262fc16c9 - at D30 DT-GSK Friedman mean rank 2.500000 vs eGSK 2.293103, second of 7, confirming the verified planning rank; the D30 head-to-head vs eGSK is W/T/L 11-2-16 with a non-significant Holm-corrected function-level Wilcoxon (p_holm=1.986745e-01), so the deficit is real in rank terms but not statistically separable.","'#1 at every dimension'; hiding or minimizing the D30 outcome; unmarked pre-Phase-6 rank statements.","ACCEPTED_PHASE_6","AN-OMNI-2017-D30"
"LM-02","limitation","The structure-memory and polish subsystems are gated to D>=50 under the pub profile; at low dimension DT-GSK runs essentially the adaptive scaffold, so low-D behavior reflects this structural gating rather than the headline mechanisms.","phase_03/parameter_table.md; docs/algorithms/dt-gsk.md; phase_04/contribution_matrix.md#C1","","Low-D relative weakness misattributed to specific components.","Gating stated as design fact; low-D footprint bound to exhibits in Phase 6.","Component-causality explanations of low-D behavior in the main text (deferred to Phase 12).","READY",""
"LM-03","limitation","All comparative findings are limited to the 7-algorithm GSK-family panel (GSK, AGSK, APGSK, FDB-AGSK, eGSK, ATMALS-GSK, DT-GSK); no claim is made relative to other metaheuristic families or CEC competition winners.","phase_04/novelty_scope.md#2; EC:wolpert1997nfl","wolpert1997nfl","Scope creep in later drafting.","'Within the GSK family panel' as the universal qualifier.","Comparisons to DE/ES/PSO fields or competition winners as claims.","READY",""
"LM-04","limitation","eGSK panel data derives from committed reference results (fmincon-based polish in the reference; scipy-SLSQP in the runnable port); cross-implementation runtime and environment comparability is therefore limited, and no runtime-superiority claim is made.","papers/governance/data_ledger.csv; papers/governance/comparability_audit.md","jawad2024egsk","Reviewer challenges comparability of the eGSK cells.","Solver-provenance note cited; comparability limits disclosed. [CR-0006 evidence note 2026-07-11: the apgsk CEC2017 D10/D30/D50 runtime/cost (AN-COST) cells feeding this claim, formerly disclosed-unavailable (A2-004), are now computed from the recovered per_run.csv (decision_log D-0011); completeness correction only -- the permitted wording above is unchanged and no strengthening is licensed.]","Runtime comparisons across environments presented as evidence; claiming comparator byte-stability.","READY","AN-COST-2017"
"LM-05","limitation","Each suite's evidence stops at its own tested dimensions: D<=100 on CEC2017, D<=50 on CEC2013, native on CEC2011, D<=20 on CEC2020, D=1000 on CEC2013LSGO. The D=1000 leg is family-internal, post-hoc and 25 runs per cell. The ISM component-isolation evidence stops at D<=100, so the D=1000 standing attributes nothing to ISM or the eigenframe polish in either direction, and DG-style decomposition remains future work.","phase_04/novelty_scope.md#2; EC:omidvar2014dg","omidvar2014dg","Over-claim in either direction: an LSGO over-claim, or a stale 'no D=1000 evidence exists' statement now contradicted by RS-12/RS-13/LM-06 in this same file.","Explicit per-suite dimension ceilings. Component-isolation ceiling stated separately at D<=100. Decomposition framed as future work. Cross-reference LM-06 for the specialist-gap ceiling and RS-13 for the LSGO claim ceiling.","Extrapolation beyond the tested dimension of any suite; any component-level (ISM or eigenframe) attribution of the D=1000 standing in either direction; 'scales to D=1000'; any competitiveness claim against non-GSK large-scale specialists (see LM-06); presenting the D=1000 leg as confirmatory of the tiering thesis.","REVISED_CR-0019","AN-TREND-2017;AN-OMNI-LSGO-NATIVE;AN-PWRUN-LSGO-NATIVE"
"CN-01","conclusion","Within the GSK family panel and under the frozen budget-fair protocol, DT-GSK attains <T05:friedman_rank_overall> overall on CEC2017 with per-dimension ranks <T05:friedman_rank_D10>/<T05:friedman_rank_D30>/<T05:friedman_rank_D50>/<T05:friedman_rank_D100>, places <T04:cec2011_panel_rank> on CEC2011, and shows the dimension trend <F03:rank_vs_dimension_trend>.","T05:friedman_rank_overall; T04:cec2011_panel_rank; F03:rank_vs_dimension_trend","","Conclusion restating more than the evidence supports.","Restates only exhibit-bound results; panel scope qualifier mandatory.","New claims appearing only in the conclusion; field-wide wording; component-causality wording.","ACCEPTED_PHASE_6","AN-OMNI-2017-D10;AN-OMNI-2017-D30;AN-OMNI-2017-D50;AN-OMNI-2017-D100;AN-RANKAGG-2017-OVERALL;AN-OMNI-2011-NATIVE;AN-TREND-2017"
"CN-02","conclusion","The evaluation pipeline - paired optimizer-independent seeds, hash-frozen pub profile, promoted read-only evidence release rel-2026-07-20-67d9345f9, and a byte-stable RNG layer - makes every reported number re-derivable from the released artifacts.","T07:protocol_reproducibility_summary; papers/governance/data_ledger.csv; papers/governance/reproducibility_manifest.json; phase_03/deterministic_trace","","Low: artifact-backed.","Reproducibility stated as a verifiable design fact supporting C3; not presented as a separate numbered contribution.","Extending byte-stability guarantees to comparator reimplementations.","READY",""
"HL-01","highlights","Highlights bullets: (1) an interaction-structure memory learned from accepted moves at no extra objective evaluations; (2) a deterministic RNG-free final polish searching the ISM eigenbasis; (3) family-panel result <T05:friedman_rank_overall> on CEC2017 within the 7-algorithm GSK panel; (4) byte-stable, release-locked reproducibility.","T05:friedman_rank_overall; T07:protocol_reproducibility_summary","mohamed2020gaining","Highlights compress nuance into over-claim.","NOT APPLICABLE to the shipped submission: MDPI Algorithms does not solicit a Highlights list and none is produced. Row retained for provenance only.","'Best algorithm'; 'free'; 'state-of-the-art'; field-wide superlatives; ablation-derived statements.","NOT_APPLICABLE","AN-RANKAGG-2017-OVERALL"
"CL-01","cover-letter","The cover letter states fit to the frozen target journal (MDPI Algorithms; repository-wired class file) and the panel-scoped contribution; R-0004 cleared 2026-07-11 (Phase 9): cover_letter.md/.tex rewritten for MDPI Algorithms with the scientific core bound to CL-02 wording + the C1-C3 contribution scopes + the family-panel bound.","papers/governance/risk_register.csv#R-0004; papers/main.tex#line5; papers/governance/decision_log.md; papers/cover_letter.md; papers/cover_letter.tex","","R-0004 resolved-pending-author-review (2026-07-11); author sign-off outstanding.","MDPI Algorithms named as the frozen target; wording bound to the rewritten letter (papers/cover_letter.md/.tex, 2026-07-11).","Naming any other journal as target; claims beyond CL-02 + the C1-C3 scopes + the family-panel bound.","READY",""
