anomaly_id,class,severity,suite,optimizer,source_file,description,count,impact
A2-036,PROTOCOL_OBSERVATION,info,cec2013,egsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\egsk\curves,6 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,6,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-037,PROTOCOL_OBSERVATION,info,cec2013,fdb-agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\fdb-agsk\curves,11 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,11,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-038,PROTOCOL_OBSERVATION,info,cec2013,gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\gsk\curves,6 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,6,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-039,PROTOCOL_OBSERVATION,info,cec2013,dt-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\dt-gsk\curves,10 curve files leave Log10Error empty where BestError<=0 (log10 undefined); systematic writer convention,10,log-scale plots need a disclosed display floor (Section 6.7); values themselves intact
A2-040,DUPLICATE_SEED,hard,cec2017,apgsk,seed_schedule.csv,seed schedules differ across optimizers despite unified policy,1,"SUPERSEDED 2026-08-01. The original impact cell read 'pairing assumption broken'. That was overtaken by the seed/pairing audit, which established that the unified seed policy pairs every compared cell; the manuscript additionally reports an unpaired Mann-Whitney companion over all 696 function-by-comparator-by-dimension cells as a pairing-sensitivity check, with no sign reversals."
A2-041,NAN_INF,soft,cec2020,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2020\agsk\agsk_cec2020_D05.csv,non_numeric_token[N/A]: 10,10,"missing-value token in imported context summary; context-only, not in primary panel"
A2-042,VERIFICATION_VACUOUS,info,cec2013,agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\agsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-043,VERIFICATION_VACUOUS,info,cec2013,apgsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\apgsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-044,VERIFICATION_VACUOUS,info,cec2013,atmals-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\atmals-gsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-045,VERIFICATION_VACUOUS,info,cec2013,egsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\egsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-046,VERIFICATION_VACUOUS,info,cec2013,fdb-agsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\fdb-agsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-047,VERIFICATION_VACUOUS,info,cec2013,gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\gsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
A2-048,VERIFICATION_VACUOUS,info,cec2013,dt-gsk,D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\benchmarks\cec_reference_results\cec2013\dt-gsk\verification.json,verification checked 0 functions (missing_reference=84); verdict vacuously CONSISTENT,1,no external reference cross-check exists for this suite cell; equivalence relies on Phase 2 tasks 6 and 8
