class,path_pattern,count,status,notes
evidence_cell,benchmarks/cec_reference_results/cec2011/agsk/,17,present,"summary_csv=17 (1 aggregate + 16 per-problem-dimension); per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/apgsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/atmals-gsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/egsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/fdb-agsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/gsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2011/dt-gsk/,17,present,"summary_csv=17; per_run=yes; curves=22; gen_logs=22; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/agsk/,3,present,"summary_csv=3 (D10 D30 D50); per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/apgsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/atmals-gsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/egsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/fdb-agsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/gsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013/dt-gsk/,3,present,"summary_csv=3; per_run=yes; curves=84; gen_logs=84; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2013lsgo/decc-g/,1,present,"summary_csv=1 (aggregate only); per_run=no; curves=0; gen_logs=0; provenance=none - digest-style cell without raw provenance; admissibility class to be decided in Phase 2"
evidence_cell,benchmarks/cec_reference_results/cec2013lsgo/mos/,1,present,"summary_csv=1 (aggregate only); per_run=no; curves=0; gen_logs=0; provenance=none - digest-style cell without raw provenance; admissibility class to be decided in Phase 2"
evidence_cell,benchmarks/cec_reference_results/cec2017/agsk/,4,present,"summary_csv=4 (D10 D30 D50 D100); per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/apgsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/atmals-gsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/egsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/fdb-agsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/gsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2017/dt-gsk/,4,present,"summary_csv=4; per_run=yes; curves=116; gen_logs=116; provenance=all 5 present"
evidence_cell,benchmarks/cec_reference_results/cec2020/agsk/,4,present,"summary_csv=4 (D05 D10 D15 D20); per_run=no; curves=0; gen_logs=0; provenance=none - summary-only cell; sole optimizer under cec2020; admissibility class to be decided in Phase 2"
benchmark_code,benchmarks/cec_suite_python/**/*.py,44,present,"Python benchmark evaluator package; subpackages cec2011 cec2013 cec2013lsgo cec2017 cec2020 (excludes __pycache__)"
staging,results/_run_all/**,12,present,"staging-only (Section 0.3); contains ONLY _analysis/{cec2011,cec2013,cec2017} with 4 files each; no raw run cells under _run_all at snapshot"
staging,results/_analysis/**,1,present,"staging-only; single file under publication_polish/"
staging,results/_ablation/baseline/dt-gsk/cec2017/,122,present,"LIVE CAMPAIGN (scripts/run_ablation.py running; log stamps 2026-07-10; counts volatile; non-blocking per Section 0.3); snapshot: summary CSVs=6 (4 D-summaries + per_run.csv + seed_schedule.csv); curves=116; gen_logs dir empty; provenance JSONs present inside summary/; plus run log .txt files"
staging,results/_ablation/no_ace/dt-gsk/cec2017/,122,present,"LIVE CAMPAIGN cell; snapshot: summary CSVs=6; curves=116; gen_logs dir empty; provenance inside summary/"
staging,results/_ablation/no_psr/dt-gsk/cec2017/,83,present,"LIVE CAMPAIGN cell in progress; snapshot: summary CSVs=5; curves=78; gen_logs dir empty"
staging,results/_ablation/<other cells>,0,missing,"only baseline; no_ace; no_psr exist at snapshot; further ablation cells (if designed) not yet produced - expected: campaign still running; Phase 12 is the sole ablation phase; non-blocking"
staging,results/ablation matrices (*matrix*),0,missing,"no results/ablation directory and no *matrix* files anywhere under results/ at snapshot; ablation-matrix outputs are Phase 12 deliverables (generator papers/scripts/generate_ablation_matrix.py present); expected-but-not-yet-produced; non-blocking"
source_code,src/gsk_family/**/*.py,62,present,"modules excluding __pycache__: optimizers=24; common=9; runners=9; analysis=8; cli=5; benchmark_adapter=4; top-level=3 (__init__.py stats.py types.py)"
scripts,scripts/*.py,14,present,"analyze_dt_diagnostics; build_docs_html; parity_trace; plot_convergence_from_curves; run_ablation; run_all_cec2011; run_all_cec2013; run_all_cec2013lsgo; run_all_cec2017; run_all_cec2020; run_gsk_family; validate_egsk_vs_reference; validate_profile_lock; wilcoxon_reference"
scripts,papers/scripts/*.py,19,present,"build_docx; build_pdf; build_supplementary; generate_ablation_matrix; generate_adaptive_params_panel; generate_cec2011_convergence; generate_cec2013_convergence; generate_flowchart; generate_full_convergence; generate_latex_tables; generate_nemenyi_cd; generate_nlpsr_trajectory; generate_parametric_tables; generate_rank_charts; generate_review_pack; generate_t16_bca; generate_taxonomy_figure; generate_trace_figures; sitecustomize"
configs,configs/**/*.yml,33,present,"root=8; _ablation=21; experimental=3; publish=1 (all .yml; no .yaml found)"
docs,docs/**/*.md,55,present,"Markdown docs under docs/ (recursive)"
tests,tests/test_*.py,50,present,"50 test files; every .py under tests/ is a test_*.py file"
