algorithm,algorithm_version,suite,suite_version,dimension,function_set,n_runs,pairing_design,seed_policy,seed_schedule_path,max_fes,stopping_rule,parameter_file,boundary_handling,evidence_release_id,raw_path,raw_checksum,source_type,environment_id,fp_sentinel,commit_sha,completeness,comparability_status,notes,function_set_hash
apgsk,unverifiable(metadata overwritten by later re-run),cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,0-per-run-rows(summary-only),"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unverifiable(seed_schedule.csv lacks this dim),benchmarks/cec_reference_results/cec2017/apgsk/seed_schedule.csv,unverifiable,unverifiable,benchmarks/cec_reference_results/cec2017/apgsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/apgsk/apgsk_cec2017_D30.csv,sha256:b4785b63fc476e005c481f7ea02ff490e16fb501209074b4244bbf1ebbb5c666,local-python-runner(inferred; cell metadata no longer covers this dim),sha256:57fe9d7b626b,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,20cfed0acb5bb005cb563edfb60ae6c2168bc2cf,per-run evidence RESTORED by CR-0006 (all four dimensions); seed_schedule and environment sidecars remain absent for these cells,comparable (function-level); per-run records recovered 2026-07-11 under CR-0006,"cell metadata files reflect a later partial re-run; per-run evidence for this dim absent at anchor commit | Updated 2026-08-01: the 'blocked-pending-recovery-or-new-release' status predated CR-0006, which restored the APGSK CEC2017 per-run evidence. The manuscript already discloses that the D in {10,30,50} APGSK rows rest on function-level tests because per-run records were missing at analysis freeze and recovered only afterwards.",ecf17d4fd0af2da6
apgsk,unverifiable(metadata overwritten by later re-run),cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),50,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,0-per-run-rows(summary-only),"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unverifiable(seed_schedule.csv lacks this dim),benchmarks/cec_reference_results/cec2017/apgsk/seed_schedule.csv,unverifiable,unverifiable,benchmarks/cec_reference_results/cec2017/apgsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/apgsk/apgsk_cec2017_D50.csv,sha256:b9b296bef7d5d062545830f6360b1524d2d0530016d37212690eeedce3885ab6,local-python-runner(inferred; cell metadata no longer covers this dim),sha256:57fe9d7b626b,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,20cfed0acb5bb005cb563edfb60ae6c2168bc2cf,per-run evidence RESTORED by CR-0006 (all four dimensions); seed_schedule and environment sidecars remain absent for these cells,comparable (function-level); per-run records recovered 2026-07-11 under CR-0006,"cell metadata files reflect a later partial re-run; per-run evidence for this dim absent at anchor commit | Updated 2026-08-01: the 'blocked-pending-recovery-or-new-release' status predated CR-0006, which restored the APGSK CEC2017 per-run evidence. The manuscript already discloses that the D in {10,30,50} APGSK rows rest on function-level tests because per-run records were missing at analysis freeze and recovered only afterwards.",ecf17d4fd0af2da6
fdb-agsk,repo@19f32fb83ec1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/fdb-agsk/seed_schedule.csv,100000,max_evaluations,benchmarks/cec_reference_results/cec2017/fdb-agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/fdb-agsk/fdb-agsk_cec2017_D10.csv,sha256:64fd75d5e9cd4a004956bf8b7084d6ffa3b6607d5141a96f0f04b555cb56994d,local-python-runner(per environment.json),sha256:342df73490d0,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,19f32fb83ec1bd1333f760080af90bd946b1d862,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
fdb-agsk,repo@19f32fb83ec1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/fdb-agsk/seed_schedule.csv,300000,max_evaluations,benchmarks/cec_reference_results/cec2017/fdb-agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/fdb-agsk/fdb-agsk_cec2017_D30.csv,sha256:01ba32e7acd9cd540e25b4e8b10c4d9892783b6efed93f32553f4c48e2ab4e49,local-python-runner(per environment.json),sha256:342df73490d0,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,19f32fb83ec1bd1333f760080af90bd946b1d862,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
fdb-agsk,repo@19f32fb83ec1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),50,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/fdb-agsk/seed_schedule.csv,500000,max_evaluations,benchmarks/cec_reference_results/cec2017/fdb-agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/fdb-agsk/fdb-agsk_cec2017_D50.csv,sha256:31260e589138efd6b655aefe83ab3729337491d901ed1d6c9f00c0180f0e0ab5,local-python-runner(per environment.json),sha256:342df73490d0,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,19f32fb83ec1bd1333f760080af90bd946b1d862,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
fdb-agsk,repo@19f32fb83ec1,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),100,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/fdb-agsk/seed_schedule.csv,1000000,max_evaluations,benchmarks/cec_reference_results/cec2017/fdb-agsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/fdb-agsk/fdb-agsk_cec2017_D100.csv,sha256:16a12629092eef3cd72b367f01ad70b10f357f55a36259e018fd69b75ae114e5,local-python-runner(per environment.json),sha256:342df73490d0,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,19f32fb83ec1bd1333f760080af90bd946b1d862,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
atmals-gsk,repo@7483cac2ebe6,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/atmals-gsk/seed_schedule.csv,100000,max_evaluations,benchmarks/cec_reference_results/cec2017/atmals-gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/atmals-gsk/atmals-gsk_cec2017_D10.csv,sha256:616b581fe72499832499cee2d8a59e296260866e3d064b898f847cc40c9ef24a,local-python-runner(per environment.json),sha256:bd6df304c015,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,7483cac2ebe67d4c7c496fe7f08e48ef29b75807,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
atmals-gsk,repo@7483cac2ebe6,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/atmals-gsk/seed_schedule.csv,300000,max_evaluations,benchmarks/cec_reference_results/cec2017/atmals-gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/atmals-gsk/atmals-gsk_cec2017_D30.csv,sha256:38a3cace01c6fbd3e2c91d61178ce3523e7755b09092d2496b2dd4db4b5a4b79,local-python-runner(per environment.json),sha256:bd6df304c015,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,7483cac2ebe67d4c7c496fe7f08e48ef29b75807,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
atmals-gsk,repo@7483cac2ebe6,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),50,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/atmals-gsk/seed_schedule.csv,500000,max_evaluations,benchmarks/cec_reference_results/cec2017/atmals-gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/atmals-gsk/atmals-gsk_cec2017_D50.csv,sha256:c185c2f33f99e36bcf7ce080ffc6b54e923de2dcddc70a57418d5cb64eb6751a,local-python-runner(per environment.json),sha256:bd6df304c015,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,7483cac2ebe67d4c7c496fe7f08e48ef29b75807,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
atmals-gsk,repo@7483cac2ebe6,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),100,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/atmals-gsk/seed_schedule.csv,1000000,max_evaluations,benchmarks/cec_reference_results/cec2017/atmals-gsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/atmals-gsk/atmals-gsk_cec2017_D100.csv,sha256:b416fa3fac6ff465c0c8ade33814b728e4a1e35a63e4aea367b5afe931b162a2,local-python-runner(per environment.json),sha256:bd6df304c015,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,7483cac2ebe67d4c7c496fe7f08e48ef29b75807,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol,ecf17d4fd0af2da6
egsk,repo@c35c26de742d,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),10,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/egsk/seed_schedule.csv,100000,max_evaluations,benchmarks/cec_reference_results/cec2017/egsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/egsk/egsk_cec2017_D10.csv,sha256:eaec241e11ee0275c1357ef26af0309e8be93adcc585e31993fe1b1597738c38,local-python-runner(per environment.json),sha256:b7a2e6361a67,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,c35c26de742d8417184aab9ec533f4e3bcb5f091,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol; egsk solver provenance (fmincon vs SciPy) = Phase 2 task 8,ecf17d4fd0af2da6
egsk,repo@c35c26de742d,cec2017,CEC2017 python-backend (benchmarks/cec_suite_python),30,F1 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F13 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 F25 F26 F27 F28 F29 F30,51,"paired: unified optimizer-independent seed schedule keyed (dim,func,run); shared runner-generated X0",unified,benchmarks/cec_reference_results/cec2017/egsk/seed_schedule.csv,300000,max_evaluations,benchmarks/cec_reference_results/cec2017/egsk/run_config.json,unrecorded-in-cell-metadata (frozen optimizer code; Phase 2 task 7 audit),PENDING-RELEASE-ID(phase2-evidence_release_manifest),benchmarks/cec_reference_results/cec2017/egsk/egsk_cec2017_D30.csv,sha256:12a5dcb0c5a8a686142543c6a03552ef69fd7a24f5b14e6f66be8e6bdea6d54d,local-python-runner(per environment.json),sha256:b7a2e6361a67,8bda40d80d1671fe6571a56195b1d0679208c20f8cb2ae14c24b56f469c15bdb,c35c26de742d8417184aab9ec533f4e3bcb5f091,complete:29funcs x51runs=1479rows,pending-task8(A-D classification),F2 excluded per protocol; egsk solver provenance (fmincon vs SciPy) = Phase 2 task 8,ecf17d4fd0af2da6
