citation_key,appendix_b_group,appendix_b_role,sanctioned_uses,prohibited_overextensions,usage_condition,evidence_card,identity_status,notes
ma2023mgskdpmo,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work breadth: a 2023 dual-population, multi-operator GSK with hybrid (success-history + pool) parameter adaptation that outscored the CEC2020 top-3 under the CEC2020 metric at 5–20D. | Evidence that multi-population/multi-operator designs and success-history adaptation (SHADE-style Lehmer memory) have been imported into the GSK family (mechanism locators above). | Evidence, from within the GSK literature, of GSK's strong sensitivity to kf, kr, K, NP (p. 312) — usable when motivating parameter-adaptive design.","Do NOT describe results as statistically significant or as covering CEC2017/CEC2011 — CEC2020 only, D <= 20. | Do NOT attribute the gains to any single component (no ablation). | Do NOT cite the CEC2020 score comparison as head-to-head with re-tuned comparators; competitor parameters were taken from their original articles (p. 314). | Does not discuss DT-GSK.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/ma2023mgskdpmo.md,verified,
nomer2021gskrl,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work sentence: an RL/actor–critic-learned controller has been proposed to adapt GSK's kf and kr, evaluated only against basic GSK on CEC2017 at D=10/30, with gains at low dimension and degradation/instability at D=30 and on unseen functions. | Evidence that GSK-variant literature identifies fixed kf/kr as an adaptation target.","Do NOT claim GSK-RL outperforms other adaptive GSKs (AGSK/APGSK) or any non-GSK algorithm — never tested. | Do NOT cite this paper for the CEC2017 bound-constrained suite definition (its own suite citation is to the constrained report; our `awad2016problem` is BLOCKED). | Do NOT claim general RL superiority for parameter control; the authors themselves report instability and trainer-dependence. | Do NOT use the footnote-2 ""adaptive GSK not significant"" aside as a claim about AGSK.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/nomer2021gskrl.md,verified,
zhong2021gskhho,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work sentence: GSK's junior/senior operators have been extracted into a DE hybrid (DEGH, with HHO soft besiege and self-adaptive CR) and reported significantly better than eight DE variants on 32 classical functions at D=30–100 under a fixed-generation protocol. | Evidence that the GSK two-phase structure is treated in the literature as an exploration/exploitation-balancing mechanism worth transplanting.","Do NOT present DEGH results as CEC-suite evidence or compare its numbers with CEC-protocol results (different functions, budget in generations). | Do NOT claim DEGH outperforms GSK itself — GSK was not a comparator. | Do NOT cite as evidence about GSK parameter settings (kf replaced by F=0.3 here). | Do NOT quote a complete D=50 win-count list vs all eight comparators; the source sentence is defective.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/zhong2021gskhho.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
liang2024gskwoa,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work sentence: the GSK junior-phase operator has been exported into WOA (DGSWOA) as its exploration mechanism, where an ablation showed the GSK-equipped variant outperformed original WOA at dimension 10 on BBOB, and the full three-strategy hybrid ranked first among nine algorithms across dimensions 2–40. | Evidence that GSK operators are being adopted outside the GSK/DE lineage (cross-family operator transplantation).","Do NOT cite as evidence that GSK (the full algorithm) outperforms WOA or others — only the junior-phase operator was transplanted. | Do NOT treat the BBOB numbers as CEC-protocol evidence or compare them with FES-budgeted results. | Do NOT claim DGSWOA is state-of-the-art beyond its compared set (no DE/CMA-ES-class baselines). | Do NOT reuse the paper's ""GSK excels on high-dimensional problems"" line as an independent finding — in this source it is a citation-backed characterization, not a result.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/liang2024gskwoa.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
jalali2021opposition,GSK variants/hybrids (B.2),GSK variants and hybrids - related-work breadth only; use only where its verified mechanism is actually discussed; do not insert one sentence per source solely to force bibliography usage,"Related-work sentence: opposition-based learning and Cauchy mutation have been grafted onto GSK (IGSK) and reported significantly better than GSK and seven other metaheuristics on 15 benchmark functions (D=30, Wilcoxon p<0.05), and used inside a deep-RL CNN-ensemble pipeline for COVID-19 X-ray diagnosis. | Evidence that GSK is used as a hyperparameter-optimization engine in applied ML pipelines.","Do NOT attribute the COVID classification accuracy to IGSK alone (ensemble + Q-learning are confounded contributors; the paper itself notes optimization does not guarantee best performance, printed p. 15). | Do NOT name the 15-function benchmark a CEC suite; provenance is not stated in the source. | Do NOT generalize IGSK superiority beyond the tested comparator set, budget (1000 iterations, D=30), and functions. | Do NOT cite the bib's incorrect author given names; use the source-verified names.",cite only where the verified mechanism is actually discussed; never to force bibliography usage,evidence_cards/jalali2021opposition.md,minor_metadata_mismatch,identity_status=minor_metadata_mismatch; corrected metadata in reference_inventory.csv notes (bib fix via change request only)
storn1997differential,DE/ES lineage and structure-aware operators (B.3),DE origin,"DE-origin citation: definition of the canonical DE population/mutation/crossover/selection cycle, the DE/x/y/z taxonomy, and the F/CR/NP control-parameter roles — the operator vocabulary GSK-style junior/senior rules and the wider variant literature build on. | Historical anchor for statements like ""difference-vector-based mutation originates with DE (Storn & Price, 1997)."" | Source for DE's classic control-parameter heuristics when contrasting fixed-parameter vs adaptive schemes.","Do NOT use its 1997 benchmark wins as evidence of DE's standing against modern algorithms or on CEC suites. | Do NOT cite it for convergence guarantees (none proved) or for large-scale behavior (explicitly unknown per the source). | Do NOT attribute parameter-adaptation ideas to this paper (F, CR are constants here). | Do NOT claim GSK ""is a DE variant"" on this citation alone; it supports DE's definition, not GSK's genealogy.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/storn1997differential.md,verified,
zhang2009jade,DE/ES lineage and structure-aware operators (B.3),adaptive DE and external-archive lineage,"Citing JADE as the origin of (a) DE/current-to-pbest mutation, (b) the external archive of inferior solutions, and (c) success-based adaptation of F (Cauchy/Lehmer) and CR (normal/arithmetic) — the mechanism later inherited by SHADE/L-SHADE and by adaptive GSK variants. | Supporting the general claim that fixed control-parameter settings are not suitable across problems or search stages (with the locators above). | Supporting a narrow claim that success-history-style adaptation needs enough generations to act, which is strained at low dimension/short budgets (Sec. V-A, p. 951) — useful context for DT-GSK low-D discussion, phrased as JADE's observation on its own suite.",Do NOT cite JADE for CEC2013/2014/2017 results or competition rankings (none here). | Do NOT claim JADE proves archives help universally — the archive was worse at D = 30 on this suite. | Do NOT attribute weighted (fitness-improvement) means or historical memories to JADE — those are Peng et al. and SHADE contributions. | Do NOT use JADE to support statements about GSK-specific operators; JADE is DE lineage only. | No statistical-significance claims can be sourced here (no tests reported).,optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/zhang2009jade.md,verified,
tanabe2013shade,DE/ES lineage and structure-aware operators (B.3),SHADE/L-SHADE and population-size reduction lineage,"Citing SHADE as the success-history parameter-adaptation mechanism extending JADE (memory of successful means, weighted Lehmer update, randomized p) — the adaptation style inherited by L-SHADE and by several adaptive GSK-family baselines. | Supporting the design principle that a diversified memory of past successful settings is more robust than a single adapted pair (Sec. V, PDF p. 3). | Protocol precedent: 51 runs / MaxFES = 10^4·D / Wilcoxon rank-sum for CEC-style comparisons.","Do NOT cite this paper for L-SHADE, linear population-size reduction, or CEC2014 results. | Do NOT cite it for SHADE's official CEC2013 competition rank (not stated here). | Do NOT generalize the H-sensitivity findings beyond D = 30 CEC2013 (the authors flag higher-D as future work, Sec. VI-C, PDF p. 8). | No claims about GSK operators; DE lineage only.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/tanabe2013shade.md,verified,
tanabe2014improving,DE/ES lineage and structure-aware operators (B.3),SHADE/L-SHADE and population-size reduction lineage,"Citing L-SHADE as the origin of linear population size reduction and as the SHADE-lineage baseline that many later CEC winners (including LSHADE-SPACMA) build on. | Supporting claims that (a) deterministic population reduction can substantially improve an adaptive DE, and (b) a DE-family method can be competitive with restart CMA-ES, with particular strength on hybrid (partially separable) functions. | Population-size-reduction lineage context for any GSK-family variant that adopts linear reduction (e.g., AGSK-style NP reduction).","Do NOT cite this paper as evidence that L-SHADE won CEC2014 (rank not stated here; use mohamed2017lshadespacma for the ""winner of the 2014 competition"" wording). | Do NOT extend the CMA-ES-competitive claim beyond CEC2014 and the two specific restart variants tested. | Do NOT claim LPSR is universally the best reduction schedule — D-SHADE (DPSR) won at D = 100 (Table VII, PDF p. 7). | Do NOT use it for CEC2017 results or for GSK mechanisms.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/tanabe2014improving.md,verified,
hansen2001cmaes,DE/ES lineage and structure-aware operators (B.3),covariance-adaptation conceptual comparison,"Conceptual-comparison citation for covariance adaptation: what CMA-ES adapts (full mutation covariance via selected-step statistics and evolution paths), its invariance properties, and why that matters on ill-conditioned non-separable landscapes — as a contrast to the GSK/DT-GSK operator style. | Supporting precise claims about CMA-ES's adaptation time scales (~n^2 evaluations for shape) and its strength on high-conditioning problems, e.g., when discussing where covariance-adaptation-based competitors (LSHADE-SPACMA's CMA component, EGSK's fmincon-like local models) derive their advantage. | Sourcing invariance as an evaluation principle (translation/rotation/monotone-transform invariance; Sec. 3 p. 166, Sec. 6 p. 181).","Do NOT cite this paper for restart CMA-ES variants (IPOP/BIPOP/NBIPOP, iCMAES-ILS), rank-mu updates, or any CEC competition result — none appear here. | Do NOT claim CMA-ES is a global optimizer in general; the authors explicitly frame ESs as local search strategies whose global performance on multimodal functions is initialization- and step-size-dependent (Sec. 7.4, p. 188). | Do NOT source benchmark comparisons against DE or other EAs from here (only ES-internal comparators are tested). | Avoid attributing exact modern default formulas (beyond lambda = 4 + floor(3 ln n) and Table 1) to this paper.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/hansen2001cmaes.md,verified,
omidvar2014dg,DE/ES lineage and structure-aware operators (B.3),differential grouping and decomposition comparison/future work,"Citing differential grouping as the theoretically grounded automatic decomposition method for large-scale optimization (per Appendix B.3: decomposition comparison / future-work citation). | Supporting statements that (a) variable-interaction structure can be discovered from forward-difference tests at O(n^2/m) evaluation cost, (b) near-optimal decomposition materially improves CC optimization, and (c) contribution-based budget allocation across subcomponents beats round-robin under imbalance. | Future-work framing for DT-GSK: decomposition/grouping as a potential extension direction for high-dimensional GSK-family scaling — cite with its stated failure modes (Rosenbrock-type overlap; region-dependent separability).","Do NOT cite final-journal page numbers (378–393) as verified — the local copy is the accepted manuscript without them. | Do NOT claim DG achieves perfect decomposition generally — it fails on Rosenbrock-structured and locally separable landscapes (Table I; p. 11). | Do NOT claim DECC-DG beats memetic state of the art overall — MA-SW-Chains won 15/20 standard CEC'2010 functions (Table VI). | Not evidence about CEC2017/CEC2011 suites, about DE parameter adaptation, or about GSK operators. | Later improvements (DG2, RDG, etc.) are outside this source; do not attribute them here.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/omidvar2014dg.md,verified,
guo2015eig,DE/ES lineage and structure-aware operators (B.3),eigenvector crossover comparison,"Citing eigenvector-based crossover as the representative structure-aware (rotationally invariant) crossover line in DE — the comparison point named in Appendix B.3 for DT-GSK's operator design discussion. | Supporting claims that coordinate-wise (binomial-style) recombination is rotation-sensitive and that covariance-eigenbasis rotation restores invariance at modest (<~5%) runtime overhead, with the largest gains on non-separable, high-conditioning unimodal landscapes and occasional losses on separable multimodal ones. | Precedent that a structural operator can be grafted onto adaptive DE variants (JADE, SaDE) without harming them on average.","Do NOT cite per-function numeric error values from this local copy (tables did not extract; use prose counts only). | Do NOT claim universal improvement — separable multimodal functions show significant degradation in several cases, and CEC 2011 real-world gains were not significant. | Do NOT present this as a full CEC 2011 evaluation: only two CEC 2011 problems (rf1, rf2) are used. | Do NOT attribute covariance *matrix adaptation* to this paper — it computes the covariance of the current population per generation (no cumulative adaptation); CMA-ES claims belong to hansen2001cmaes. | Not evidence about GSK operators, population-size reduction, or competition rankings.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/guo2015eig.md,verified,
das2011cec2011,CEC benchmarks and competition context (B.4),verified CEC2011 definition role,"Citing the CEC2011 suite definition, instance list, dimensions, and constraint types. | Citing the official evaluation protocol (25 runs; 150,000 FEs budget; snapshots at 50k/100k/150k; uniform initialization). | Motivating ""real-world benchmark"" claims: the suite is explicitly built from engineering/scientific applications (p. 3 and Section 1 passim). | Supporting statements that CEC2011 problems are heterogeneous in dimension (1–216) and constraint structure.","Do NOT cite for any algorithm's CEC2011 competition result or ranking (report contains none). | Do NOT claim the report certifies global optima or difficulty rankings of the problems. | Do NOT attribute the ""T01–T22"" naming convention to this report; it numbers problems 1–13 with 11.1–11.10. Map DT-GSK's internal 22-problem indexing to Table 1 explicitly if the manuscript needs the mapping. | Do NOT cite it for a 51-run or 10,000·D-FEs protocol (that is CEC2013/CEC2017; CEC2011 uses 25 runs and a fixed 150,000-FEs budget). | If DT-GSK's experiments deviate from the official protocol (e.g., different run count or FEs), the deviation must be stated against this locator set, not silently implied as official.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/das2011cec2011.md,verified,
liang2013cec2013,CEC benchmarks and competition context (B.4),verified CEC2013 definition role,"Citing the CEC2013 suite definition (28 functions, categories, search range, shifts, rotations) and its official protocol (51 runs, 10,000·D FEs, error-value reporting, 1e-8 zero-threshold, black-box constraint). | Grounding ""error value"" and ""termination threshold"" conventions that later CEC suites (2014/2017) inherit — but only as CEC2013's own convention; do not claim from this report that CEC2017 uses the same rules. | Justifying complexity-reporting methodology if DT-GSK reports T0/T1/T2-style costs on CEC2013.","Do NOT cite for CEC2017 or CEC2011 suite properties, budgets, or dimensions. | Do NOT cite for algorithm results or rankings of the CEC2013 competition (none inside). | Do NOT present D = 100 CEC2013 results as protocol-official; the report specifies 10/30/50 (a manuscript using other dimensions must disclose the deviation). | Do NOT use this report to claim the functions' difficulty ordering or landscape properties beyond the categorical labels in Table I and the per-function property lists.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/liang2013cec2013.md,verified,
li2013lsgo,CEC benchmarks and competition context (B.4),verified CEC2013-LSGO definition role,"Citing the CEC2013-LSGO suite definition: the 15 functions, the four separability categories, the six base functions, the subcomponent multisets, the per-function bounds, and the conforming/conflicting overlap construction (Secs. 2-4, pp. 2-18). | Citing the official CEC2013-LSGO evaluation protocol: D = 1000 (F13/F14 at 905), 25 runs per function, MaxFE = 3e6, milestones at 1.2e5 / 6.0e5 / 3.0e6, and best/median/worst/mean/std reporting (Sec. 5, p. 19). | Grounding the statement that the suite deliberately introduces subcomponent imbalance, nonuniform subcomponent sizes and overlap as challenges to decomposition-based algorithms (Sec. 2, pp. 2-3). | Grounding the statement that competition entries are ranked on the MEDIAN error at the three milestones (Sec. 5.2, p. 19). | Supporting the disclosure that f13 and f14 are 905-dimensional while the other thirteen functions are 1000-dimensional (pp. 17-18).","Do NOT cite for any algorithm's LSGO result, score or competition rank -- the report contains none; use latorre2013mos / molina2018shadeils for published specialist results. | Do NOT interchange this key with liang2013cec2013: that key is the bound-constrained CEC2013 real-parameter suite, a different benchmark. Using either for the other suite is a suite-identity error. | Do NOT cite it for a 51-run protocol or a 10,000*D FE budget; this suite is 25 runs and a fixed 3e6 FEs. | Do NOT state that all functions are 1000-dimensional on the strength of Sec. 5.1 alone; f13/f14 are 905-D by their own definitions. | Do NOT attribute an untransformed/raw Ackley or Rastrigin formulation to this report: f3, f6 and f10 are defined only on the Lambda^10 T_asy^0.2(T_osz(.)) chain. An implementation that evaluates a different composition diverges from the report and the divergence must be disclosed, never presented as the definition. | Do NOT cite it for the CEC'2010 suite's own definitions (its reference [42], not in this corpus), nor for difficulty rankings or landscape statistics.",optional; cite where the sanctioned role applies (no key is required to appear in final prose),evidence_cards/li2013lsgo.md,verified,CR-0020 / ruling R8: row added 2026-07-29. No DOI is printed in the report and CrossRef holds no record; all metadata was read off the PDF title page. NOT the same suite as liang2013cec2013.
