file,in_build,start_line,section,scientific_paragraph,claim_ids_anchored,bind_tokens,numbers_found,non_protocol_numbers,binding_status,excerpt
main.tex,yes,142,(preamble),yes,LM-01; RS-01; RS-10; RS-12; RS-13,AN-RANKAGG-2017-OVERALL (friedman_ranks_cec2017_overall.csv; RS-01 NARROWED); AN-RANKAGG-2013-OVERALL (friedman_ranks_cec2013_overall.csv); AN-OMNI-2011-NATIVE (friedman_ranks_cec2011.csv); RS-12 (SAP addendum Sec. 9 [AGSK first] variant; slot filled per Amendment 2 A2.3; factual clause corrected per Amendment 3 A3.2; friedman_ranks_cec2020_overall.csv ordinal 4); RS-13 (registered ceiling wording; friedman_ranks_cec2013lsgo_native.csv; wilcoxon_holm_cec2013lsgo_native.csv); LM-01; RS-10; RS-12; RS-13; negative_findings.md items 2; 4; X-ABL-02 (S6.5 isolation null) + E1 basis isolation (S9.1; rev-rel-2026-08-26-dd42d37eb); honest-framing pass,50; 2.48; 2.80; 10; 30; 20,2.48; 2.80; 20,BOUND,\abstract{ Published gaining-sharing knowledge (GSK) variants adapt scalar control and donor/selection policy to a singl
main.tex,yes,183,(preamble),no,,,,,NO_NUMBERS,\keyword{ metaheuristic optimization; gaining-sharing knowledge; dimension-tiered adaptive configuration selection; dete
main.tex,yes,196,(preamble),no,,,,,NO_NUMBERS,\begin{document}
main.tex,yes,200,(preamble),no,,,,,NO_NUMBERS,\input{sections/introduction} \input{sections/related_work} \input{sections/proposed_algorithm} \input{sections/performa
main.tex,yes,214,(preamble),yes,,,,,NO_NUMBERS,"\supplementary{The following supporting information accompanies this article: Supplementary Sections S1--S9, comprising "
main.tex,yes,236,(preamble),no,,,,,NO_NUMBERS,"\authorcontributions{Conceptualization, M.E.M.; methodology, M.E.M. and A.W.M.; software, M.E.M.; formal analysis, M.E.M"
main.tex,yes,257,(preamble),no,,,,,NO_NUMBERS,\funding{This research received no external funding.}
main.tex,yes,261,(preamble),no,,,,,NO_NUMBERS,\vspace{1em} \noindent\textbf{Institutional Review Board Statement:}\quad Not applicable.
main.tex,yes,264,(preamble),no,,,,,NO_NUMBERS,\vspace{1em} \noindent\textbf{Informed Consent Statement:}\quad Not applicable.
main.tex,yes,267,(preamble),yes,CN-02,CN-02 (evidence_release_manifest.json; evidence_release_manifest_cec2013lsgo.json; evidence_release_manifest_cec2020.json; analysis_checksums.sha256; _ablation/manifest.json); FINAL_PUBLICATION_PLAN.md 0.4 sentence (c); adopted verbatim; decision_log D-0025; CN-02 (LICENSE; docs/LICENSES.md; runbook.md),4.0; 4.0,4.0; 4.0,BOUND,"\vspace{1em}       \noindent\textbf{Data Availability Statement:}\quad The source code, configuration files, and experim"
main.tex,yes,319,(preamble),yes,,,2026; 4.6; 4.8; 5.0,4.6; 4.8; 5.0,UNBOUND_NUMBER,\vspace{1em} \noindent\textbf{Use of Generative Artificial Intelligence:}\quad During the preparation and revision of th
main.tex,yes,358,(preamble),yes,,,4.6; 4.8; 5.0,4.6; 4.8; 5.0,UNBOUND_NUMBER,"\acknowledgments{During the preparation and revision of this manuscript, the authors used Claude (Opus 4.6, 4.8 and 5.0;"
main.tex,yes,386,(preamble),yes,RS-12,SAP addendum Section 10 (conflict-adjacency disclosure; factual clause corrected per Amendment 3 A3.2); RS-12,,,BOUND,\conflictsofinterest{Author A.W.M. is the originator of the baseline Gaining-Sharing Knowledge (GSK) algorithm and a co-
main.tex,yes,416,(preamble),no,,,,,NO_NUMBERS,\abbreviations{The following abbreviations are used in this manuscript:\\
main.tex,yes,423,(preamble),yes,,,,,NO_NUMBERS,\noindent \begin{tabular}{@{}ll} GSK      & Gaining-Sharing Knowledge \\ \dtgsk{} & Dimension-Tiered Gaining-Sharing Kno
main.tex,yes,445,(preamble),no,,,,,NO_NUMBERS,\reftitle{References} \externalbibliography{yes} \bibliography{references}
main.tex,yes,450,(preamble),no,,,,,NO_NUMBERS,\end{document}
sections/conclusions.tex,yes,15,Conclusions,yes,MT-01; MT-02; MT-03; MT-04; MT-05; MT-06; MT-07; MT-08; MT-09,MT-01 (frozen contribution wording); MT-08; MT-09; MT-02..MT-07; ART-PARAMS (no per-suite tuning; bound-constrained scope); production_deviation_record.md D-8.4,50,,BOUND,"This paper introduced \dtgsk{}, a GSK-family algorithm that retains the gaining-sharing vector-update equations and laye"
sections/conclusions.tex,yes,33,Conclusions,yes,CN-01; RS-01; RS-10; RS-12; RS-13,RS-01 NARROWED; CN-01 (AN-RANKAGG-2017-OVERALL; AN-OMNI-2017-D10/D30/D50/D100); TAB-T15 (decision-column tally); M-028 (no global FWER claim); negative_findings.md items 3-4 (TAB-T15 eGSK rows; nemenyi_cd_cec2017_D*.csv); RS-10 ACCEPTED (AN-OMNI-2011-NATIVE; AN-PW-2011-NATIVE); AN-RANKAGG-2013-OVERALL; AN-OMNI-2013-D30 (negative_findings.md item 10); RS-12 ([AGSK first] variant verbatim per Amendment 2 A2.3; factual clause corrected per Amendment 3 A3.2; friedman_ranks_cec2020_overall.csv; wilcoxon_holm_cec2020_15.csv; wilcoxon_holm_cec2020_20.csv); RS-13 (friedman_ranks_cec2013lsgo_native.csv; wilcoxon_holm_cec2013lsgo_native.csv; wilcoxon_run_cec2013lsgo_native.csv); AN-ROB-2017-01; AN-ROB-2017-04 (r01/r04 DIVERGE verdicts); AN-ROB-2020 (robustness_cec2020.csv: dt-gsk aggregate ordinal 4 under both variants; D15 rank diverge under median),2.48; 2.96; 10; 50; 100; 2.88; 2.21; 2.34; 30; 2.50; 2.29; 24; 17; 7; 6; 10; 0.0035; 30; 50; 100; 0.199; 1.0; 0.795; 30; 11; 13; 12; 1.67; 3.36; 2.52; 4.2; 10; 2.80; 30; 20; 3.13; 15,2.48; 2.96; 2.88; 2.21; 2.34; 2.50; 2.29; 24; 17; 0.0035; 0.199; 1.0; 0.795; 1.67; 3.36; 2.52; 4.2; 2.80; 20; 3.13; 15,BOUND,The empirical findings are panel-scoped and dimension-resolved --- the study characterizes the algorithm's standing tier
sections/conclusions.tex,yes,88,Conclusions,yes,LM-01; LM-02; LM-03; LM-04; LM-05; LM-06,E3 (rev-rel-2026-08-26-dd42d37eb); C2 narrowed; D30 tier; LM-06 (adopted limitation sentence (b); verbatim; may not be cut for page budget); FINAL_PUBLICATION_PLAN.md 0.4 sentence (c) reconciliation; decision_log D-0025; LM-01..LM-05; see Supplementary Material Section S5 for the full statements,30; 30; 50; 30; 30; 10; 20; 29; 5.5; 20; 50; 10; 50; 0; 1000,20; 5.5; 20; 0; 1000,BOUND,"\paragraph{Limitations.} No parameter-sensitivity study was performed: the tier constants are frozen and hash-locked, an"
sections/conclusions.tex,yes,141,Conclusions,yes,CN-02; LM-05,E1 (rev-rel-2026-08-26-dd42d37eb); C1 basis-neutral This is a failure to detect an effect; not a demonstration that; LM-05 (revised; CR-0019: component-isolation ceiling D<=100; no component attribution at D=1000); CN-02,50; 1.4; 25; 29; 50; 1000,1.4; 25; 1000,BOUND,Component-level evidence anchors the mechanisms and frames the open questions. A scaffold remove-one component study ---
sections/introduction.tex,yes,16,Introduction,yes,PR-01; PR-02,PR-01; PR-02 (suite-definition roles),50; 100,,BOUND,"Bound-constrained continuous minimization under a hard evaluation budget --- no derivatives, a fixed cap on objective ev"
sections/introduction.tex,yes,39,Introduction,yes,,EC:mohamed2020gaining (BG-01); EC cards (BG-02; card-bounded descriptions),,,BOUND,GSK is a human-inspired metaheuristic whose junior and senior knowledge-transfer phases define the base operator family 
sections/introduction.tex,yes,71,Introduction,yes,BG-03; MT-01,BG-03 (gap scoped to the GSK-family variants cited in this paper; single scope; matches Sections 2.1 and 2.3); MT-01 (frozen contribution wording),,,BOUND,"The common boundary of the GSK-family variants cited in this paper is what they adapt: scalar control parameters, donor "
sections/introduction.tex,yes,94,Introduction,no,,,,,NO_NUMBERS,The contributions are:
sections/introduction.tex,yes,96,Introduction,yes,CN-02; MT-02; MT-03; MT-04; MT-06; MT-07; MT-09; MT-10,MT-09; E1 basis isolation (rev-rel-2026-08-26-dd42d37eb); MT-02; MT-03; MT-04; MT-06; MT-07 (honest MOD/ORI labels); MT-10; CN-02 (C3; validation bullet carries no numbers),4; 50; 1.4; 100; 13,1.4,BOUND,"\begin{itemize}[leftmargin=*,labelsep=4.9mm] \item \textbf{C1 --- a deterministic final polish.} A one-shot, RNG-free   "
sections/introduction.tex,yes,152,Introduction,yes,,,50,,PROTOCOL_OR_STRUCTURAL,"The interaction-structure memory is an online, decaying, evidence-gated coordinate-pair graph learned from strictly impr"
sections/introduction.tex,yes,154,Introduction,no,,,,,NO_NUMBERS,"The remainder of the paper is organized as follows. Section~\ref{sec:related} reviews the GSK family, positions the inte"
sections/performance.tex,yes,9,Experimental Study,yes,,,30; 10,,PROTOCOL_OR_STRUCTURAL,"On CEC2017 \dtgsk{} attains the best overall Friedman mean rank in the seven-algorithm panel, placing first at three of "
sections/performance.tex,yes,31,Experimental Setup,yes,LM-04,environment_record.json (release_id; strict_source; packages); evidence_release_manifest_cec2013lsgo.json; evidence_release_manifest_cec2020.json; LM-04 (papers/governance/data_ledger.csv; comparability_audit.md),1.15,1.15,BOUND,"\paragraph{Evidence discipline.} Every empirical value in this paper derives from a versioned, immutable evidence releas"
sections/performance.tex,yes,59,Experimental Setup,yes,PR-01; PR-02; PR-03; PR-04; PR-05; RS-12; RS-13,PR-01; PR-04; PR-05 (claims matrix; benchmark_protocol_audit.md); PR-02; PR-04 (claims matrix; data_ledger.csv); benchmarks/cec_suite_python/cec2011/_constants.py (NAN_PENALTY); PR-03 (claims matrix); captions_registry conventions; SAP addendum Section 2 (protocol facts registered before any CEC2020 datum); RS-12; SAP addendum Section 2; RS-13; production_deviation_record.md D-8.2 (Ackley variant),"29; 10; 30; 50; 100; 51; 10; 4; 10; 22; 25; 150,000; 10; 30; 28; 10; 30; 50; 51; 10; 4; 10; 5; 10; 15; 20; 5; 38; 30; 5; 10; 4; 10; 6; 3; 10; 6; 10; 7; 5; 10; 15; 20; 10; 15; 1000; 905; 25; 3; 10; 6","25; 150,000; 15; 20; 38; 15; 20; 15; 1000; 905; 25",BOUND,"\paragraph{Suites, budgets, and metrics.} Table~\ref{tab:protocol} summarizes the frozen protocol. The primary suite is "
sections/performance.tex,yes,109,Experimental Setup,yes,PR-04; PR-06,papers/governance/seed_and_pairing_audit.md (formula; base seed; audit counts); PR-04; PR-06; SAP addendum Sections 2 and 12 (CEC2020/CEC2013LSGO protocol facts; unified seed policy; pairing audits),"70,813; 0; 0; 38; 5; 905; 29; 10; 30; 50; 100; 51; 10; 4; 10; 0; 22; 25; 150,000; 28; 10; 30; 50; 51; 10; 4; 10; 0; 10; 5; 10; 15; 20; 30; 5; 10; 4; 10; 6; 3; 10; 6; 10; 7; 10; 0; 15; 1000; 905; 25; 3; 6; 5; 20240620; 1000003; 1000033; 1000037; 2; 31; 2; 1; 5; 5; 0; 5; 0.05; 6; 10","70,813; 0; 0; 38; 905; 0; 25; 150,000; 0; 15; 20; 0; 15; 1000; 905; 25; 20240620; 1000003; 1000033; 1000037; 31; 0",BOUND,"\begin{table}[H] \caption{Frozen evaluation protocol, one row per suite. The seed schedule is optimizer-independent and "
sections/performance.tex,yes,143,Experimental Setup,yes,CN-02; PR-06; RS-12; RS-13,production_deviation_record.md D-8.4 (linkage_block_size_by_dim 905/1000 -> 50); RS-13; captions_registry (ART-PARAMS caption: no per-suite tuning; bound-constrained scope); CN-02; SAP addendum Section 1 (suite roles); RS-12; RS-13; papers/governance/seed_and_pairing_audit.md Sec.4; PR-06 (claims matrix); seed_and_pairing_audit.md; negative_findings.md item 8; captions_registry [APGSK-GAP],905; 1000; 50; 10; 0; 5; 0; 100; 10; 30; 50,905; 1000; 0; 0,BOUND,"\paragraph{Panel, pairing, and seed-paired start.} The comparison panel is exactly the seven-algorithm GSK family of Tab"
sections/performance.tex,yes,208,Experimental Setup,yes,CN-02; MT-11,fp_environment_audit.md Sec.2 (residual limitation); N-017; benchmarks/cec_reference_results/cec2017/dt-gsk/environment.json (cpu 22; platform; python; numba; workers; fp_regime); fp_environment_audit.md Sec.2 (comparator-kernel probe gap); environment_record.json (packages); MT-11; CN-02 (claims matrix); implementation_correspondence.md note 2 (single-thread byte-stability precondition); benchmark_protocol_audit_part2.md Sec.7.5 (boundary semantics: DT-GSK strict truncation vs comparator terminal-batch overrun; counted budgets exactly MaxFES for all seven); phase_08/build_record.md note AG-0007 (GenAI methods-level disclosure; back-matter placement),"22; 11; 10.0; 3.10; 0.64; 15; 2.2; 1.15; 2.3; 10; 1,845; 75,250; 962; 883; 742; 1,103; 50","10.0; 3.10; 0.64; 15; 2.2; 1.15; 2.3; 1,845; 75,250; 962; 883; 742; 1,103",BOUND,"\paragraph{Environment and determinism.} All runs were executed on a 22-logical-core Windows workstation (Windows 11, bu"
sections/performance.tex,yes,276,Experimental Setup,yes,RS-08,phase6_run_analysis.py L333/359/1879/1946 (zero_method=wilcox; normal_approx_continuity); L2233-2241 (across-function A12 on per-function means); RS-08; T03 (run-level A12 workbook); AN-OMNI-2017-D10..D100 (tie_correction_C; friedman_chi2_uncorrected); M-026; captions_registry conventions (alpha; tie rule; CD formula; n_boot); environment_record.json (scipy),"29; 0; 0.05; 10; 10; 0; 12; 12; 0.5; 0.56; 0.64; 0.71; 10; 10; 0.05; 1; 12; 29; 12; 0.56; 0.64; 0.71; 12; 0; 10,000; 10; 0.0000; 1.15; 0.05; 7; 2.949; 10; 0; 0.890; 10; 9; 29; 0.979; 30; 1; 50; 100; 1",0; 0; 0.5; 0.56; 0.64; 0.71; 0.56; 0.64; 0.71; 0; 0.0000; 1.15; 2.949; 0; 0.890; 0.979,BOUND,"\paragraph{Statistical protocol.} Hypotheses are stated once here. For each comparator and dimension, a two-sided Wilcox"
sections/performance.tex,yes,379,Per-Function Results,yes,,TAB-T15 (papers/tables/T15.tex; GSK rows); AN-CLASS-2017 (class_ranks_cec2017.csv; hybrid rows); AN-CLASS-2017 (class_ranks_cec2017.csv; simple_multimodal rows); AN-CLASS-2017 (class_ranks_cec2017.csv; composition rows),51; 22; 19; 22; 20; 10; 30; 50; 100; 30; 1.60; 30; 1.80; 50; 2.30; 100; 10; 50; 100; 2.07; 2.29; 1.71; 30; 3.29; 2.43; 10; 3.70; 2.65; 2.75; 2.90; 50; 2.50; 30; 100; 2.85; 2.45; 2.90; 2.70,19; 20; 1.60; 1.80; 2.30; 2.07; 2.29; 1.71; 3.29; 2.43; 3.70; 2.65; 2.75; 2.90; 2.50; 2.85; 2.45; 2.90; 2.70,BOUND,"The complete per-function tables are provided at every dimension in Supplementary Materials, Sections~S1 and~S2. Section"
sections/performance.tex,yes,410,Family-Panel Comparison,yes,RS-01,AN-OMNI-2017-D10/D30/D50/D100 (friedman_ranks_cec2017_D*.csv); TAB-T16; TAB-T15 (eGSK rows); negative_findings.md item 3; RS-01 NARROWED (AN-RANKAGG-2017-OVERALL; friedman_ranks_cec2017_overall.csv),10; 2.88; 50; 2.21; 100; 2.34; 30; 2.50; 2.29; 1.2; 10; 11; 30; 13; 50; 12; 100; 50; 2.48; 7; 2.96,2.88; 2.21; 2.34; 2.50; 2.29; 1.2; 2.48; 2.96,BOUND,Table~\ref{tab:friedman-cec2017} reports the Friedman mean ranks of the seven-algorithm panel per dimension (its final c
sections/performance.tex,yes,435,Family-Panel Comparison,yes,,TAB-T16 (validated); captions_registry TAB-T16,10; 30; 50; 100; 29; 51; 1.2; 10,1.2,BOUND,\begin{table}[H] \caption{Friedman mean ranks (lower is better) of the seven-algorithm GSK-family panel on CEC2017 per d
sections/performance.tex,yes,453,Family-Panel Comparison,yes,,FIG-CEC2017-RANKS (captions_registry),29; 51,,BOUND,\begin{figure}[H] \centering \includegraphics[width=0.75\textwidth]{figures/ranks/cec2017_mean_ranks.pdf} \caption{Fried
sections/performance.tex,yes,465,Statistical Analysis,yes,,,0.05; 0.05,,PROTOCOL_OR_STRUCTURAL,\paragraph{Statistical protocol.} Comparisons use the Wilcoxon signed-rank test~\cite{wilcoxon1945individual} on paired 
sections/performance.tex,yes,486,Statistical Analysis,yes,,TAB-T15 (A12 unit-of-analysis; APGSK-GAP provenance),12; 29; 12; 10; 30; 50,,BOUND,"Table~\ref{tab:wilcoxon-holm} reports the across-function Wilcoxon tests with Holm correction, win/tie/loss counts, rank"
sections/performance.tex,yes,500,Statistical Analysis,yes,,TAB-T15 (validated); captions_registry TAB-T15,29; 51; 10; 30; 50; 100; 6; 0.05; 10; 0; 2,0,BOUND,"\begin{table}[H] \caption{\dtgsk{} vs.\ each GSK-family comparator on CEC2017 (29 functions, 51 runs, per-function mean "
sections/performance.tex,yes,516,Statistical Analysis,yes,,TAB-T15 (tally of the Dec. columns); Holm family = 6 per dimension (Sec. statistical protocol); AN-GHOLM-2017 (global_holm_sensitivity_cec2017.csv); M-028; TAB-T15 (eGSK rows); negative_findings.md items 1; 3; TAB-T15 (GSK row); negative_findings.md item 6; TAB-T15 (D10 columns); negative_findings.md item 5; TAB-T15 (AGSK/APGSK/FDB-AGSK/ATMALS-GSK rows),24; 17; 7; 6; 24; 24; 15; 24; 10; 30; 0.05; 10; 0.0035; 30; 50; 100; 0.199; 1.0; 0.795; 100; 0.0323; 0.0646; 20; 10; 1.0; 30; 50; 100; 0.011; 0.037; 100; 0.977,24; 17; 24; 24; 15; 24; 0.0035; 0.199; 1.0; 0.795; 0.0323; 0.0646; 20; 1.0; 0.011; 0.037; 0.977,BOUND,"Of the 24 Holm-corrected cells (six comparators $\times$ four dimensions), 17 are significant wins for \dtgsk{}, 7 show "
sections/performance.tex,yes,554,Statistical Analysis,yes,,TAB-T16-BCA (papers/tables/T16_bca.tex; table typeset in the,2.29; 3.43; 2.07; 3.10; 1.86; 2.69; 1.90; 2.83; 10; 30; 50; 100; 30; 50; 100,2.29; 3.43; 2.07; 3.10; 1.86; 2.69; 1.90; 2.83,BOUND,"Seeded bootstrap BCa rank-stability intervals attached to the Friedman mean ranks (Supplementary Materials, Section~S2) "
sections/performance.tex,yes,566,Statistical Analysis,yes,,nemenyi_cd_cec2017_D10.csv (CD = 1.672993; q = 2.949); negative_findings.md item 4 (rank gaps vs CD),7; 29; 0.05; 0.05; 1; 1.67; 0.05; 2.949; 1.36; 0.21; 0.41; 0.34; 10; 30; 50; 100; 100; 0.35,1.67; 2.949; 1.36; 0.21; 0.41; 0.34; 0.35,BOUND,"Figure~\ref{fig:cd-cec2017} shows the Nemenyi mean-rank plots with CD span (one panel per dimension), emitted only becau"
sections/performance.tex,yes,582,Statistical Analysis,yes,,FIG-CD-D10/D30/D50/D100 (captions_registry; consolidated 2x2 grid image),10; 30; 50; 100; 7; 29; 0.05; 1.67; 0.05; 2.949; 10; 30; 50; 100,1.67; 2.949,BOUND,\begin{figure}[htbp] \centering \includegraphics[width=\textwidth]{figures/nemenyi/nemenyi_cd_cec2017_grid.pdf} \caption
sections/performance.tex,yes,600,Statistical Analysis,yes,,AN-TREND-2017 (rank_trend_cec2017.csv); negative_findings.md item 9,10; 30; 50; 100; 2.88; 2.50; 2.21; 2.34; 30; 100; 50,2.88; 2.50; 2.21; 2.34,BOUND,"The Friedman mean rank improves with dimension overall but is not monotone across $D \in \{10, 30, 50, 100\}$ --- 2.88, "
sections/performance.tex,yes,607,Statistical Analysis,yes,,AN-ROB-2017-01; AN-ROB-2017-04 (robustness_cec2017_r01/r04*.csv; negative_findings.md item 7); AN-ROB-2017-05 (r05 unpaired companion); AN-EXP-BH-2017; AN-ROB-2017-02 (r02 branch-B surrogate disclosure),"21; 17; 10; 10; 50; 50; 30; 1; 2; 1; 1; 10; 30; 50; 100; 100; 2.59; 696; 51; 11; 21; 10; 71,400; 0; 10","21; 17; 2.59; 696; 21; 71,400; 0",BOUND,"\paragraph{Robustness of the rank statements.} A prespecified robustness battery accompanies the release, and two of its"
sections/performance.tex,yes,648,Results on the CEC2011 Real-World Suite,yes,PR-02,PR-02 (claims matrix); TAB-T01 relocated to Supplement S2 (M028 density),22,,BOUND,The per-problem five-statistic results of \dtgsk{} against the original GSK on the 22 CEC2011 problems --- together with
sections/performance.tex,yes,661,Results on the CEC2011 Real-World Suite,yes,IN-03; RS-10,AN-OMNI-2011-NATIVE (friedman_ranks_cec2011.csv); RS-10 ACCEPTED wording; AN-PW-2011-NATIVE (wilcoxon_holm_cec2011.csv; egsk row); negative_findings.md item 2; AN-PW-2011-NATIVE (wilcoxon_holm_cec2011.csv all rows); TAB-T06 (papers/tables/T06.tex; R+; R-; p; p_holm; W/T/L); IN-03 NARROWED (claims matrix),3.36; 2.52; 4.27; 6.0; 10; 9.5; 10; 4.2; 10; 0.84; 1.92; 1.6; 10; 4.2; 10; 0.137; 0.323; 13; 159; 51; 4.6; 10; 0.137; 22,3.36; 2.52; 4.27; 6.0; 9.5; 4.2; 0.84; 1.92; 1.6; 4.2; 0.137; 0.323; 159; 4.6; 0.137,BOUND,"Within the GSK-family panel, \dtgsk{} places second of seven on CEC2011 by Friedman mean rank (3.36), behind \egsk{} (2."
sections/performance.tex,yes,697,Results on the CEC2011 Real-World Suite,yes,,FIG-CEC2011-RANKS (captions_registry) [CEC2011-EGSK-LOSS],22; 25; 4.2; 10,25; 4.2,BOUND,\begin{figure}[H] \centering \includegraphics[width=0.70\textwidth]{figures/ranks/cec2011_ranks.pdf} \caption{Friedman m
sections/performance.tex,yes,712,Results on the CEC2013 Second Comparison Suite,yes,PR-03; RS-11,PR-03; RS-11 (claims matrix),,,BOUND,CEC2013 is reported as a second comparison suite --- for breadth of comparison under the identical protocol --- and carr
sections/performance.tex,yes,720,Results on the CEC2013 Second Comparison Suite,yes,,AN-RANKAGG-2013-OVERALL (friedman_ranks_cec2013_overall.csv),2.80; 3.41,2.80; 3.41,BOUND,"Within the GSK-family panel, \dtgsk{} attains the best overall Friedman mean rank on CEC2013 (2.80, unweighted mean of t"
sections/performance.tex,yes,727,Results on the CEC2013 Second Comparison Suite,yes,PR-03,AN-RANKAGG-2013-OVERALL (friedman_ranks_cec2013_overall.csv); AN-OMNI-2013-D10/D30/D50 (friedman_ranks_cec2013_D{10; 30; 50}.csv); PR-03 (second comparison suite; no independence claim),28; 51; 1.1; 10; 5.88; 4.98; 5.16; 5.34; 3.80; 4.48; 4.52; 4.27; 3.88; 4.63; 4.79; 4.43; 3.95; 4.13; 4.27; 4.11; 4.21; 3.34; 3.38; 3.64; 3.88; 3.07; 3.29; 3.41; 2.41; 3.38; 2.61; 2.80,1.1; 5.88; 4.98; 5.16; 5.34; 3.80; 4.48; 4.52; 4.27; 3.88; 4.63; 4.79; 4.43; 3.95; 4.13; 4.27; 4.11; 4.21; 3.34; 3.38; 3.64; 3.88; 3.07; 3.29; 3.41; 2.41; 3.38; 2.61; 2.80,BOUND,\begin{table}[H] \caption{Friedman mean ranks (lower is better) of the seven-algorithm GSK-family panel on the CEC2013 s
sections/performance.tex,yes,755,Results on the CEC2013 Second Comparison Suite,yes,RS-11,AN-OMNI-2013-D10/D30/D50 (friedman_ranks_cec2013_D*.csv); negative_findings.md item 10; AN-PW-2013-D30 (wilcoxon_holm_cec2013_D30.csv; egsk/atmals rows); TAB-T14 (papers/tables/T14.tex); AN-PW-2013-D10/D30/D50; AN-OMNI-2013-D10/D30/D50 (ordinal reading of friedman_ranks_cec2013_D*.csv); RS-11 permitted wording,10; 2.41; 5.3; 10; 30; 3.38; 3.07; 3.34; 1.1; 10; 50; 2.61; 2.9; 10; 30; 30; 0.748; 1.9; 10; 3.1; 10; 2.7; 10; 10; 30; 50; 24; 21; 24; 340; 11; 286; 65; 314; 37,2.41; 5.3; 3.38; 3.07; 3.34; 1.1; 2.61; 2.9; 0.748; 1.9; 3.1; 2.7; 24; 21; 24; 340; 286; 65; 314; 37,BOUND,"The per-dimension picture is first/third/first: at $D = 10$, \dtgsk{} leads with mean rank 2.41 (omnibus $p = 5.3 \times"
sections/performance.tex,yes,791,Results on the CEC2020 Pre-Registered Confirmatory Suite,yes,,SAP addendum Sections 3-4; 9; 13 (signing commit 5c9bfae82; before any CEC2020 datum); Amendment 2 A2.3; SAP addendum Section 2 (registered protocol facts); yue2020cec2020,10; 5; 10; 15; 20; 5; 38; 30; 5; 10; 4; 5; 10; 7; 20; 10,15; 20; 38; 20,BOUND,"CEC2020 is the one suite in this study whose entire analysis --- the hypotheses, the analysis families, the tie rules, a"
