suite,variant,dimension,row_type,algorithm,comparator,primary_value,primary_ordinal,variant_value,variant_ordinal,verdict,note
cec2013lsgo,loo_F2,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F2,native,rank,dt-gsk,n/a,3.133333e+00,1,3.142857e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,gsk,n/a,3.866667e+00,4,3.642857e+00,3,diverge,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,agsk,n/a,3.133333e+00,1,2.928571e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.928571e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,egsk,n/a,5.466667e+00,7,5.642857e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F3,native,rank,dt-gsk,n/a,3.133333e+00,1,3.214286e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,gsk,n/a,3.866667e+00,4,3.785714e+00,4,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,agsk,n/a,3.133333e+00,1,3.214286e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,apgsk,n/a,4.933333e+00,6,5.000000e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.000000e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.357143e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F4,native,rank,dt-gsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,gsk,n/a,3.866667e+00,4,4.071429e+00,5,diverge,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,agsk,n/a,3.133333e+00,1,2.928571e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,apgsk,n/a,4.933333e+00,6,4.785714e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.857143e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.500000e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,egsk,n/a,5.466667e+00,7,5.714286e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F5,native,rank,dt-gsk,n/a,3.133333e+00,1,3.142857e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,gsk,n/a,3.866667e+00,4,3.714286e+00,3,diverge,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,agsk,n/a,3.133333e+00,1,3.071429e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.714286e+00,3,diverge,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,egsk,n/a,5.466667e+00,7,5.642857e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F6,native,rank,dt-gsk,n/a,3.133333e+00,1,3.214286e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F7,native,rank,gsk,n/a,3.866667e+00,4,3.928571e+00,4,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,agsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,apgsk,n/a,4.933333e+00,6,5.000000e+00,6,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.071429e+00,5,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.428571e+00,3,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,egsk,n/a,5.466667e+00,7,5.428571e+00,7,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F7,native,rank,dt-gsk,n/a,3.133333e+00,1,2.857143e+00,1,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F8,native,rank,gsk,n/a,3.866667e+00,4,4.000000e+00,5,diverge,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,agsk,n/a,3.133333e+00,1,3.142857e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,apgsk,n/a,4.933333e+00,6,4.857143e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.928571e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.428571e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F8,native,rank,dt-gsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,gsk,n/a,3.866667e+00,4,4.071429e+00,5,diverge,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,agsk,n/a,3.133333e+00,1,2.928571e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,apgsk,n/a,4.933333e+00,6,4.785714e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.857143e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.500000e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,egsk,n/a,5.466667e+00,7,5.714286e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F9,native,rank,dt-gsk,n/a,3.133333e+00,1,3.142857e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,gsk,n/a,3.866667e+00,4,3.642857e+00,4,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,agsk,n/a,3.133333e+00,1,3.071429e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,apgsk,n/a,4.933333e+00,6,5.214286e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.000000e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.428571e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,egsk,n/a,5.466667e+00,7,5.428571e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F10,native,rank,dt-gsk,n/a,3.133333e+00,1,3.214286e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,gsk,n/a,3.866667e+00,4,4.000000e+00,5,diverge,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,agsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.928571e+00,4,diverge,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.357143e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F11,native,rank,dt-gsk,n/a,3.133333e+00,1,3.142857e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,gsk,n/a,3.866667e+00,4,3.785714e+00,4,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,agsk,n/a,3.133333e+00,1,3.142857e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,apgsk,n/a,4.933333e+00,6,4.857143e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.928571e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F12,native,rank,dt-gsk,n/a,3.133333e+00,1,3.214286e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,gsk,n/a,3.866667e+00,4,3.857143e+00,4,agree,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,agsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,apgsk,n/a,4.933333e+00,6,5.071429e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.071429e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.357143e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F13,native,rank,dt-gsk,n/a,3.133333e+00,1,3.000000e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,gsk,n/a,3.866667e+00,4,3.857143e+00,4,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,agsk,n/a,3.133333e+00,1,3.285714e+00,2,diverge,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,fdb-agsk,n/a,3.933333e+00,5,4.000000e+00,5,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.357143e+00,3,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,egsk,n/a,5.466667e+00,7,5.357143e+00,7,agree,leave-one-function-out
cec2013lsgo,loo_F14,native,rank,dt-gsk,n/a,3.133333e+00,1,3.214286e+00,1,agree,leave-one-function-out
cec2013lsgo,loo_F15,native,rank,gsk,n/a,3.866667e+00,4,4.000000e+00,5,diverge,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,agsk,n/a,3.133333e+00,1,3.142857e+00,2,diverge,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,apgsk,n/a,4.933333e+00,6,4.928571e+00,6,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,fdb-agsk,n/a,3.933333e+00,5,3.785714e+00,4,diverge,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,atmals-gsk,n/a,3.533333e+00,3,3.714286e+00,3,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,egsk,n/a,5.466667e+00,7,5.571429e+00,7,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
cec2013lsgo,loo_F15,native,rank,dt-gsk,n/a,3.133333e+00,1,2.857143e+00,1,agree,"EXPLORATORY, inspection-informed deletion (addendum Sec.4)"
