claim_id,surface,manuscript_location,claim_text_abridged,claim_class,evidence_offered,verification_performed,verification_result,evidence_ceiling_max_supported_wording,disposition,ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status
C-012,introduction,introduction.tex:101-112,C2 - dimension-tiered adaptive scaffold; NLPSR explicitly not claimed as new; 'we did not find ARGP's acceptance-rate-gated arm-freezing rule among the surveyed GSK variants'.,NOVELTY,MT-02..MT-07; related_work.tex Table 1.,Read introduction.tex:101-112; compared with MT-03/MT-04 permitted wording.,"Originality is stated as a bounded negative search result ('we did not find'), not as priority. Matches MT-04 ('no direct GSK-family antecedent in the cited corpus').",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-013,introduction,introduction.tex:113-132,"C3 - controlled, reproducible family evaluation: 13-substream prefix-locked RNG layer, paired optimizer-independent seeds, one checksum-verified configuration, versioned immutable release.",IMPLEMENTATION,MT-10; CN-02.,Counted SUBSTREAM_NAMES in src/gsk_family/optimizers/_dt_rng.py:192-206.,"Exactly 13 substreams (init, core, ace, kexp, div, bse, arch, link, de, control, flow, basin, trust) with a 9-name prefix lock asserted in code. Claim exact.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-014,introduction,introduction.tex:126-132,"The within-family scope is a design choice; one code base, one budget protocol and one harness confine implementation and environment confounds to the disclosed exceptions.",METHOD_PROPERTY,LM-03; LM-04; comparability_audit.md.,"Read introduction.tex:126-132 and the two named exceptions (eGSK SLSQP port, DT-GSK self-init).",Both exceptions are named in the same sentence; §10.5 same-family boundary respected.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-015,introduction,introduction.tex:135,"The present component isolation does not establish a consistent standalone performance contribution from ISM, and the function-class analysis reveals no systematic advantage on hybrid or composition categories (S6.5, S6.6).",STATISTICAL_RESULT,X-ABL-02; S6.5/S6.6.,"Confirmed S6.5 and S6.6 exist (supplementary.aux: subsection.6.5, subsection.6.6) and report exactly this null.","Permitted by the §10.9 narrowing (null, not a favorable result). Pointer resolves.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-020,related work,related_work.tex:39-42,GSK's original evaluation ranked it first on the CEC2017 score metric against ten methods and third by Friedman rank on CEC2011.,PRIOR_WORK,EC:mohamed2020gaining evidence card.,Card-bounded literature claim; corpus verification is the s6 seat's mandate.,Bounded to the cited source; no comparison to this paper's numbers is drawn.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-021,related work,"related_work.tex:129-131, 257-269","Within the cited GSK-variant family, none learns or exploits the interaction structure of accepted moves; the survey scope is explicit and reproducible and is not a state-of-the-art priority claim.",RESEARCH_GAP,BG-03; Table 1 (tab:family-review).,Read related_work.tex:257-269 and PDF line 362.,The universal negative is explicitly bounded to the tabulated lineage and disclaims priority over the wider literature - the correct treatment of an unverifiable universal.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-022,related work,related_work.tex:228-230 (Table 2 caption),ISM updates from accepted moves at no extra objective evaluations ... with linkage blocks re-extracted every fifth generation.,METHOD_PROPERTY,phase_03/parameter_table.md; frozen profile.,"Read src/gsk_family/optimizers/_dt_profiles.py:123 (interaction_graph_refresh_period=5) and :194-196 (D>=100 tier: interaction_update_period=10, interaction_graph_refresh_period=20).",'every fifth generation' holds only at D=50-99. At D>=100 the graph updates every 10 generations and blocks are re-extracted every 20 - as the body correctly states (proposed_algorithm.tex:468-471).,'re-extracted every fifth generation at D=50-99 and every twentieth at D>=100'.,qualify,S3-T13,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P3,Confirmed,claim-scope,tab:taxonomy caption,"A caption states one tier's cadence as if it were the algorithm's only cadence, contradicting the body two sections later.","related_work.tex:230 'linkage blocks re-extracted every fifth generation' vs proposed_algorithm.tex:468-471 'every 5 generations --- at D>=100, every 10 and 20 generations respectively'; _dt_profiles.py:123 vs :196.",Caption written for the D=50-99 tier before the D>=100 thinning was documented in the body.,A cost-comparison table that understates the cheapest tier's cadence misstates the method's cost profile against CMA-ES/eigenvector DE in the same table.,Very low; no number elsewhere depends on it.,Add 'at D=50-99; every twentieth at D>=100' to the caption.,Drop the cadence from the caption and cite §3.4.,None.,None,Caption agrees with the frozen profile at both tiers.,Re-render and diff the caption against _dt_profiles.py.,open
C-023,related work,related_work.tex:213-221,ISM is not claimed to recover the objective's true interaction structure or to confer rotational invariance; it accumulates heuristic evidence from accepted moves.,LIMITATION,novelty_scope.md non-claims.,Read related_work.tex:213-221 and proposed_algorithm.tex:482-490 (same non-claim repeated).,Explicit non-claims present in both sections; this pre-empts the §10.13 'SGSM not distinguished from differential grouping / covariance adaptation' rejection risk.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-030,method,"proposed_algorithm.tex:205-210, 423-425",The separately preserved global best is never re-initialized and is what the run returns; the restart therefore never loses ground.,METHOD_PROPERTY,MT-07; R-04 remediation.,Read proposed_algorithm.tex:205-210 and :423-427.,The elitist-except-deep-stall-restart distinction is now printed explicitly; R-04 correctly closed at the claim level.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-031,method,proposed_algorithm.tex:585-598,"The polish operates on the incumbent re-materialized atomically at entry; a probe is accepted only if strictly better, so the stage cannot corrupt any reported result and can never exceed MaxFES.",METHOD_PROPERTY,MT-09; MT-11; S6.7 stale-incumbent defect record.,Read proposed_algorithm.tex:585-604 and supplementary.tex:2170-2185.,The pre-fix stale-incumbent defect is disclosed in S6.7 and the current text describes the corrected behaviour; no over-claim.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-032,method,proposed_algorithm.tex:491-499,"ISM consumes no extra objective evaluations but is not free: O(D^2) decay plus O(kD^2) accumulation per generation at D>=50, four decaying accumulators.",METHOD_PROPERTY,phase_03/complexity_analysis.md.,"Read proposed_algorithm.tex:491-499; cost is asserted, not hidden behind 'free'.",'no extra objective evaluations' is separated from 'no cost' - the exact distinction §4.6 requires for an overhead claim.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-033,method,"proposed_algorithm.tex:624-631, 271-273 (related_work)",An ISM-block subspace local search is implemented but not enabled in the frozen configuration (enable flag always false; clip-rate telemetry pinned at zero).,IMPLEMENTATION,ART-PARAMS; ISM-C001 disposition.,"Read proposed_algorithm.tex:624-631, related_work.tex:271-273, conclusions.tex:24-25.",The dormant component is disclosed in three places; the paper describes the coordinate LS that actually runs.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-034,method,proposed_algorithm.tex:716-724,Toggling a subsystem cannot perturb another's draws (substream isolation); this is not a cross-thread or cross-platform guarantee.,METHOD_PROPERTY,MT-10; _dt_rng.py prefix lock.,"Read _dt_rng.py:192-215 (positional child seeds, 9-name prefix lock asserted at import).",Structural guarantee matches the code; the platform caveat is printed alongside.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-035,method,proposed_algorithm.tex:783-786,"When a final batch would exceed the remaining budget only the fitting prefix is evaluated and charged, so runs are MaxFES-exact by construction.",METHOD_PROPERTY,MT-11; BudgetController.eval_batch_strict.,"Confirmed by tests/regression/test_budget_crossing_semantics.py (14 passed): dt-gsk leaves 0 uncounted rows, the six ports leave 8-50.",True for DT-GSK. The comparator-side companion claim is ticketed separately (S3-T05).,As printed for DT-GSK.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-040,experimental setup,performance.tex:23-30,"Every empirical value in this paper derives from a single versioned, immutable evidence release.",PROTOCOL,"environment_record.json (release_id, strict_source); §10.3 evidence lock.",Compared with supplementary.tex S6 opening (PDF supp. line ~2346).,"The supplement's S6 states the opposite for its own numbers: 'Every value below derives from a distinct, immutable ablation release held separately in the repository.' The Data Availability statement (main.tex:238-240) discloses both releases correctly.","'Every empirical value in the primary study derives from a single versioned, immutable evidence release; the supplementary component study draws on a separate ablation release.'",narrow,S3-T08,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P2,Confirmed,evidence,CN-02 / evidence_release_manifest.json,A universally-quantified evidence-lock sentence in the main text is contradicted by the supplement of the same submission.,"performance.tex:23-25 'Every empirical value in this paper derives from a single versioned, immutable evidence release' vs supplementary.tex S6 preamble 'Every value below derives from a distinct, immutable ablation release'; main.tex:238-240 names both.",'this paper' was written before S6 was appended to the same package.,An evidence-boundary statement that a reviewer can falsify from the same PDF pair weakens the strongest part of the submission (its provenance discipline).,"Low on validity, non-trivial on credibility: provenance is a headline selling point of this manuscript.","Replace 'in this paper' with 'in the primary study' (or add '; the supplementary component study uses a separate, equally immutable ablation release').",Add the same one-clause exception used in the Data Availability statement.,None.,None,The two 'every value' sentences stop contradicting each other.,grep both rendered PDFs for 'Every empirical value' / 'Every value below' and confirm the scopes are disjoint.,open
C-041,experimental setup,performance.tex:32-39,The eGSK panel cells derive from a port whose late polish uses SciPy-SLSQP whereas the reference implementation uses fmincon; no runtime-superiority claim is made anywhere.,LIMITATION,LM-04; comparability_audit.md; data_ledger.csv.,grep of the rendered PDF: 'no runtime-superiority claim is made anywhere in this paper' appears at PDF line 1283 and again at 1971 (limitations).,"The §10.13 'unfair eGSK provenance' risk is disclosed in setup, runtime section and limitations. No runtime comparison is drawn anywhere.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-042,experimental setup,performance.tex:41-70 + Table 3,"Protocol: CEC2017 29 functions (F2 excluded), D in {10,30,50,100}, 51 runs, MaxFES=1e4*D; CEC2011 22 problems, 25 runs, 150,000 FES; CEC2013 28 functions, D in {10,30,50}, 51 runs.",PROTOCOL,PR-01..PR-05; benchmark_protocol_audit.md.,"Row counts cross-checked against cost_cec2017.csv: 1479 = 29x51 (CEC2017), 1428 = 28x51 (CEC2013), 550 = 22x25 (CEC2011).",All three suites' run/function products reconcile exactly with the released per-cell counts.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-043,experimental setup,performance.tex:73-76 (Table 3 caption),"The full-schedule recomputation audit (70,813 rows, 0 mismatches) is part of the released evaluation record.",PROTOCOL,seed_and_pairing_audit.md.,grep seed_and_pairing_audit.md:31 and :91.,"EXACT: 'Total schedule rows recomputed and verified: 70,813; 0 mismatches.' plus 16,514 gen-log rows.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-044,experimental setup,performance.tex:117-124,"DT-GSK self-initializes its own 5*D population from the same seed-paired stream, so its initial population is not byte-identical to the shared X0; pairing is by seed/problem/run.",PROTOCOL / LIMITATION,PR-06; seed_and_pairing_audit.md §4.,Read performance.tex:117-124 and supplementary.tex:1230-1237 (self-init asymmetry restated as a limitation).,"The fairness asymmetry is disclosed twice, including 'most consequential at low dimension'. Not hidden.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-045,experimental setup,performance.tex:126-139 + Table 13/14 captions + Fig.4 caption,APGSK per-run records were available only at D=100 ... only its run-level companion analyses are unavailable at those dimensions.,PROTOCOL / EVIDENCE,negative_findings.md item 8; captions_registry [APGSK-GAP]; footnote disclosing post-freeze recovery.,"Counted APGSK rows in papers/analysis/rel-2026-07-20-67d9345f9/cec2017/wilcoxon_run_*.csv, effect_sizes_*.csv, bca_ci_*.csv and convergence_checkpoints_*.csv.","FALSE of the shipped release. At D10/D30/D50 the release carries 29 APGSK rows in wilcoxon_run (availability=ok), 29 in effect_sizes (availability=ok) and 29/25 in bca_ci; checkpoints at D30 are 406 rows with n_runs=51, identical to every other algorithm. phase6_run_analysis.py:335-348 documents that the static APGSK_GAP_DIMS skip list was replaced by a dynamic presence gate 'so cec2017/apgsk now has per-run rows at every dimension'. CR-0006 is APPROVED and records the recovery as a completeness correction.","'At analysis freeze the APGSK run-level records were unavailable, so the frozen inferential basis for those cells is the function-level test; the records were subsequently recovered (they reproduce the frozen summaries exactly) and are present in the released bundle.'",narrow,S3-T02,Stage 3,"R6 (T1-OPT lead, claim inventory)",Major,P1,Confirmed,evidence,AN-PW-2017-D10/D30/D50; CR-0006,"The manuscript asserts in the present tense that APGSK run-level analyses ARE unavailable at D<=50, and repeats the qualification in two table captions and a figure caption, although the shipped release computes and ships all of them.",performance.tex:133-134 'only its run-level companion analyses are unavailable at those dimensions' (present tense) immediately followed by a footnote saying they were recovered; performance.tex:340-342 and :353-355 captions carry an 'APGSK evidence gap' qualification; performance.tex:715-717 figure caption qualifies APGSK D30 checkpoints although convergence_checkpoints_cec2017_D30.csv has 406 APGSK rows at n_runs=51. Supplement S5.4 states it correctly in the past tense.,"The sentence predates CR-0006; only the footnote was added, and the surrounding present-tense clause plus three captions were not re-tensed.","PAPER_REVIEW_PROMPT §10.7 recovery-versus-comparability disposition: after a post-freeze recovery, any statement that seed-deterministic quantities 'do not exist' or are 'disclosed-unavailable' is a false existence claim and MUST be corrected (Major). A reviewer who downloads the release finds the cells the paper says are missing.","Moderate. No number changes, but a false existence claim about the authors' own released data is exactly the defect class that costs credibility at review, and the figure caption implies a convergence-evidence deficiency that does not exist.","Re-tense the main sentence ('were unavailable at analysis freeze; the frozen basis is therefore function-level'), delete the APGSK qualification from the Fig. 4 caption (checkpoints are complete), and reduce the two table captions to a pointer to the frozen-basis note.",Keep one consolidated footnote and remove the three caption echoes; or promote the recovered run-level APGSK cells to a supplementary sensitivity table showing the frozen and recovered bases agree.,None - CR-0006 evidence and the release already exist.,"None (text-only; no rerun, no new release).",Removes a checkable false statement and stops implying an APGSK convergence-data gap.,grep the rendered PDF for 'unavailable'/'availability qualification' near APGSK and confirm every instance is past-tense and freeze-scoped; confirm the Fig. 4 caption no longer qualifies APGSK.,open
C-046,experimental setup,performance.tex:164-178,"The comparator ports evaluate the terminal batch in full and count only its in-budget prefix ... strictly truncating them was verified to leave the returned solution, its fitness, and the charged budget bit-identical for all seven optimizers, so the crossing confers no search advantage.",METHOD_PROPERTY / PROTOCOL,tests/regression/test_budget_crossing_semantics.py; benchmark_protocol_audit_part2.md §7.5.,Ran python -m pytest tests/regression/test_budget_crossing_semantics.py -q -> 14 passed in 14.44s. Read the test module header and constants.,"The test is one synthetic cell: sphere objective, D=10, NP=100, MaxFES=1050, single seed 20240620, all seven optimizers; past-cap rows poisoned with 1e300 leave best_fitness, nfes and best_x bit-identical. The structural argument (past-cap rows enter no state) is dimension-independent, but the empirical verification is not campaign-wide, and no claims_evidence_matrix row or analysis_id binds this claim - it is bound only by a LaTeX source comment.","'a regression test over all seven optimizers on a synthetic cell shows that rows computed past the cap are inert - poisoning them leaves the returned solution, its fitness and the charged budget bit-identical - so the crossing cannot confer a search advantage.'",qualify,S3-T05,Stage 3,"R6 (T1-OPT lead, claim inventory)",Moderate,P2,Confirmed,evidence,R-14 / MT-11 (no matrix row),The load-bearing fairness claim behind the abstract's 'budget-fair' is verified on a single synthetic cell and is the only substantive main-text claim with no claims_evidence_matrix row and no analysis_id.,"performance.tex:170-174 asserts bit-identity 'for all seven optimizers' without scope; the cited evidence is tests/regression/test_budget_crossing_semantics.py with _DIM=10, _NP=100, _MAX_NFES=1050, _SEED=20240620 on a sphere objective. claims_evidence_matrix.csv has no row for the comparator-side crossing semantics (MT-11 covers DT-GSK's own strict path only).","R-14 was closed by adding the probe, but the probe's scope was not written into the sentence and the claim was never registered in the frozen claim matrix.",§10.1 requires every publishable claim to resolve to a claims_evidence_matrix row; §4.6 forbids generalizing beyond the tested configuration. A reviewer asking 'verified on what?' currently gets no answer from the paper.,"Moderate: the abstract's 'budget-fair' rests on this. The underlying argument is sound (inert rows), so the fix is scope wording plus a registry row, not new experiments.","State the verification's scope in one clause ('verified by a regression probe over all seven optimizers on a budget deliberately non-divisible by the population'), and add a claims_evidence_matrix row (e.g. PR-07) binding it to the test and to benchmark_protocol_audit_part2.md §7.5.",Alternatively cite the structural argument as primary ('the uncounted rows are discarded by the accounting layer before selection') and the probe as confirmation.,"Optional strengthening: run the same poison probe at D=100 on one CEC2017 function per optimizer (minutes, read-only, no release change).",None.,"Turns an unscoped verification claim into a scoped, registry-bound one.",Confirm a claims_evidence_matrix row exists for the crossing semantics and that the sentence names the probe's scope.,open
C-047,statistical protocol,performance.tex:209-231,Every test is accompanied by its aligned effect size: the tabulated effect size is the matched-pairs rank-biserial r ... The tabulated A12 is computed over the 29 per-function mean errors.,PROTOCOL,RS-08; phase6_run_analysis.py L2233-2241.,Read performance.tex:209-231 and the rendered PDF lines 1396-1407.,The same paragraph calls two different quantities 'the tabulated' effect size. Only r is tabulated (T15.tex prints r; PDF Table 14 header shows r).,'the tabulated effect size is the matched-pairs rank-biserial r; the unpaired A12 over the same 29 function means is retained in the released workbooks.',narrow,S3-T01a,Stage 3,"R6 (T1-OPT lead, claim inventory)",Major,P1,Confirmed,claim-scope,TAB-T15 / RS-08,The statistical-protocol paragraph designates two different statistics as 'the tabulated' effect size.,performance.tex:210-213 'the tabulated effect size is the matched-pairs rank-biserial correlation r' vs performance.tex:221-222 'The tabulated A12 is computed over the 29 per-function mean errors'. Rendered PDF lines 1396 and 1401 carry both.,"M-027 changed the rendered column from A12 to r; the protocol paragraph was extended rather than rewritten, leaving the superseded sentence in place.",The reader cannot determine which effect size the paper's central table reports; §10.7 requires the frozen plan's named measures to match what is printed.,"Moderate-to-high on credibility of the statistics section, which is otherwise the manuscript's strongest part.",Delete or re-tense the 'The tabulated A12...' sentence to 'the workbook A12...'; keep exactly one 'tabulated' designation.,Merge the two sentences into one that names r as tabulated and A12 as released-workbook-only.,None.,S3-T01b (same root cause).,One unambiguous statement of which effect size is printed.,grep the rendered PDF for 'tabulated' and confirm a single referent.,open
C-048,statistical protocol,performance.tex:196-209,Two-sided Wilcoxon signed-rank on 29 paired per-function mean errors with Holm step-down across six comparators per dimension at alpha=0.05; W/T/L tie rule |delta|<1e-8 is descriptive only.,PROTOCOL,statistical_analysis_plan.md; wilcoxon_holm_cec2017_D*.csv.,Recomputed the 24-cell Holm decision tally from the released CSVs.,Family size 6 per dimension confirmed by the p_holm values (e.g. D10 gsk 1.652950e-04 x 6 = 9.9177e-04). The descriptive/inferential separation is explicit.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
