requirement_id,source_location,requirement_text,mandatory_or_advisory,manuscript_or_artifact_location,verification_method,status,reviewer,notes
RC-011,"PAPER_REVIEW_PROMPT.md Stage 0 check 6 (line 1275)","Verify the current target journal and article type from official instructions when available.",mandatory,"papers/main.tex:5; phase_04/journal_decision.md; phase_04/journal_requirements.md","Class option and article type read from source; journal record inspected; official page not fetched this session.",blocked,s0-1_preflight,"Article type 'article' and venue MDPI Algorithms confirmed from the repo. Official instructions record verified_online=false (HTTP 403, 2026-07-10). Administrative block; Stage 17 must discharge before submission. Per 15, no quartile assertion is made here."
RC-012,"PAPER_REVIEW_PROMPT.md Stage 0 check 7 (line 1276)","Record every missing input and its downstream effect.",mandatory,"review_configuration.md 4","Six-row missing-input table.",pass,s0-1_preflight,"Includes the explicitly out-of-scope author metadata, recorded without a ticket per 1.5.4."
RC-013,"PAPER_REVIEW_PROMPT.md Stage 0 check 8 (line 1277)","Detect three-way version desync; verify canonical sources, PDF and DOCX hash to the same frozen state.",mandatory,"governance/main_manuscript_freeze_manifest.json; the five deliverables","check_manifest.py; git-object hash comparison at the declared anchor; source-edit probes into both rendered formats.",partial,s0-1_preflight,"NO three-way artifact desync: all three resolve to one state at HEAD. But the freeze RECORD is desynchronised from its declared anchor (11/15 at abd2fa2f2). Ticket S01-001."
RC-014,"PAPER_REVIEW_PROMPT.md Stage 0 check 9 (line 1278)","Reconcile post-freeze recoveries and refreezes; verify existence/availability/comparability statements match the post-recovery state and no claim was upgraded.",mandatory,"governance/_pending_refreeze.json; supplementary.pdf p.43-45; performance.tex","Rendered provenance appendix read in full; R-05/R-06 closures verified in the rendered artifacts; freeze_statement compared against the commit diff.",partial,s0-1_preflight,"Rendered statements are correct and no claim was upgraded (freeze_statement: no code changed, no rerun, no reported value altered - corroborated by git show --stat). Residue: stale docx_note and parity row count in the attestation (S01-007); stale source header (S01-008); the 45248eb31 amendment has no refreeze-ledger entry."
RC-015,"PAPER_REVIEW_PROMPT.md Stage 0 check 10 (line 1279)","Scan for orphan and superseded source files built by nothing that carry prohibited, contradictory or stale content.",mandatory,"papers/sections/, papers/tables/, papers/*.tex","Compared \\input graph from main.tex and supplementary.tex against the files on disk.",pass,s0-1_preflight,"Zero orphans. sections/ holds exactly the five files main.tex inputs; all 19 table .tex files are used. main_pandoc.tex and supplementary_pandoc.tex are same-build DOCX intermediates, not orphan section sources. DT-GSK_visio.docx is absent from disk and from git."
RC-016,"PAPER_REVIEW_PROMPT.md Stage 0 check 11 (line 1280)","Freeze the review snapshot; later changes require a new version identifier and a revision log.",mandatory,"review_configuration.md 1","Snapshot commit recorded with the snapshot rule.",pass,s0-1_preflight,"Frozen at 45248eb31af7b01567c251f2a5da4f36e92d6030."
RC-017,"PAPER_REVIEW_PROMPT.md Stage 0 hard-fail (lines 1284-1291)","Eight hard-fail conditions for Stage 0.",mandatory,"review_configuration.md 8","Each condition tested individually.",pass,s0-1_preflight,"None met. Stage 0 = PASS with four open P1 record-level tickets. S01-001 becomes a hard-fail the moment the package is distributed under the declared anchor."
RC-018,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1309)","Main manuscript opens and is complete.",mandatory,"papers/DT-GSK.pdf","Opened with PyMuPDF; 39 pages; sections 1-5 plus back matter plus references all present.",pass,s0-1_preflight,"LastPage label in main.aux equals 39, matching the rendered page count."
RC-019,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1310)","Supplement opens and all cited supplementary objects exist.",mandatory,"papers/supplementary.pdf","Extracted all supplement headings; cross-checked every main-text S-reference.",pass,s0-1_preflight,"Main text cites S2, S3, S5, S6, S6.5, S6.6, S6.7 - all exist. No reference to the removed oracle study; the token 'oracle' occurs zero times in either rendered document."
RC-020,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1311)","References resolve and bibliography is present.",mandatory,"papers/main.bbl, papers/supplementary.bbl, papers/references.bib","Counted bibitems and bib entries; inspected main.blg; checked allowed-key list size.",pass,s0-1_preflight,"main.bbl 40 entries, supplementary.bbl 8, references.bib 57 entries, allowed_citation_keys.txt 57 keys, main.blg 0 warnings. 10.2 permits an uncited remainder."
RC-021,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1312)","Figures are legible and not placeholders.",mandatory,"papers/DT-GSK.pdf, papers/supplementary.pdf","Enumerated every embedded raster image and its pixel dimensions.",pass,s0-1_preflight,"Only four raster images per document, all 355x234 MDPI template badges on page 1. Every manuscript figure is vector. Aesthetic/clutter judgement is a Stage 13/15 control (10.17), not Stage 1."
RC-022,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1313)","Tables are complete and not clipped.",mandatory,"papers/DT-GSK.pdf, papers/supplementary.pdf, papers/main.log, papers/supplementary.log","Counted Overfull hbox warnings in both LaTeX logs; counted native w:tbl in both DOCX.",pass,s0-1_preflight,"Zero Overfull hboxes in either log (the 107 hits are Underfull badness only). 17 native tables in DT-GSK.docx, 26 in supplementary.docx - no rasterised table."
RC-023,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1314)","Equation numbering and cross-references resolve.",mandatory,"papers/DT-GSK.pdf, papers/supplementary.pdf","Scanned both rendered PDFs for '??'; ran validate_build_hygiene.py.",pass,s0-1_preflight,"Zero '??' tokens; validator reports no unresolved references. Equation-registry semantics (R-02) are a Stage 6 control."
RC-024,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1315)","Tracked changes, comments, hidden text, template instructions and author notes absent from release files.",mandatory,"papers/DT-GSK.docx, papers/supplementary.docx","Parsed word/document.xml and word/comments.xml in both packages.",pass,s0-1_preflight,"w:ins 0, w:del 0, w:commentRangeStart 0, w:commentReference 0, w:vanish 0, w:moveFrom/To 0 in both. comments.xml is a 625-byte empty stub with zero w:comment. The 294/110 hits are w:instrText - the required working fields."
RC-025,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1316)","Filenames and versions are unambiguous.",mandatory,"papers/DT-GSK.{pdf,docx}, papers/supplementary.{pdf,docx}, papers/cover_letter.pdf","Package manifest compared with the directory.",pass,s0-1_preflight,"Five submission files, all role-labelled in submission_package_manifest.json. Manuscript version id v1.0."
RC-026,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1317)","Anonymization is correct for the target review model.",mandatory,"papers/DT-GSK.pdf title page and back matter","Author block and CRediT statement inspected.",partial,s0-1_preflight,"Author names present, correct for MDPI's declared single-blind model. The model itself is unverified (journal_requirements.md:66 flags that MDPI has piloted double-blind on some titles). Depends on RC-011."
RC-027,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1318)","Administrative placeholders are isolated and labeled.",mandatory,"all three rendered PDFs","Regex scan for TODO/TBD/TK/XXX/FIXME/lorem ipsum/[cite]/all-zero ORCID/'Author, Year'/-dirty.",pass,s0-1_preflight,"Zero hits in all three PDFs. The only hex-looking token in DT-GSK.pdf is a18070398, the legitimate DOI suffix 10.3390/a18070398."
RC-028,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1319)","Data/code availability statements point to real or clearly pending artifacts.",mandatory,"papers/DT-GSK.pdf p.35-36 Data Availability Statement","Statement read in full against the evidence and analysis manifests.",partial,s0-1_preflight,"Content is complete and accurate (immutable release, per-file SHA-256, checksummed analysis bundle, MIT + CC BY 4.0 licences, runbook), but names no resolvable repository identifier or DOI. That identifier is explicitly out of scope per 1.5.4 - recorded, no ticket, no gate failed."
RC-029,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1320)","No required appendix, declaration, graphical abstract, highlight or cover-letter component is silently missing.",mandatory,"papers/DT-GSK.pdf back matter; papers/cover_letter.pdf","Back matter enumerated; cover letter read in full.",pass,s0-1_preflight,"Author Contributions (CRediT), Funding, IRB, Informed Consent, Data Availability, Conflicts of Interest, Abbreviations, GenAI disclosure (Claude Opus 4.8, Anthropic), Acknowledgments all present. Cover letter 2 pp, addressed to Algorithms, no reviewer placeholder."
RC-030,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1321)","The package contains no obsolete or contradictory file that could be submitted accidentally.",mandatory,"papers/ tree; submission_package_manifest.json","Orphan scan (RC-015) plus exclusion-register check.",partial,s0-1_preflight,"No such file exists. The exclusion register still lists papers/DT-GSK_visio.docx as pending removal although it is already gone (ticket S01-011, record hygiene only)."
RC-031,"PAPER_REVIEW_PROMPT.md Stage 1 (line 1322)","Back-matter and package listing of supplementary contents matches the supplement and what main text and conclusions assert.",mandatory,"papers/main.tex:186-200; supplementary.pdf headings","Three-way comparison of the \\supplementary listing, the supplement's actual headings, and every main-text S-reference.",partial,s0-1_preflight,"Top-level S1-S6 inventory agrees (validate_document_consistency.py exit 0). The S6 clause omits S6.6 and S6.7, both of which the main text cites (p.3, p.32, p.33). Ticket S01-010."
RC-032,"PAPER_REVIEW_PROMPT.md Stage 1 Gate A (line 1330)","Gate A passes only when one authoritative manuscript state is identifiable and every essential file is readable.",mandatory,"whole package","All Stage 1 checks above plus the 10.1 build-gate precondition.",pass,s0-1_preflight,"One authoritative state (worktree at 45248eb31, pinned 15/15). phase_gate_register.csv carries an evidenced FROZEN row for every build gate 0-12, satisfying 10.1's Gate-A precondition."
RC-033,"PAPER_REVIEW_PROMPT.md 10.1 (lines 3164-3168)","Extract and audit every operative requirement from the governing build prompt; do not declare compliance because the manuscript is polished.",mandatory,"papers/PAPER_BUILD_PROMPT.md; this matrix","Independent requirement extraction; no compliance asserted without a command output or file:line.",pass,s0-1_preflight,"Every row of this matrix carries a verification method and an artifact location."
RC-034,"PAPER_REVIEW_PROMPT.md 10.1 (lines 3170-3180)","Bind the 1.1 review variables to the project's concrete artifacts; validate the existing artifacts rather than create parallel ones.",mandatory,"papers/governance/; papers/build_prompt_phases/","Each bound path tested for existence.",fail,s0-1_preflight,"Two bound paths do not exist (statistical_analysis_plan.md, exhibit_plan.csv - both live under papers/build_prompt_phases/); the external-gate mapping is absent from the tree entirely. Ticket S01-009."
RC-035,"PAPER_REVIEW_PROMPT.md 10.1 (line 3185)","phase_gate_register.csv records a PASS row with evidence for every build-framework gate 0-12; Gate A must not pass while any row is missing or unevidenced.",mandatory,"papers/governance/phase_gate_register.csv","Parsed all rows; checked state and evidence columns.",pass,s0-1_preflight,"13 rows, phase_id 0-12, all state=FROZEN with entry/validation/acceptance/exit evidence populated."
RC-036,"PAPER_REVIEW_PROMPT.md 10.1 (line 3186)","reproducibility_manifest.json agrees with the release checksums recorded under 10.3.",mandatory,"papers/governance/reproducibility_manifest.json vs governance/evidence_release_manifest.json","Compared declared release id and anchor commit between the two manifests.",fail,s0-1_preflight,"Reproducibility manifest declares rel-2026-07-10-262fc16c9 / anchor 262fc16c9..., the evidence manifest declares rel-2026-07-20-67d9345f9 / anchor 67d9345f9.... Ticket S01-002."
RC-037,"PAPER_REVIEW_PROMPT.md 10.1 (line 3184)","Every publishable claim has a claims_evidence_matrix.csv row resolving to corpus or evidence sources.",mandatory,"papers/governance/claims_evidence_matrix.csv","Existence and pin verified; per-claim resolution is a Stage 3 control.",partial,s0-1_preflight,"File present (32,852 B) and pinned by the freeze manifest at sha256 d9e0f9f5.... Row-by-row claim adjudication is assigned to Stage 3 (claim_audit.csv), not this seat."
RC-038,"PAPER_REVIEW_PROMPT.md 10.1 (line 3188)","The review's compliance matrix MAY be seeded from requirements_traceability_matrix.csv after independent spot-verification.",advisory,"papers/governance/requirements_traceability_matrix.csv","Spot-verified 400 sampled rows against the current build prompt.",fail,s0-1_preflight,"Seeding rejected. Line anchors drifted (offsets +57 to +253; 225/400 summaries not verbatim-locatable; R-21 points at a blank line) and the schema has no status column. Ticket S01-005."
RC-039,"PAPER_REVIEW_PROMPT.md 10.2 (lines 3192-3201)","Closed-corpus literature boundary; a used citation without a verified local source is a critical compliance failure.",mandatory,"papers/references.bib; governance/allowed_citation_keys.txt; governance/reference_inventory.csv; reference_papers/","Counted admissible keys against bib entries; confirmed the corpus artifacts exist.",partial,s0-1_preflight,"Intake check only: 57 bib entries = 57 allowed keys; 48 keys cited (40 main + 8 supplement). Per-citation semantic-role verification is a Stage 5 control (citation_and_literature_audit.md)."
RC-040,"PAPER_REVIEW_PROMPT.md 10.3 (lines 3205-3215)","Every empirical input resolves under the selected immutable release; no fallback to results/ or staging; release ID and checksums recorded.",mandatory,"benchmarks/cec_reference_results/; governance/evidence_release_manifest.json; papers/analysis/rel-2026-07-20-67d9345f9/","Ran validate_evidence_bindings.py; inspected the release manifest totals; listed the analysis bundle.",partial,s0-1_preflight,"Evidence side PASSES: bindings validator exit 0 / 0 FAIL; release manifest records 3,403 files and 712,437,624 bytes with a supersession note. Record side FAILS: the governance file that defines the controlled analysis area still names the 07-10 release (ticket S01-003)."
RC-041,"PAPER_REVIEW_PROMPT.md 10.3 (line 3217)","reproducibility_manifest.json must record the achieved reproducibility level per artifact class; a double rebuild must achieve the three delivery levels.",mandatory,"papers/governance/reproducibility_manifest.json","Manifest inspected; determinism spot-evidenced by regenerating the parity CSV.",partial,s0-1_preflight,"Manifest exists but attests against the superseded 07-10 release (RC-036). Independent determinism evidence obtained: my regeneration of cross_format_consistency.csv was byte-identical to the committed file, and the 45248eb31 commit rebuilt the supplement PDF/DOCX byte-identically. Full determinism contract is a Stage 12 control."
RC-042,"PAPER_REVIEW_PROMPT.md 10.4 (lines 3221-3243)","Verify the expected seven-method GSK-family panel and the protocol scope.",mandatory,"papers/tables/T16.tex; papers/sections/performance.tex","Panel membership read from the shipped rank table.",partial,s0-1_preflight,"All seven present: GSK, AGSK, APGSK, FDB-AGSK, ATMALS-GSK, eGSK, DT-GSK. Suite/dimension/run-count and seed-policy verification is a Stage 8 control (T2-BENCH)."
RC-043,"PAPER_REVIEW_PROMPT.md 10.5 (lines 3247-3249)","Same-family claim boundary; broader claims require a non-family panel or removal.",mandatory,"abstract, conclusions","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to T1-OPT at Stage 3 per the 10.16 ownership map. Intake note: 1.5.4 places external non-GSK baselines out of scope for this cycle."
RC-044,"PAPER_REVIEW_PROMPT.md 10.6 (lines 3253-3270)","Method and implementation correspondence for every active mechanism; recompute titular update rules from the frozen source.",mandatory,"papers/sections/proposed_algorithm.tex; the frozen optimizer core","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to T1-OPT/T4-SOFT at Stage 6. Intake note: R-01 (Eq. 4 per-phase signs) and R-04 (restart invariant) are verified present in the rendered PDF; their semantic correctness is Stage 6's call."
RC-045,"PAPER_REVIEW_PROMPT.md 10.7 (lines 3274-3298)","Statistics profile and the advanced dispositions.",mandatory,"papers/analysis/rel-2026-07-20-67d9345f9/primary_stats/statistical_results.csv","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to T3-STAT at Stage 9. Intake note: the frozen plan is at papers/build_prompt_phases/phase_05/statistical_analysis_plan.md, not the 10.1 bound path (S01-009)."
RC-046,"PAPER_REVIEW_PROMPT.md 10.7 (line 3299)","RT-001 runtime-table single-environment refresh: treat the runtime cells as in-progress; confirm rather than re-discover the remedy.",mandatory,"papers/DT-GSK.pdf p.33 Table 16; papers/analysis/rel-2026-07-20-67d9345f9/cec2017/cost_cec2017.csv","Read the shipped table; ran validate_runtime_provenance.py.",fail,s0-1_preflight,"The described remedy did not occur. The shipped table is DT-GSK-only (four rows, no comparator), and the validator reports one cell / single host / single session. RT-001 was closed by narrowing the table's scope. The prompt text is stale (S01-006 item b) and Stage 8/9 must decide whether a single-algorithm runtime table satisfies the 10.13 non-objective-overhead control."
RC-047,"PAPER_REVIEW_PROMPT.md 10.8 (lines 3303-3313)","Convergence profile: one curve per algorithm or a caption-level absence note; uniform aggregation.",mandatory,"papers/figures/convergence/; supplement S3","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to T5-WRITE/T2-BENCH at Stage 13. Intake note: S3 exists with per-suite complete grids (S3.1 CEC2017 all 29 functions, S3.2 CEC2011 all 22, S3.3 CEC2013 all 28)."
RC-048,"PAPER_REVIEW_PROMPT.md 10.9 (lines 3315-3349)","Main-manuscript ablation prohibition, narrowed to favorable component results only.",mandatory,"main text, abstract, conclusions, cover letter","Intake scan only.",partial,s0-1_preflight,"validate_cross_format_parity.py runs a no_ablation_scan on both PDFs: PASS. The advertised ISM null is permitted by the narrowing and must not be re-raised. Substantive leak testing is a Stage 3 control. The 10.9 warning about a dangling S6.7 oracle reference is stale: S6.7 is now Implementation Caveats and the token 'oracle' is absent from both rendered documents."
RC-049,"PAPER_REVIEW_PROMPT.md 10.10 (lines 3353-3366)","Final ablation profile: post-freeze execution, identical implementation, promoted release, cautious language.",mandatory,"benchmarks/cec_reference_results/_ablation/; supplement S6","Intake existence check only.",partial,s0-1_preflight,"Ablation release abl-rel-2026-07-20 confirmed from the manifest's own release_id field, as 1.5 requires. Design and identifiability review assigned to T2-BENCH at Stage 8/10."
RC-050,"PAPER_REVIEW_PROMPT.md 10.11 (lines 3370-3379)","Exhibit and source-binding profile; generators read only the controlled analysis area recorded in project_configuration.md.",mandatory,"papers/governance/project_configuration.md; papers/governance/artifact_binding.csv; papers/tables/","Compared the recorded controlled area with the area the bindings actually cite.",fail,s0-1_preflight,"project_configuration.md records papers/analysis/rel-2026-07-10-262fc16c9/; artifact_binding.csv cites rel-2026-07-20-67d9345f9 fifty times. Record-level failure only - validate_evidence_bindings.py exits 0. Ticket S01-003."
RC-051,"PAPER_REVIEW_PROMPT.md 10.12 (lines 3383-3395)","Dual-format profile: one canonical source, native OMML, native tables, working fields, no rasterisation.",mandatory,"papers/DT-GSK.docx; papers/supplementary.docx; governance/word_validation_report.md","OOXML inspection plus cross-format parity.",partial,s0-1_preflight,"Intake evidence is clean: 753 + 640 native m:oMath blocks with zero literal '&' (R-03 closed); 17 + 26 native w:tbl; 294 + 110 w:instrText field instructions; parity 579 rows / 0 FAIL. Gap: the canonical supplement source papers/supplementary.tex is not inside the freeze envelope (ticket S01-012). Open-save-reopen and Save-As-PDF parity remain the documented D-WORD-01 author-side step; Gate P is Stage 17's."
RC-052,"PAPER_REVIEW_PROMPT.md 10.13 (lines 3401-3417)","Fifteen DT-GSK hard rejection risks.",mandatory,"whole manuscript","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to ECB across all teams. Two intake hand-offs: 'missing non-objective overhead analysis' now interacts with the DT-GSK-only runtime table (RC-046); 'PDF/Word divergence' is clean at intake (RC-051)."
RC-053,"PAPER_REVIEW_PROMPT.md 10.14 (lines 3421-3426)","Page-limit hard rule: do not exceed the bound limit; measure page counts from the compiled PDF at the Phase 8/9/11 gates with a row recorded for each; record the measured evidence in the review record.",mandatory,"phase_04/page_budget.md:24,103-107; governance/phase_gate_register.csv; papers/DT-GSK.pdf","Read the binding budget; extracted every page-count row from the register; measured the shipped PDF (page objects, main.aux LastPage, back-matter start page).",fail,s0-1_preflight,"Binding B1 hard cap 34. Last recorded measurement (Phase 11) 35 pp total / B1=32; Phase 9 has no page-count row at all. Shipped: 39 pp, back matter from p.35, references from p.37, LastPage 39, so B1 = 34 (or 35 under a stricter reading) - at or one page over the cap, with the declared 2.1-page headroom gone. Supplement 61 pp vs 32 pp recorded. No B2 word-count measurement exists post-Phase-11. Ticket S01-004."
RC-054,"PAPER_REVIEW_PROMPT.md 10.15 (lines 3430-3436)","Presentation-conventions register exists and records the 22-dimension comparative review of the three exemplars.",mandatory,"papers/governance/presentation_conventions.md","Existence and gate-evidence check.",partial,s0-1_preflight,"File present (35,979 B); the Phase-4 gate row records 'terminology + presentation conventions (22 dims x 3 exemplars) FROZEN'. Section-by-section exemplar-parity is executed at Stage 14.16, not here."
RC-055,"PAPER_REVIEW_PROMPT.md 10.17.4 (lines 3478-3488)","No machine-generated identifiers, placeholders or provenance artifacts in reader-facing text; one archival identifier in the availability statement is legitimate.",mandatory,"all three rendered PDFs","Regex scan of every rendered surface for release ids, SHAs, pipeline paths, placeholders and internal registry codes.",partial,s0-1_preflight,"DT-GSK.pdf and cover_letter.pdf are clean. supplementary.pdf carries 7 release ids, one 40-hex anchor, four module hashes and a Merkle digest, all inside the S5 chronological-provenance appendix adopted under ticket M-031. This seat treats that as compliant-by-design and hands the density judgement to Stage 13/15; no ticket raised."
RC-056,"PAPER_REVIEW_PROMPT.md 10.17.1-10.17.7","Human-authored presentation across every artifact; pseudocode and flowchart clarity; whole-manuscript humanization.",mandatory,"whole manuscript and supplement","Not a Stage 0/1 control.",not_applicable,s0-1_preflight,"Assigned to T5-WRITE at Stages 13-15. Intake evidence recorded for their use: zero Overfull hboxes, all-vector figures, two companion flowcharts (base GSK and DT-GSK, Figures 1 and 2, drawn in the same style)."
RC-057,"PAPER_REVIEW_PROMPT.md 15 (lines 3979-3997)","Seventeen prohibited review shortcuts.",mandatory,"this review's own conduct","Self-audit of the two artifacts produced by this seat.",pass,s0-1_preflight,"No generic checklist without testing; every finding carries a file:line or a command output; no score assigned without evidence; no correctness inferred from polish; the protocol was verified rather than assumed; tables and citations were checked rather than trusted; no quartile assertion; no acceptance prediction; no detector score used."
