req_id,requirement_area,requirement_text,source,source_access_date,evidence_class,manuscript_evidence,verdict,severity,ticket_id,notes
J-010,supplementary materials,"Supplementary material encouraged; authors should publish all experimental controls and make full datasets available where possible.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"supplementary.pdf 61 pp (S1-S6) + supplementary.docx; Supplementary Materials back-matter paragraph on DT-GSK.pdf p.35 enumerates S1-S6 and matches the supplement (validate_document_consistency.py: 'claimed S1..S6 matches 6 actual sections', exit 0).",PASS,-,-,"Accepted supplementary file types/size limits remain UNKNOWN pending J-000."
J-011,supplement exhibit numbering,"MDPI supplementary convention numbers supplementary exhibits with an S prefix (Table S1, Figure S1).",https://www.mdpi.com/authors/layout,2026-07-22,SEARCH-DERIVED,"supplementary.pdf uses Table A1-A23 and Figure B1-B27 while its sections are S1-S6. The main text never cites a supplement exhibit by number (0 occurrences of 'Table A#' / 'Figure B#' / 'Table S#' / 'Figure S#' in DT-GSK.pdf), so no dangling reference exists.",PARTIAL,Minor,S17-11,"Three parallel prefixes (S sections, A tables, B figures) read as an internal registry scheme rather than journal style."
J-012,required declarations,"Back matter: Supplementary Materials, Author Contributions, Funding, Data Availability Statement, Acknowledgments, Conflicts of Interest, References; Institutional Review Board and Informed Consent statements where applicable.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"All present and rendered on DT-GSK.pdf pp.35-37: Supplementary Materials, Author Contributions (CRediT), Funding ('no external funding'), Institutional Review Board Statement ('Not applicable'), Informed Consent Statement ('Not applicable'), Data Availability Statement, Use of Generative Artificial Intelligence, Acknowledgments, Conflicts of Interest, Abbreviations, References.",PASS,-,-,"Content complete; see J-013 for their typography."
J-013,declaration typography,"Back-matter declaration blocks are set uniformly by the class (9 pt, bold 'Label:' run-in).",papers/Definitions/mdpi.cls L850-868,2026-07-22,REPO-PROVEN,"Measured span sizes on DT-GSK.pdf p.35: class-generated blocks Supplementary Materials 9.06 pt, Author Contributions 9.06 pt, Funding 8.97 pt; hand-coded blocks Institutional Review Board Statement. 9.96 pt, Informed Consent Statement. 9.96 pt, Data Availability Statement. 9.87 pt (and Use of Generative Artificial Intelligence. on p.36). Labels also differ: colon versus period.",FAIL,Moderate,S17-08,"Root cause: the vendored 2020 class provides no \dataavailability / \institutionalreview / \informedconsent macros (only \sampleavailability at L870), so papers/main.tex hand-codes three blocks at body size."
J-014,conflict of interest,"Conflicts of Interest must be declared; where none, state so.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"DT-GSK.pdf p.36 declares A.W.M. as originator of GSK and co-author of AGSK/APGSK/eGSK/ATMALS-GSK comparators, H.S.M.R. as eGSK co-author, M.E.M. as A.W.M.'s PhD student; cover_letter.pdf p.2 repeats the disclosure.",PASS,-,-,"Unusually candid and correctly placed; strengthens the submission."
J-015,generative-AI declaration,"MDPI generative-AI policy: declaration at submission, methods-level description of use, tool name/version in Acknowledgments.",https://www.mdpi.com/ethics (MDPI research-and-publication-ethics policy),2026-07-22,SEARCH-DERIVED,"Dedicated 'Use of Generative Artificial Intelligence' block (DT-GSK.pdf p.36) describing scope of use, plus Acknowledgments pinning Claude Opus 4.8 (Anthropic); cover_letter.pdf p.2 repeats it. validate_document_consistency.py confirms the .md/.tex cover-letter GenAI wording matches.",PASS,-,-,"All three policy elements implemented."
J-016,author information,"Full names, affiliations and an e-mail address for every author; corresponding author marked.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"Rendered DT-GSK.pdf p.1 and DT-GSK.docx author block contain the literal string '[H.S.M.R. institutional e-mail - to be added at submission]' in place of the second author's e-mail.",FAIL-AUTHOR-SIDE,Major,-,"Upload-blocking. Tracked as AG-0002 in papers/governance/administrative_gap_register.md. PAPER_REVIEW_PROMPT section 1.5.4 places author-side submission metadata out of review scope ('raise no ticket, fail no gate'), so this is listed as an upload-blocking author action, not as a review ticket."
J-017,ORCID,"ORCID iDs requested for authors (mandatory for the corresponding author at MDPI submission).",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"papers/main.tex defines \orcidauthorA/B/C as 0000-0000-0000-0000. Rendered scan of all three PDFs for '0000-0000-0000-0000': 0 hits - the placeholders are never printed.",PASS-WITH-AUTHOR-ACTION,-,-,"No reader-facing all-zero ORCID (so no profile 10.17.4 violation), but real iDs must be entered in the submission system. Out of scope per section 1.5.4."
J-018,data availability,"Data Availability Statement required; where data are in a repository, provide the link/identifier.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"DT-GSK.pdf pp.35-36 statement says the artifacts 'are publicly available in the DT-GSK repository' and that values derive from a versioned immutable release, but contains no URL and no DOI (papers/main.tex comment AG-0006 / R-0004 deliberately refuses to fabricate one).",PARTIAL-AUTHOR-SIDE,Major,-,"Upload-blocking author action: a durable archive URL/DOI must be inserted before submission. Correctly not fabricated."
J-019,peer-review model / anonymisation,"MDPI single-blind by default; no manuscript anonymisation required.",https://www.mdpi.com/editorial_process,2026-07-22,SEARCH-DERIVED,"Manuscript is fully attributed (names, affiliations, e-mails, acknowledgments) - consistent with single-blind.",PASS,-,-,"Confirm the current model at J-000 unblocking; a move to double-blind would require an anonymised build."
J-020,line numbering for review,"MDPI 'submit' class mode adds continuous line numbers and a version stamp for peer review.",papers/Definitions/mdpi.cls (lineno package L38; \linenumbers issued in submit mode),2026-07-22,REPO-PROVEN,"papers/main.tex L15 neutralises it: '\let\linenumbers\relax'. Rendered DT-GSK.pdf carries no line numbers on any of its 39 pages.",FAIL,Moderate,S17-07,"Reviewers and the editorial office routinely cite line numbers; their absence is a predictable revision request."
J-021,preprint policy,"Preprints permitted provided they have not undergone peer review.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"No preprint is asserted anywhere in main.tex, sections, or the cover letter.",PASS,-,-,"If a preprint is posted before submission it must be declared in the submission form."
J-022,suggested reviewers,"Reviewer suggestions are collected in the MDPI submission system, not in the cover letter.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"cover_letter.pdf contains no reviewer suggestions and no leftover reviewer placeholder (R-09 verified closed: 0 hits for 'Suggested reviewer' / bracketed reviewer placeholder in cover_letter.tex and cover_letter.pdf).",PASS-WITH-AUTHOR-ACTION,-,-,"Author must supply reviewer suggestions/exclusions in the submission form; the eGSK/GSK co-authorship overlap (J-014) makes an exclusion list advisable."
J-023,file formats / upload set,"Submission accepts LaTeX or Word; supplementary and cover letter uploaded separately.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"Package: papers/DT-GSK.pdf (39 pp), papers/DT-GSK.docx, papers/supplementary.pdf (61 pp), papers/supplementary.docx, papers/cover_letter.pdf (2 pp). papers/governance/submission_package_manifest.json records SHA-256, byte size and page count for each, and all five hashes recomputed identical on 2026-07-22.",PASS,-,-,"papers/DT-GSK_visio.docx already excluded and removed per C-001."
J-024,graphical abstract / highlights,"Graphical abstract optional; highlights not required for Algorithms.",https://www.mdpi.com/journal/algorithms/instructions,2026-07-22,SEARCH-DERIVED,"Neither is present.",PASS,-,-,"Optional; absence is compliant."
J-025,PDF metadata,"Correct title/author/keyword metadata and PDF bookmarks.",papers/PAPER_REVIEW_PROMPT.md L2618-2620,2026-07-22,REPO-PROVEN,"DT-GSK.pdf /Title = full 'DT-GSK: Dimension-Tiered Adaptive Control and Deterministic Refinement for Gaining-Sharing Knowledge Optimization'; /Author = all three authors; /Keywords = the 10 keywords; /Subject = the full abstract; 32 bookmarks. supplementary.pdf equivalent (33 bookmarks). cover_letter.pdf metadata empty and 0 bookmarks.",PASS,-,-,"Empty cover-letter metadata is normal for a covering document."
J-026,APC,"Article Processing Charge payable on acceptance.",https://www.mdpi.com/journal/algorithms/apc,2026-07-22,SEARCH-DERIVED,"papers/build_prompt_phases/phase_04/journal_requirements.md section 9 records CHF 1800; current search-derived reporting for 2026 gives approximately CHF 1600.",SUSPECTED-STALE,Minor,S17-14,"Factual note only; not manuscript-facing. Confirm at J-000 unblocking."
J-027,venue standing (D17.1),"Record the venue's current standing on BOTH indices and flag any quartile stated in the manuscript or cover letter.",papers/PAPER_REVIEW_PROMPT.md L2590-2596,2026-07-22,SEARCH-DERIVED,"Algorithms: 2025 JCR Impact Factor 2.6, Q2 in Computer Science, Theory and Methods (Web of Science); Scopus CiteScore 5.4, Q1 in Computational Mathematics (approximately top 16 percent); SJR 0.57. Manuscript-facing check: 0 occurrences of 'Q1', 'Q2', 'quartile', 'impact factor' or 'CiteScore' in papers/main.tex, papers/sections/*.tex or papers/cover_letter.tex.",PASS,-,S17-13,"Clears a Q1-or-Q2 threshold on both indices (Q2 WoS, Q1 Scopus); the index divergence must be stated whenever a quartile is claimed institutionally. Ticket S17-13 is the INTERNAL record only: papers/governance/decision_log.md D-0010 still records 'CiteScore 2024 4.5 (Q1 Numerical Analysis, 19/88)', superseded by 5.4 / Computational Mathematics. N-021 was closed by keeping quartiles out of manuscript-facing materials, which is verified to hold."
J-028,venue fit (D17.2),"Contribution type must match the venue's actual published output.",papers/PAPER_REVIEW_PROMPT.md L2597,2026-07-22,SEARCH-DERIVED,"Algorithms routinely publishes metaheuristic-variant and benchmark-comparison papers; the manuscript's own reference list cites Algorithms-published GSK-family work (rendered reference block includes 'Algorithms 2025, 18, 398').",PASS,-,-,"Direct in-venue family precedent is the strongest positive fit signal available."
J-029,comparator culture (D17.3),"A family-scoped comparator panel is a rejection risk at venues whose reviewers expect external state-of-the-art comparators.",papers/PAPER_REVIEW_PROMPT.md L2598,2026-07-22,REPO-PROVEN,"Seven-algorithm GSK-family panel only; scoping is stated in the abstract ('All findings are scoped to the GSK-family panel'), the conclusions (p.34) and the cover letter ('we make no field-wide performance claims').",RISK-DISCLOSED,-,-,"External non-GSK baselines are explicitly out of scope for this cycle per PAPER_REVIEW_PROMPT section 1.5.4; recorded as a standing rejection risk, not a ticket."
J-030,prompt currency,"Section 1.4 precedence: the CURRENT project state outranks the prompt's embedded snapshot; prompt staleness must be recorded.",papers/PAPER_REVIEW_PROMPT.md section 1.5 (dated 2026-07-20) and section 10.7 RT-001,2026-07-22,REPO-PROVEN,"Section 1.5 states the remediation ledger 'stands at 73/80 fully closed' with 'seven ... tickets remain open (RT-001 the live runtime blocker; C-008 -> C-001 the terminal freeze+commit; N-009 / N-021 / M-007 / E-012)'. papers/governance/remediation_2026_07_18/ticket_status.csv now shows 80/80 rows with lifecycle_status = closed_verified, including all seven named. Section 10.7's RT-001 paragraph says tab:runtime 'mixes two measurement sessions and is provisionally frozen' pending comparator re-timing; the shipped Table 16 (DT-GSK.pdf p.33) instead tabulates DT-GSK only and states 'Comparator wall-clock was measured in a separate session and is not tabulated here, so no cross-algorithm runtime comparison is made'. Section 1.5 also predates tickets R-01..R-14 entirely.",STALE,Moderate,S17-15,"Recorded as instructed. The repo governs."
