ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,manuscript_location,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status,source_seat_tickets,se_adjudication
SE-011,19 (consolidated),SE,Major,P1,CONFIRMED,experimental-design,papers/sections/performance.tex:33-39; papers/sections/conclusions.tex:71-74; Table 3 eGSK row,eGSK port / egsk.py,"The eGSK solver substitution (scipy SLSQP for MATLAB fmincon) is disclosed as bounding runtime comparability only, although the substituted component is an optimization mechanism and eGSK is the comparator that beats DT-GSK where it loses.","performance.tex:33-39 and conclusions.tex:71-74 close with '...so no runtime-superiority claim is made'. s8 instrumented the port and measured the SLSQP polish consuming 0-16.6% of MaxFES (16,600/100,000 on F26 D10; 33,100/300,000 on F26 D30) - a materially search-active budget share, not a timing artifact. eGSK is second overall (2.96), beats DT-GSK at D=30, and holds the Holm-significant CEC2011 win.",The disclosure was written when the substitution was believed to be a wall-clock issue; the budget-share measurement came later and was never folded back into the wording.,"Section 10.13 lists 'unfair eGSK provenance or solver comparison' as a named hard rejection risk; section 10.4 requires comparator implementation provenance, 'especially eGSK solver differences', to be verified.","Does not invalidate any result - the port is budget-capped, fully charged and reachable (s8 verified). But the comparison is class B, not class A, and the paper currently presents the deviation as narrower than it is, on precisely the comparator that constrains the headline.","Extend the disclosure to state that the substituted solver is a search component consuming up to ~17% of the budget on some cells, that eGSK's reported performance is therefore port-dependent, and that no claim of equivalence to the published eGSK is made in either direction.","A solver-sensitivity cell (MX-01) - recommended_for_q1, not required.",None for the disclosure. A sensitivity study is new evidence.,Group with SE-008 in the comparator-fairness revision.,Neutralises a named section 10.13 rejection risk by pre-empting it.,Confirm the extended wording renders in PDF and DOCX; confirm Table 3's eGSK row carries the class-B marker. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,DS-06; S8-03; MX-01,"UPHELD. Two seats, one with direct instrumentation. Major because section 10.13 names it explicitly; not Critical because the port is budget-honest and the deviation is already partially disclosed."
SE-012,19 (consolidated),SE,Major,P1,CONFIRMED,method,papers/sections/proposed_algorithm.tex (ISM prose); Tables 9 and 10; supplementary.tex 'Complete Operator Specification',_dt_profiles.py:131; _dt_core.py:3013-3018,"Three shipped ISM parameters appear in no specification surface, and the prose overstates the learned-linkage channel by about a factor of two.","SE accepts s6's direct source reading: interaction_linkage_mix_prob=0.50 (_dt_profiles.py:131, applied _dt_core.py:3013-3018), interaction_restart_decay=0.50 and interaction_post_restart_cooldown=5 appear in neither parameter table nor the supplement's complete operator specification. s6 measured at D=50 that learned blocks account for 0.504 of blockwise rows in ready generations and 0.141 of all rows over a run, against prose asserting that 'from D>=50 the block structure is supplied by the ISM graph itself'.",The linkage mix probability was added to the profile after the operator specification was written and never propagated.,Section 10.6 requires every active mechanism's parameters to be verified and the manuscript corrected where prose and frozen code disagree; the byte-locked core governs.,A reimplementer following the paper builds a different operator - the exact defect class section 5.5 calibrates as Major. No reported number is affected (the frozen code produced the results).,Add the three parameters to the operator specification and the parameter table; restate the linkage sentence as a mixture ('at D>=50 blocks are drawn from the learned graph with probability 0.5 and from random permutation chunks otherwise').,State the mixture in prose and defer the constants to the supplement's specification table.,None - all values are in the frozen profile.,Independent of other tickets.,Restores reimplementability; closes the Gate F condition.,Assert every parameter in build_pub_config appears in the supplement specification table; re-read the ISM prose against _dt_core.py:3013-3018. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,M6-01; M6-03; M6-04; M6-05,"UPHELD. s6 verified all four freeze-manifest SHA-256s against the working tree before reading, and measured the channel share empirically. SE did not re-derive the measurement but accepts it: the parameter absence is directly checkable and the seat quoted file:line."
SE-013,19 (consolidated),SE,Major,P2,CONFIRMED,exhibit,"papers/DT-GSK.pdf p.28, Figure 4; papers/scripts/generate_nemenyi_cd.py:274; performance.tex:461",FIG-NEMENYI,Figure 4 is illegible at final size: in-figure text renders at 4.2-5.2 pt against 8.9 pt body text.,"s13 measured in-figure text on DT-GSK.pdf p.28 at 4.18 / 4.71 / 5.23 pt. generate_nemenyi_cd.py:274 renders an 11.4 x 8.8 in canvas which performance.tex:461 embeds at \textwidth, a 0.541 scale factor. s17 independently measured data labels at 4.2 pt and axis labels at 4.7-5.2 pt. The project's own N-011 note sets ~8 pt as the floor. s13 additionally found the four comparable panels use per-panel x-limits (x_max*1.22 -> 6.73/6.60/6.51/7.20) so the constant CD=1.67 renders at four different physical lengths.",The figure was authored at presentation scale and embedded at column width without re-scaling the font stack.,Section 10.17.7 requires exhibits legible at final size; section 10.14 forbids resolving overflow by shrinking figures below legibility - and the package is simultaneously over its page budget (SE-018).,The critical-difference figure is the paper's central multi-algorithm summary and cannot be read at print size. Two seats measured it independently.,"Regenerate at the embedded size with a font stack that yields >=8 pt at \textwidth, and use a shared x-limit across the four comparable panels so the CD bar has one physical length.","Split into two figures at half-width each, or move two panels to the supplement.",None - regeneration reads the frozen release.,Do together with SE-005 in one figure-regeneration batch.,Clears the second Gate M blocker.,Measure minimum glyph height in the embedded figure and assert >= 8 pt at final scale; assert identical x-limits across the four panels. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S13-01; S13-07; S17-09,UPHELD. Two seats measured the same point sizes independently.
SE-014,19 (consolidated),SE,Major,P2,CONFIRMED,statistics,papers/supplementary.tex S5.3 and its performance.tex echo,selection-exposure disclosure,"Development-time selection over full-panel candidate configurations is disclosed without a count, a cell list, or a selection criterion, leaving the multiplicity on the headline suite unbounded.","The disclosure reads 'several full-panel candidate configurations' with no number, no cells, and no criterion, and states the search is explicitly outside the immutable release. CEC2017 is simultaneously declared the development suite on which the 2.48 headline is computed. s8 and s18 flagged it independently; s8 classifies the remedy MX-04 as essential_before_submission at zero compute.","A prior review removed a specific unverifiable count ('six candidate configurations') rather than replacing it with an attested one, leaving the disclosure weaker than before.",Section 11.1 lists undisclosed multiplicity as an absolute blocker. Section 10.7 requires multiplicity-family hygiene with stated family sizes.,"The headline rank is computed on the suite the configuration was selected on. Without a bound on how many configurations were compared, a reviewer cannot judge optimistic-selection bias - and this is the most natural attack on any tuned-metaheuristic paper.","State, as an author attestation, how many full-panel candidate configurations were evaluated, on which cells, and by what criterion the shipped profile was chosen; retain the existing statement that the search lies outside the immutable release.","If the exact count is unrecoverable, state an upper bound and say it is a bound.",Author attestation only - zero compute.,None.,Bounds the strongest statistical objection at no cost.,Confirm the attested count and criterion render in the supplement and that the main-text echo matches. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S8-06; S18-R3-01; MX-04,UPHELD. Classified essential_before_submission: it is the only 'missing analysis' in the whole review that requires no computation at all.
SE-015,19 (consolidated),SE,Major,P2,CONFIRMED,claim-scope,"papers/sections/introduction.tex:110-112 (C2); papers/sections/proposed_algorithm.tex:267; papers/supplementary.tex:1843-1848, :1970-1971",C2 / S6 ablation design,"ARGP - the only element C2 claims as original - is a pre-specified exclusion from every ablation, and the main text states the remove-one study covers 'each scaffold subsystem' when the supplement lists three exclusions.","proposed_algorithm.tex:267 claims the study examines 'each scaffold subsystem'; supplementary.tex:1970-1971 states 'ARGP, the final polish, and the deep-stall restart are untested here', with exclusions enumerated at :1843-1848 - two of the six mechanisms the same paragraph names. Separately, the coordinate local search, which is Holm-significant at D=30 and the largest degradation at D=50/100 (supplementary.tex:1942-1945), is claimed in no contribution bullet.",The ablation design predates the contribution restructuring; the two were never reconciled.,Section 10.10 requires the ablation to separate scaffold remove-one from targeted questions and to use cautious identifiability language; Gate D requires a defensible originality boundary.,"The contribution the paper calls original is the one it never tests, while the mechanism with the strongest measured effect is claimed by no bullet. A reviewer will ask why. Does not invalidate anything - it is a framing and accuracy problem.",Correct proposed_algorithm.tex:267 to name the three exclusions; narrow C2 so that its originality claim does not rest solely on an untested element; state plainly in the limitations that ARGP and the deep-stall restart are not isolated by the present design.,Retain C2's wording and add an explicit 'not isolated' caveat at first mention.,"None. An ARGP isolation cell is classified useful_for_q2, not required.",Coordinate with SE-016; both are Gate K.,Aligns the claimed contribution boundary with the evidence that exists.,grep 'each scaffold subsystem' returns nothing; confirm the exclusion list is stated in the main text; confirm C2's wording no longer rests on an untested element alone. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,DS-02; DS-03; R2-S11-11,UPHELD. s2-4's DS-02 (false 'each') is a plain factual error and is the crisper half; DS-03/R2-S11-11 are the framing half. Merged.
SE-016,19 (consolidated),SE,Major,P2,CONFIRMED,statistics,papers/sections/conclusions.tex limitations; supplementary.tex S5/S6,EG-006,"The manuscript contains no parameter or hyperparameter sensitivity evidence and does not disclose the absence, for a method whose contribution is a tiered parameter schedule selected on the headline suite.","s10-11 established that EG-006 was closed by the 'omit' branch and that no sensitivity analysis exists anywhere in the release, the supplement, or the ablation bundle; the absence is stated in no limitation.",The evidence-gap register permitted omission and no downstream control required the omission to be disclosed.,"Section 10.11 requires that parameter sensitivity not be generated from unpromoted staging data - it does not require the study, but section 11.1 and Gate K require that a missing load-bearing analysis be visible.","A tiered schedule of fixed constants is contribution C2. With no sensitivity evidence and no disclosure, a reviewer reasonably infers the constants were tuned and the tuning is unreported. Combined with SE-014, this is the second half of the same exposure.",Add one limitation sentence: no parameter-sensitivity study was performed; the tier constants are frozen and hash-locked; their individual influence is unmeasured.,A one-factor sensitivity cell (MX-03) - useful_for_q2.,None for disclosure.,Pairs with SE-014 and SE-015.,"Converts a silent gap into a stated boundary, which is the paper's own established posture elsewhere.",Confirm the sentence renders in PDF and DOCX and appears in the supplement's limitation enumeration. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,R2-S11-04,UPHELD. Single-seat but structurally verified (no such artifact exists in the release). Major because it is an undisclosed absence on the contribution's own subject matter.
SE-017,19 (consolidated),SE,Major,P2,CONFIRMED,claim-scope,papers/sections/performance.tex APGSK availability sentence; Figure 4 caption,APGSK-GAP,The manuscript still states that APGSK's run-level companion analyses are unavailable at D<=50; the shipped release contains them.,"s3 found 29 APGSK rows in wilcoxon_run / effect_sizes / bca_ci at D10/D30/D50, every one flagged availability=ok, with CR-0006 APPROVED recording the post-freeze recovery and phase6_run_analysis.py:335-348 documenting the dynamic gate. The Figure 4 caption also qualifies APGSK D30 checkpoints that are complete (406 rows, n=51).",The sentence predates the CR-0006 recovery and was not updated when the recovered cells were promoted.,"Section 10.7's recovery-versus-comparability disposition is explicit: after a post-freeze recovery, seed-deterministic quantities are validly available and any statement that they 'do not exist' is a false existence claim (Major).",The paper understates its own evidence and contradicts its released data - the exact disposition section 5.5 calibrates as Major P1. No result changes.,"Update the availability sentence and the Figure 4 caption to reflect the recovered cells; retain the disclosed-unavailable status only for the non-deterministic wall-clock runtime, which legitimately stays unavailable.",None - the profile mandates the correction.,None.,Independent.,Removes a false existence claim and recovers usable inference the paper already owns.,Assert every 'unavailable' assertion about APGSK matches an availability flag in the released bundle; confirm the runtime remains correctly marked unavailable. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S3-T02; S8-07,"UPHELD. Section 10.7 names this disposition verbatim, so the severity is fixed by the profile."
SE-018,19 (consolidated),SE,Moderate,P2,CONFIRMED,compliance,papers/DT-GSK.pdf (39 pp); papers/build_prompt_phases/phase_04/page_budget.md Section 2; papers/governance/phase_gate_register.csv,B1 / B2 / section 10.14,"The self-imposed binding page and word budgets are exceeded and, more seriously, no page-count row was recorded at the gate for the 39-page build.","SE measured the shipped PDF at 39 pages; references occupy pp.38-39 and back matter pp.36-37, so B1 (main text including exhibits, excluding references and back matter) is 35 against a hard cap of 34. page_budget.md Section 2 records B1 target 28-34 / hard cap 34 and B2 hard cap 12,000 words, both marked BINDING. Seats measured B2 at ~13,264 (s2-4) and ~13,368 (s17). The last recorded page-count row is Phase 11 (2026-07-11) reading '35 pp total / B1=32'; the 2026-07-22 Phase-12 row carries no page count.","The budget was set in Phase 4 and measured at Phase 11; four pages of post-review remediation text landed afterwards without re-measurement, and the section 6 overflow valve was never invoked.",Section 10.14 requires a page-count row at the Phase 8/9/11 gates and requires that overflow be resolved only by migration to the supplement.,"SE explicitly downgrades the journal risk two seats attached to this. The cap is SELF-IMPOSED: phase_04/page_budget.md records 'No hard journal page limit found' for MDPI Algorithms, and the 12,000-word figure is MDPI's contact-the-Editorial-Office threshold, not a rejection threshold. A 39-page single-column Algorithms article is unremarkable. The real defect is the governance one: a BINDING self-imposed cap was crossed without measurement, waiver, or record.","Record the measured B1/B2 for the shipped build in phase_gate_register.csv and either (a) formally raise the cap with a recorded change request and a one-line justification, or (b) migrate non-essential main-text material to the supplement until B1<=34. Do NOT resolve it by shrinking figures - SE-005 and SE-013 already require the opposite.",Option (a) is preferred and costs nothing scientific.,None.,"Must be re-measured after SE-001..SE-017 text edits, which will move both numbers.",Restores the section 10.14 record; removes an internal-consistency complaint.,Re-measure B1 and B2 on the final build; assert a page-count row exists in phase_gate_register.csv for the shipped build. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,DS-01; S01-004; S17-01; E-07,"UPHELD IN SUBSTANCE, SEVERITY REDUCED from Major to Moderate. s2-4 and s17 both framed this as near-desk-reject; it is not. Under section 10.14 the operative test where the journal publishes no hard limit is 'the journal's typical accepted article length', which 39 pp meets. The unrecorded gate measurement is the genuine breach and it is a record-keeping defect."
SE-019,19 (consolidated),SE,Moderate,P2,CONFIRMED,statistics,papers/sections/performance.tex:207-209; supplementary.tex tie-band paragraph,tie-band / scale-invariance claim,'the inferential Wilcoxon and Friedman tests are rank-based and hence invariant to per-function scale' is false for the Wilcoxon signed-rank test as applied.,"s9 constructed counterexamples from the frozen means: D100-vs-GSK p moves 0.0323 -> 0.0762 when one function is rescaled by 1e6, because the signed-rank test ranks the magnitudes of paired differences, which are not scale-free across functions. The tie band also moves p (D10-vs-ATMALS 0.00906 -> 0.01145 at floor 1e-6). The supplement asserts the stronger and also-false claim that results are 'unaffected by the tie band'.",A true statement about the Friedman test (which ranks within function) was over-generalised to the across-function Wilcoxon.,Section 10.7 requires Wilcoxon validity and zero/tie treatment be verified.,"SE keeps this Moderate rather than Major: the printed sentence is technically wrong, but the practical claim it supports survives - s9 separately verified that the exact-test recomputation changes 0 Holm decisions on all three suites, and the counterexample requires a 1e6 rescaling that does not occur. It must still be corrected because it is a stated methodological property.","Restate accurately: the Friedman ranking is invariant to per-function monotone rescaling; the across-function Wilcoxon is not, and the tie band was verified not to change any Holm decision on these data (state the verification).",Delete the invariance clause and keep only the verified empirical statement.,None - the verification exists in s9's recomputation.,Same paragraph as SE-001 and SE-007.,Replaces a false general claim with a true verified one.,Confirm the revised sentence; add the tie-band sensitivity result to the released robustness outputs. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S9-04; S9-11,"UPHELD, severity held at Moderate against s9's implicit Major framing. The defect is real and the correction is mandatory, but the conclusion it supports was independently verified to hold."
SE-020,19 (consolidated),SE,Moderate,P2,CONFIRMED,statistics,papers/sections/performance.tex statistical protocol; papers/governance/decision_log.md; papers/analysis/rel-2026-07-20-67d9345f9/,AN-GHOLM-2017 / A.7 register,"Post-outcome analysis changes are unlogged, several analysis families have no register row, and the p-value provenance is misattributed to scipy.","s9 established: M-026/M-027/M-028 were made on 2026-07-18, after outcomes were known, and decision_log.md ends at D-0015 (2026-07-13); the new AN-GHOLM-2017 family has no SAP section 12 ID; there are zero A.7 register rows for the three pre-registered ablation families or the two post-hoc checks; posthoc_robustness/ and ablation_overlay/ sit outside papers/analysis/<release_id>/; and p-values attributed to scipy.stats are produced by the in-repo statistics.wilcoxon_paired (pure NumPy, own erf), 8 of 24 cells differing from SciPy at the declared 4 s.f. s9 verified the exact-test Holm decisions: 0 changes.",Analysis-plan governance stopped being updated once the numbers stabilised.,Section 10.7 requires a machine-readable row for every reported statistic and the frozen plan to govern; the SAP's own section 13 calls unlogged post-outcome changes a governance defect.,"No inference is affected and every number reproduces. The exposure is that the paper's strongest selling point is its governance, and the governance record has holes a determined reviewer can find.",Log D-0016..D-0018 for M-026/027/028 with dates and rationale; assign a SAP ID to the global-Holm family; add A.7 rows for the ablation and post-hoc families; correct the scipy attribution to name the in-repo implementation and state that it was cross-checked against SciPy and the exact test with 0 decision changes.,"Attribute to 'a NumPy implementation of the Wilcoxon signed-rank normal approximation with continuity correction, verified against scipy.stats'.",None.,Independent.,Closes the Gate I governance conditions without touching a number.,Assert every reported statistic has an A.7 row; assert decision_log.md covers every post-freeze analysis change. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S9-05; S9-06; S9-07; S9-09; S9-15,UPHELD as a consolidated governance ticket. Individually these are small; together they are the reason Gate I cannot pass.
SE-021,19 (consolidated),SE,Moderate,P2,CONFIRMED,claim-scope,papers/sections/conclusions.tex; papers/sections/introduction.tex; abstract,ISM null framing,"The conclusions elevate the ISM null to a boundary on a general idea, and the introduction asserts an answer 'in the negative', beyond what a failure to reject supports and beyond what the supplement itself claims.","Conclusions describe the null as 'a boundary on the idea that structure can be learned cheaply'; supplement S6.6 states the evidence is 'consistent with zero rather than establishing it' and S6.6 elsewhere disclaims 'a failure to detect an effect under this design, not a demonstration that none exists'. No CI, equivalence test, or power statement accompanies the null anywhere. s9 and s3 flagged the inferential error; s14 flagged the introduction sentence.","The null is deliberately advertised (permitted and correct under the section 10.9 narrowing), but the advertising drifted from 'we did not detect' to 'we established'.",Section 4.6 and Gate C: failure to reject is not equivalence. The section 10.9 narrowing explicitly preserves the requirement that main-text sentences touching the null stay scoped to the evidence and permits reporting only 'if a main-text sentence overstates it'.,The paper's most distinctive honesty feature is over-stated in the direction of a stronger negative result than it has. Reviewers who like the null will still object to its framing.,Restate as a failure to detect under the stated design and power; add the S6.6 caveat sentence to the conclusions; either add the CI/equivalence bound or state explicitly that none was computed.,Compute and report an equivalence bound from the existing ablation release (read-only).,Optional: an equivalence interval from the frozen ablation bundle - no rerun.,Independent.,Aligns the paper's headline honesty claim with the inference it actually made.,Confirm every main-text and abstract sentence touching the null is scoped; confirm the caveat renders in both formats. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S3-T04; S9-08; S14-005; S18-AE-01; S3-T11,"UPHELD. Explicitly NOT re-raised as a section 10.9 leak - the narrowing permits the advertised null. The defect is overstatement, which the narrowing expressly still catches."
SE-022,19 (consolidated),SE,Moderate,P2,CONFIRMED,evidence,"papers/governance/project_configuration.md:85-89, :98, :104, :175; papers/governance/artifact_binding.csv; table_figure_source_map.csv; requirements_traceability_matrix.csv",section 10.1 governance bindings,"The governance directory is internally inconsistent: the controlled analysis area, the venue statement, the exhibit source map and the traceability line anchors are all stale relative to the shipped package.","s0-1: project_configuration.md:98,104,175 binds the controlled analysis area to papers/analysis/rel-2026-07-10-262fc16c9/ while artifact_binding.csv cites the 07-20 bundle 50 times; :85-89 still says the cover letter addresses Swarm and Evolutionary Computation, false since 2026-07-11; requirements_traceability_matrix.csv line anchors no longer resolve against the 7,864-line build prompt (225/400 sampled summaries unlocatable, offsets +57..+253). s7-12: all 59 artifact_binding.csv rows stamp a '-dirty' producer commit; table_figure_source_map.csv contradicts artifact_binding.csv, binding T01-T16 to staging paths it marks MISSING. s13: the shipped Figure 4 file has 0 rows in artifact_binding.csv and seven bound manuscript_label values no longer exist.",Governance artifacts were authored once per phase and only selectively re-pointed through two release re-mints and a venue change.,"Section 10.1 makes these files the authority for the review and requires them to be audited for existence, completeness and internal consistency; section 10.11 makes artifact_binding.csv the exhibit authority.","No manuscript number is affected - s7-12 verified 3,403/3,403 release checksums, 130/130 analysis-bundle and 59/59 exhibit checksums. The exposure is that the governance layer, which the paper offers as contribution C3, does not currently withstand its own audit.",Re-point project_configuration.md to rel-2026-07-20-67d9345f9 and the correct venue; add the missing artifact_binding rows for the shipped Figure 4 and remove the seven dead labels; retire or regenerate table_figure_source_map.csv; either re-anchor requirements_traceability_matrix.csv or mark it historical.,"Mark superseded files historical with a banner rather than regenerating, where regeneration is disproportionate.",None.,Depends on SE-003 for the final commit stamp.,"Makes C3 defensible on inspection, which is currently its weakest point.",Assert project_configuration.md names the shipped release and venue; assert every shipped exhibit has an artifact_binding row; assert no binding row cites a nonexistent path. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S01-003; S01-005; S01-009; S01-011; S01-012; E-09; E-10; E-12; S13-12; S13-13; R2-S10-25,"UPHELD as a consolidated ticket. Individually minor, collectively they are why Gate G/L cannot be certified as clean."
SE-023,19 (consolidated),SE,Moderate,P2,CONFIRMED,citation,papers/references.bib liang2013cec2013; rendered reference 32 in both PDFs and both DOCX; papers/governance/reference_inventory.csv,liang2013cec2013,"A cited reference omits its fourth author, and the identity control that should have caught it recorded the entry as verified.","s5 read the source PDF title page (p.2) and found Alfredo G. Hernandez-Diaz omitted from the author list in references.bib, in rendered reference 32 of both PDFs and both DOCX, and in reference_inventory.csv - which recorded source_authors == bib_authors and certified identity_status = verified. s5 ran an automated plus manual author cross-check of every other cited entry and found no second case.",The inventory row was populated from the bib entry rather than from an independent reading of the title page.,Section 10.2 requires citations to come from the verified intersection of the bibliography and readable approved local sources; Gate E requires verified sources.,"One incorrect author attribution in a printed bibliography. Isolated, easily fixed, but it is the kind of error a copy editor will catch and it discredits the inventory control.",Add the missing author to references.bib and re-render; correct reference_inventory.csv and re-derive its source_* columns from the PDFs rather than from the bib.,None.,None.,Bibliography rebuild.,Restores citation accuracy and the credibility of the identity control.,Diff every bib author list against the corresponding source PDF title page; confirm reference 32 renders with four authors in all four artifacts. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,L-01; L-05,"UPHELD. s5 verified against the source PDF rather than the evidence card, which is exactly the control the profile requires."
SE-024,19 (consolidated),SE,Moderate,P2,CONFIRMED,citation,papers/related_work.tex:117-120; :299-302; :308-309; introduction.tex:28-32; Section 2.1 and 2.3 novelty sentences,GSK-RL characterisation; novelty boundary,"A competitor is adversely mischaracterised, and the novelty boundary is asserted at three mutually inconsistent scopes.","s5 read the GSK-RL source: related_work.tex:117-120 says it 'gains at low dimension but is reported unstable at D=30', while the source's own tallies are better at D=30 (16/4/9) than at D=10 (14/5/10), instability is confined to one untrained function (F26), and its Conclusion states better performance at both 10 and 30 dimensions. Separately the novelty boundary is stated as 'the five variants' (Introduction), 'all of these lines' (~15 variants, Section 2.1) and 'the variants of Table 3' (6, Section 2.3), and Section 2.1's gap sentence cross-references tab:family-review, which contains none of the nine variants it just surveyed.",The GSK-RL sentence was written from the source's self-contradicting abstract rather than its results; the novelty scopes were written in three different drafting passes.,Section 10.2 requires every citation occurrence to have a defensible semantic role and novelty claims to be bounded to the reviewed corpus; Gate E requires balanced sources.,"An adverse mischaracterisation of a competitor is the citation defect most likely to draw a hostile referee report, particularly when that referee may be the competitor. The novelty-scope inconsistency undermines the contribution boundary at Gate D.","Correct the GSK-RL sentence to the source's actual tallies; fix the cross-reference; state the novelty boundary once, at one scope, and use that scope consistently in all three places.","Cite the source's abstract explicitly as the origin of the instability characterisation, and note the results-section disagreement.",None - the source is in the closed corpus.,Independent.,Removes the most reviewer-hostile citation defect in the package.,Re-read the GSK-RL results section against the revised sentence; assert one novelty scope across all three loci. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,L-06; L-07,UPHELD. Both halves verified by s5 against source PDFs.
SE-025,19 (consolidated),SE,Moderate,P2,CONFIRMED,evidence,papers/governance/citation_role_map.csv; literature_audit_report.md; audit_manuscript.py:240,section 10.2 controls,The semantic-role control is holed at its highest-traffic citation key and a superseded governance report still declares that key inadmissible.,"s5: citation_role_map.csv has 56 rows and no row for awad2016problem, the most-cited suite-definition key (8 occurrences); citation_usage_map.csv records the hole inline and audit_manuscript.py:240 carries a hard-coded carve-out. literature_audit_report.md still declares awad2016problem 'WRONG DOCUMENT, inadmissible, blocked' with admissible set 56 and EG-001 open - all superseded by CR-0005 on 2026-07-10, with no supersession banner. s5 verified the underlying citation is sound (sha256 b69f52f0..., correct bound-constrained CEC2017 report). s5 also found no shipped validator reads allowed_citation_keys.txt, citation_role_map.csv or citation_usage_map.csv.","A change request resolved the underlying admissibility question but did not update the report or backfill the role-map row; nothing enforces these files, so the drift was silent.",Section 10.2 requires every citation occurrence to have a defensible semantic role; section 10.1 requires the governance artifacts be internally consistent.,No citation is actually wrong. But an auditor reading the governance directory in file order would fail Gate E on a superseded verdict - which is precisely what a reviewing editor with repository access might do.,Add the awad2016problem role-map row and remove the carve-out; add a supersession banner to literature_audit_report.md naming CR-0005; add a validator that reads the three citation-control files.,Delete the superseded report rather than banner it.,None.,Independent.,Closes the Gate E condition and makes section 10.2 enforceable.,Run the new validator; assert every cited key has a role-map row; assert no governance file asserts a superseded verdict without a banner. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,L-03; L-04; L-15,UPHELD. The 'unenforced control' half (L-15) is the root cause of the other two and of SE-022.
