ticket_id,severity,work_item_id,gate_affected,recheck_test,verification_command_or_method,pass_criterion,regression_scope,artifacts_to_revalidate,evidence_required_to_close,blocking_for_gate_Q,status
SE-018,Moderate,W14,"B, P",Page and word budget measured and recorded,Re-measure B1 and B2 on the FINAL build; assert a page-count row exists in papers/governance/phase_gate_register.csv for the shipped build,A page-count row exists; B1 <= 34 or a recorded change request raises the cap with a justification; no figure was shrunk to achieve it,phase_gate_register.csv; page_budget.md; the whole main text,"DT-GSK.pdf, phase_gate_register.csv",Measurement output plus the gate row or the change request,yes,resolved
SE-019,Moderate,W07,I,Scale-invariance claim is accurate,Read the revised sentence; confirm it distinguishes the Friedman ranking from the across-function Wilcoxon and states the verified tie-band result,No false general invariance claim; the tie-band verification (0 Holm decision changes) is stated,Section 4.1 protocol paragraph; supplement tie-band paragraph,"DT-GSK.pdf, supplementary.pdf",Rendered sentence plus the tie-band sensitivity output,yes,resolved
SE-020,Moderate,W05,I,Statistical governance is complete,python - : assert every reported statistic has an A.7 register row; assert decision_log.md covers every post-freeze analysis change,D-0016..D-0018 logged; AN-GHOLM-2017 has a SAP ID; ablation and post-hoc families have register rows; the scipy attribution is corrected,decision_log.md; the A.7 register; the statistical protocol paragraph,"decision_log.md, the A.7 register, DT-GSK.pdf",Assertion output; the register diff,yes,resolved
SE-021,Moderate,W08,"C, J",ISM null is not overstated,"Read every main-text, abstract, conclusions and cover-letter sentence touching the null; apply the section 10.9 leak test and the failure-to-reject test",Every sentence reads as a failure to detect under the stated design; the S6.6 caveat appears in the conclusions; no equivalence is asserted without a bound,Abstract; introduction; Section 4; conclusions; cover letter; supplement S6.5/S6.6,"DT-GSK.pdf, DT-GSK.docx, cover_letter.pdf, supplementary.pdf",The revised sentences plus the leak-test record,yes,resolved
SE-022,Moderate,W19,"G, L",Governance bindings resolve,python - : assert project_configuration.md names rel-2026-07-20-67d9345f9 and the correct venue; assert every shipped exhibit has an artifact_binding row; assert no binding row cites a nonexistent path,All bindings resolve; the seven dead labels are removed; the Figure 4 row exists; no '-dirty' producer stamp on a shipped row,project_configuration.md; artifact_binding.csv; table_figure_source_map.csv; requirements_traceability_matrix.csv,the four governance files,Assertion output,yes,resolved
SE-023,Moderate,W17,E,Bibliography author lists are correct,python - : diff every bib author list against the corresponding source PDF title page; confirm reference 32 renders with four authors in all four artifacts,Zero author mismatches; reference_inventory.csv source_* columns re-derived from the PDFs,references.bib; reference_inventory.csv; both bibliographies,"references.bib, DT-GSK.pdf, DT-GSK.docx, supplementary.pdf, supplementary.docx",Diff output; the rendered reference 32,yes,resolved
SE-024,Moderate,W17,"D, E",Competitor characterisation and novelty scope,"Re-read the GSK-RL source results section against the revised sentence; assert one novelty scope across the introduction, Section 2.1 and Section 2.3; confirm the tab:family-review cross-reference resolves",The GSK-RL sentence matches the source's tallies; one novelty scope throughout; the cross-reference resolves,"related_work.tex:117-120, :299-302, :308-309; introduction.tex; Section 2.3","DT-GSK.pdf, DT-GSK.docx",The revised sentences plus the source comparison,yes,resolved
SE-025,Moderate,W17,E,Citation controls are enforced,Run the new citation-control validator; assert every cited key has a citation_role_map.csv row; assert no governance file asserts a superseded verdict without a banner,awad2016problem has a role-map row; the audit_manuscript.py carve-out is removed; literature_audit_report.md carries a CR-0005 supersession banner; a validator reads the three control files,citation_role_map.csv; literature_audit_report.md; audit_manuscript.py; allowed_citation_keys.txt,the four governance/control files,Validator output,yes,resolved
SE-026,Moderate,W12,M,Exhibit internal consistency,Re-render and re-measure Algorithm 1 continuation x-positions; assert T06 and T14 use identical formatting for identical quantities; re-read Figure 2 against Eq. (9),No continuation enters the number gutter; T06 prints integers; Figure 2 states the <= acceptance rule; the Table 4 pointer resolves; the Eq. (5) duplication is gone,Algorithm 1; T06; Tables 4 and 5; Figure 2,"DT-GSK.pdf, DT-GSK.docx, T06.tex",Measurement output; the re-rendered exhibits,yes,resolved
SE-027,Moderate,W02,F,R-01 and R-02 propagation complete,grep for bare $s$ in the equation surfaces; assert equation_registry.csv E3 and E8 match the frozen code; re-read the supplement kappa paragraph against _dt_core.py:4495,E3 carries the per-phase signs; proposed_algorithm.tex:71 no longer prints a symbol absent from the notation table; E8 states <=; the kappa attribution names the shipped coordinate path; S5.2's drift claim is narrowed,equation_registry.csv; implementation_correspondence.md; proposed_algorithm.tex; supplementary.tex S5.2,"the registries, DT-GSK.pdf, supplementary.pdf",grep output plus the corrected registry rows,yes,resolved
SE-028,Moderate,W08,J,Limitations are complete and correctly labelled,Count the enumerated limitations and assert the printed number matches; assert every class-result mention outside S6.6 carries the exploratory label,The count matches; the self-initialization asymmetry appears; the class analysis is labelled exploratory with its class-size caveat; the 'moved rather than rewritten' claim is corrected,Conclusions limitations; introduction; supplement S5.4 and S6.6,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf",The revised enumeration,yes,resolved
SE-029,Moderate,W15,"B, C",Cover letter matches the abstract's scope,Diff the cover letter's claim sentence against the abstract's; assert every abstract qualifier has a cover-letter counterpart,All three qualifiers present; 'To our knowledge' removed or replaced with accurate scoping,cover_letter.tex; cover_letter.md; the abstract,"cover_letter.pdf, cover_letter.md, DT-GSK.pdf",The diff plus the rendered cover letter,yes,resolved
SE-030,Moderate,W06,D,Thesis framing is coherent,Read title -> abstract -> introduction -> method -> results -> conclusions as one chain; re-run the section 10.9 leak test on the new Discussion paragraph,The organising question matches the supported evidence; the null is a bounded negative result within that frame; the Discussion paragraph is result-free,Introduction; related work; conclusions; Discussion; abstract,"DT-GSK.pdf, DT-GSK.docx",The read-through record plus the leak-test result,yes,resolved
SE-031,Moderate,W16,P,Word geometry and parity validators,python - : assert w:pgMar in both DOCX equals the mdpi.cls geometry; assert the parity validator's TOC row is conditional; re-run validate_cross_format_parity and confirm equation rows measure content,Geometry matches or is recorded as an approved deviation; no unconditional PASS row survives; equation parity compares content; 0 FAIL,word/reference.docx; both DOCX; validate_cross_format_parity.py,"DT-GSK.docx, supplementary.docx, the parity validator",Assertion output plus the parity report,yes,resolved
SE-032,Moderate,W16,P,Word deviation record is current,python - : assert every count and hash in papers/governance/word_validation_report.md matches the shipped DOCX; assert a T1-T5 typographic section exists,"All counts, hashes and page numbers current; the T1-T5 specification is present; the SE-031 decision is recorded as fixed or approved-deviation",word_validation_report.md,"word_validation_report.md, both DOCX",Assertion output,yes,resolved
SE-033,Moderate,W19,O,Availability statement asserts nothing false,Read the revised Data Availability statement; confirm it asserts no currently-nonexistent repository and leaves a slot for the archive locator,No false repository assertion; the locator slot is present for submission,Data Availability statement; cover letter,"DT-GSK.pdf, DT-GSK.docx",The revised statement,yes,resolved
SE-034,Moderate,W17,E,All printed DOIs resolve,python - : re-query every printed DOI against the DOI handle API; assert no note field references content the .bst suppresses,All DOIs resolve; the two dangling note fields are self-contained,references.bib; both bibliographies,"references.bib, all four rendered artifacts",Query output,yes,resolved
SE-035,Moderate,W19,O,Confirmation trail is auditable,python - : assert every AG register row referenced by a manuscript 'author-confirmed' statement is closed with a date; confirm fdb_agsk.py carries a source-attribution header,AG-0001/0003/0004/0007 closed with dates; the two LICENSES items closed or restated; fdb_agsk.py attributed,AG register; decision_log.md; docs/LICENSES.md; fdb_agsk.py,"the register, LICENSES.md, fdb_agsk.py",Assertion output,yes,pending
SE-036,Moderate,W15,N,Language pass changed no fact,"python - : diff every numeric token in the manuscript before and after the language pass; re-run the sentence-length and semicolon census; assert one name for C1 in title, abstract and body",Zero numeric changes; the long-sentence and semicolon counts materially reduced; one C1 name; the rank-biserial definition appears once,Whole manuscript and supplement; captions; cover letter,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf, cover_letter.pdf",The numeric diff (must be empty) plus the census,yes,resolved
SE-037,Minor,W19,O,Cover letter sources agree,python - : assert cover_letter.md and cover_letter.tex claim sentences agree,The withdrawn byte-stability wording is gone from the .md,cover_letter.md,"cover_letter.md, cover_letter.tex",The diff,no,resolved
SE-038,Minor,W19,L,Supplement source comments are current,grep rel-2026-07-16 in papers/supplementary.tex,Only historical-prose contexts remain; the two comments name the current release,supplementary.tex lines 6 and 1780,supplementary.tex,grep output,no,resolved
SE-039,Minor,W12,M,Supplement cross-references resolve,python - : assert every S/A/B identifier cited in the main text appears in \supplementary{} and typesets in order,S6.6 and S6.7 listed; A14 float placement corrected; the prefix convention stated once,main.tex:186-200; supplement numbering,"DT-GSK.pdf, supplementary.pdf",Assertion output,no,resolved
SE-040,Minor,W01,A,Freeze record is self-consistent,python - : assert docx_note matches the commit's actual file changes; assert the recorded parity row count equals the validator's output; re-run the environment attestation from a clean tree,"docx_note, parity count (579) and pending-refreeze status all correct; the attestation is clean and current",main_manuscript_freeze_manifest.json; _pending_refreeze.json; the environment attestation,the freeze artifacts,Assertion output plus the attestation,no,resolved
SE-041,Minor,W19,C,Claims matrix resolves,python - : assert every claims_evidence_matrix.csv row resolves to a sentence that exists in the shipped manuscript,"CL-01, CL-02, HL-01, RS-08 and AB-02 updated; the Highlights row removed or marked not-applicable",claims_evidence_matrix.csv,"claims_evidence_matrix.csv, DT-GSK.pdf",Assertion output,no,resolved
SE-042,Minor,W07,I,Sign convention is stated,python - : for a sampled row assert the printed formula applied to the printed operands reproduces the printed r,"The convention is stated in the caption and in the released workbook header, or the two are aligned",Table 14 caption; T06/T14 R+/R- columns; the released workbook header,"DT-GSK.pdf, statistical_results.csv",Assertion output,no,resolved
SE-043,Minor,W08,C,Abstract claims are locatable and within length,python - : assert every abstract claim resolves to a printed exhibit or sentence; assert abstract word count <= 200,The CEC2013 Nemenyi leg is either scoped or evidenced; the abstract is <= 200 words; a length check exists in the build,Abstract; supplement Nemenyi content,"DT-GSK.pdf, DT-GSK.docx, supplementary.pdf",Assertion output,no,resolved
SE-044,Minor,W08,"J, K",Runtime pointers and overhead disclosure,"Assert the three ISM-cost pointers resolve to S6.5; confirm the statement that no comparator wall-clock is reported, and why, renders",Pointers resolve; the absence is disclosed as a methodological choice; CEC2011 runtime carries its dispersion,Runtime pointers; Table 16; conclusions,"DT-GSK.pdf, supplementary.pdf",The corrected pointers and the disclosure,no,resolved
SE-045,Minor,W12,M,Exhibit presentation pass,Re-render Figure 3 in grayscale; assert one number format per quantity class; re-read the taxonomy caption against _dt_profiles.py:123 and :196,Figure 3 readable in grayscale; Figure 1 caption cites its source; zero-height bars annotated; one number format; the cadence caption scoped to its tier,"Figures 1, 3, B27; CEC2011 F3 panel; the taxonomy caption","DT-GSK.pdf, supplementary.pdf, both DOCX",Re-rendered exhibits,no,resolved
SE-046,Minor,W05,"I, K",Ablation and interval reporting detail,python - : assert every reported interval has a released CSV row; assert the ablation omnibus statistic named matches the one computed,BCa intervals emitted with register rows and a corrected generator default; the CEC2013 pairwise matrix printed; the release wording reconciled; the floor-sensitivity surrogate disclosed,Supplement S6; the BCa generator; the exhibit map,"supplementary.pdf, the analysis bundle",Assertion output,no,resolved
SE-047,Minor,W02,C,Budget-crossing warrant is structural,Confirm the revised sentence names the counted-prefix invariant as the primary warrant and the probe as its regression check; assert a claims-matrix row and analysis id exist,The claim is anchored on the invariant; the probe is cited as the check; a claims-matrix row exists,Section 4.1; the claims matrix; tests/regression/test_budget_crossing_semantics.py,"DT-GSK.pdf, claims_evidence_matrix.csv",The revised sentence plus the matrix row,no,resolved
SE-048,Minor,W18,P,Class and venue metadata,Confirm line numbers render in the submitted PDF; confirm the recorded venue metrics match the journal page at submission,Submit-mode line numbering restored; D-0010 metrics updated; the mdpi.cls modifications documented,mdpi.cls; main.tex L15/L19; decision_log.md D-0010,"DT-GSK.pdf, decision_log.md",The rendered line numbers,no,resolved
SE-049,Minor,W19,O,Similarity screening decision recorded,Confirm a similarity-screening result or an explicit deferral decision exists in papers/governance/,Either a screening record or a documented deferral to the publisher's own check,MIN-11; the governance directory,the governance directory,The record,no,pending
SE-050,Minor,W19,-,Governing prompt is current,python - : assert PAPER_REVIEW_PROMPT section 1.5 ticket counts match papers/governance/ticket_status.csv; assert every section 10.1 binding path exists,"Sections 1.5, 1.5.0-C(2c), 10.7 and 10.9 describe the shipped state; every binding path resolves; the SGSM-EMA exemplar is marked historical","PAPER_REVIEW_PROMPT.md sections 1.5, 10.1, 10.7, 10.9",PAPER_REVIEW_PROMPT.md,Assertion output,no,resolved
SE-R01,Rejected,-,-,Not re-verified - out of scope by section 1.5.4,Author confirms at upload that no bracketed placeholder renders on the title page,No review action. Upload-checklist item only.,none,"DT-GSK.pdf p.1, DT-GSK.docx",Author confirmation at submission,no,accepted_risk
SE-R02,Rejected,-,-,Not re-verified - foreclosed by section 1.5.4,n/a,No review action.,none,none,n/a,no,accepted_risk
SE-R03,Rejected,-,-,Not re-verified - out of scope by section 1.5.4 directive,n/a,No review action within this cycle. Carried as residual risk R7 in the readiness report.,none,none,n/a,no,accepted_risk
SE-R04,Rejected,-,-,Section 10.9 leak test (favourable-result direction only),"Re-run the section 10.9 leak test on the revised main text, abstract, conclusions and cover letter",No favourable component result appears in the main text; the advertised null is permitted by the narrowing,"Abstract, introduction, Section 4, conclusions, cover letter","DT-GSK.pdf, cover_letter.pdf",Leak-test record,no,accepted_risk
SE-R05,Rejected,-,-,Not re-verified - verified sound at Stage 9,n/a,No review action. Both BCa seeds are pre-registered.,none,none,n/a,no,accepted_risk
SE-R06,Rejected,-,-,Withdrawn by the originating seat,n/a,No review action. The apparent seed off-by-one was a reviewer JSON-truncation artifact.,none,none,n/a,no,resolved
