# Stage 13 - Figures, tables, equations, algorithms and visual-evidence audit (Gate M)
# Seat s13_exhibits | package: git HEAD 45248eb31, freeze anchor abd2fa2f25c8, evidence release rel-2026-07-20-67d9345f9
# Section 1: exhibit inventory, Appendix A.4 schema. Section 2 (below the marker row): findings in the mandatory section 5.4 ticket schema.
# Homogeneous supplement figure families that share one generator and one defect are audited as one row each, with their members named in artifact_id.
artifact_id,type,document_location,research_question,source_paths,generator,command,source_checksums,output_checksum,caption_complete,value_or_point_validation,legibility,accessibility,cross_format_match,issue_ticket_ids,status,notes
EQ-3 (eq:kexp-schedule),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Junior-dimension schedule,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _dt_core.py (Kexp path),authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS - independently recomputed against Table 7 (D=50: 50/18/3/1/1/1/0),OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-4 (eq:gsk-update),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,"Gaining-sharing update with per-phase signs s_J, s_S",papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _numba_accel.py:407-414,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)","PARTIAL - the rendered display and the notation table now carry s_J/s_S (R-01), but the declared canonical registry row E3 and the Sec.3.1 prose still use a single bare s",OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",S13-09,open,"R-01 closed in equations.tex, notation_table.tex, the PDF and the DOCX, but NOT in equation_registry.csv row E3 nor in proposed_algorithm.tex:71."
EQ-5 (eq:kr-mask),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Crossover mask (Bernoulli KR or linkage block),papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _build_phase4_masks:926,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)","PASS - registry E4 now states permutation chunks, non-contiguous (R-02 correctly closed)",OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",S13-06,open,"Classified 'scaffold' in Table 4 but folded into the 'Inherited GSK core' equation range of Table 5, and listed twice within Table 5."
EQ-6 (eq:nlpsr),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Nonlinear population-size reduction,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _dt_core._psr_target_size:790,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS - independently reproduces every Table 7 NP(x) cell (250/222/170/91/41/27/25),OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-7 (eq:ace-update),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,ACE credit and probability update,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _ace_update_probs:1203,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS - the three branches match the Sec.3.3.1 prose,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",S13-20,open,Never pointed to from Algorithm 1 although steps 8 and 17 implement it.
EQ-8 (eq:midpoint-repair),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,L-SHADE midpoint bound repair,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor bound_constraint.py:1,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",S13-20,open,Algorithm 1 step 13 implements it with no equation pointer.
EQ-9 (eq:greedy-accept),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,"Greedy selection, ties accepted (<=)",papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _dt_core.py:3325,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS - registry E8 now states ties accepted (R-02 correctly closed),OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",S13-08,open,Contradicted by Figure 2's 'greedily accept improving trials' box.
EQ-10 (eq:bse-cauchy),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Budget-safe escape (Cauchy rescue),papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _dt_core.py:3874,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-11 (eq:sgsm-graph),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,ISM interaction-graph EMA G <- lambda*G + eta*Sum,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor interaction_graph.py:222,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)","PASS - retention lambda sits on the OLD graph with an independent learning rate eta, matching the frozen operator; the Sec.10.6 exemplar defect is absent here",OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-12 (eq:eigen-polish),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,Eigenframe compass polish,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _final_polish_basis:1882,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
EQ-13 (eq:rng-substreams),equation,main PDF pp.8-9; build_prompt_phases/phase_03/equations.tex,13-substream RNG seeding,papers/build_prompt_phases/phase_03/equation_registry.csv; code anchor _dt_rng.py:1,authored canonical transcription (ART-EQUATIONS),n/a,n/a,equations.tex sha256 520de2e08df0df954968831d54deeae8c95f09acc7ede4320260bec9dea57603,"n/a (numbered display; symbols defined in Tables 3, 6 and 8)",PASS,OK (native display math; no line break alters meaning; not rasterised),OK,"yes - native OMML in the DOCX (753 m:oMath in the main document; 0 literal '&' alignment markers, so R-03 is verified closed)",,closed,"Printed number, registry row, prose reference and Algorithm 1 pointer all resolve consistently."
TAB-1 (tab:family-review),table,main p.5; sections/related_work.tex:133-138,GSK-family review summary for the six published comparators,literature facts from the cited publications only,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - states explicitly that the table contains no results from this paper's experiments,not re-verified by this seat (literature facts; Stage 8/9 remit),OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Suites and limitation cells are literature claims; their verification belongs to the citation seat.
TAB-2 (tab:taxonomy),table,main p.6; sections/related_work.tex:223-232,Structure-learning taxonomy: DG / CMA-ES / Eigenvector DE / ISM,literature facts plus this paper's own ISM description,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - the four comparison dimensions are named and the ISM cost caveat is spelled out,PASS against Sec.3.4 and Sec.3.8 for the ISM column,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-15,open,Caption says linkage blocks are 're-extracted every fifth generation' but Sec.3.4 adds the D>=100 exception (every 10th and 20th generation).
TAB-3 (tab:notation),table,main p.8; phase_03/notation_table.tex,"Core problem, population and base-GSK notation",phase_03/notation_table.md,authored canonical transcription (ART-NOTATION),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - scope stated, with cross-references to Tables 6, 8, 10 and Eqs. 1-13",PARTIAL - it now defines s_J and s_S (R-01) but the Sec.3.1 prose still uses an undefined bare s,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-09,open,The notation table itself is correct; the defect is the prose symbol that no longer matches it.
TAB-4 (tab:architecture),table,main p.13; sections/proposed_algorithm.tex:122-150,"Eight-subsystem architecture: category, active tier, role",phase_03/contribution_matrix.md; _dt_profiles.py,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - the budget and RNG invariants are stated in the caption,"FAIL - the row-1 role cell carries an unresolvable internal pointer '(rows 3, 5; Eq.(9))'",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-05;S13-06;S13-18,open,"Printed row 3 is 'Linkage-aware block crossover' (correct for the crossover mask) but printed row 5 is 'Local search (coordinate)', which has no bearing on greedy-selection ties; no row of this table covers selection at all. The same broken pointer is in the DOCX cell. The table also disagrees with Table 5 on the class of Eq.(5), and its blanket ISM confidence gate is contradicted by Table 9."
TAB-5 (tab:dim-gating),table,main p.14; sections/proposed_algorithm.tex:225-252,Subsystem activation across the four dimension tiers,phase_03/parameter_table.md; _dt_profiles.py (hash-frozen),authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - tiers, tier representatives, on/off semantics and the parameter column are all defined","FAIL - Eq.(5) appears both inside 'Inherited GSK core (Eqs.(1)-(5),(8),(9))' and as its own 'Linkage block crossover (Eq.(5))' row",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-06,open,"Double assignment inside one table, and it classifies as INHERITED an equation the paper claims as a C2 modification (contribution_matrix.md row 8 = MOD; Table 4 = scaffold)."
TAB-6 (tab:notation-scaffold),table,main p.15; phase_03/notation_table_scaffold.tex,ACE/ARGP/NLPSR/BSE scaffold notation,phase_03/notation_table.md,authored (ART-NOTATION),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS - every symbol used in Sec.3.3 appears,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Splitting the notation across three tables placed at first use (N-015) reads well.
TAB-7 (tab:worked-example),table,main p.16; sections/proposed_algorithm.tex:352-360,Worked NLPSR and Kexp schedule at D=50,analytic evaluation of Eq.(6) and Eq.(3),authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - constants, rounding rule and the 'analytic evaluation' basis are all stated","PASS - INDEPENDENTLY RECOMPUTED by this seat: NP(x)=250/222/170/91/41/27/25 and Djun=50/18/3/1/1/1/0 reproduce exactly at x=0, .10, .25, .50, .75, .90, 1.00",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Fully verified.
TAB-8 (tab:notation-ism),table,main p.17; phase_03/notation_table_ism.tex,ISM and eigenframe-polish notation,phase_03/notation_table.md,authored (ART-NOTATION),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes,PASS,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,
TAB-9 (tab:sgsm-mechanism),table,main p.18; sections/proposed_algorithm.tex:541-550,How accepted moves become exploitable structure (three stages),interaction_graph.py; Sec.3.4 and Sec.3.5,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - the caption states explicitly 'No measured interaction structure is shown', guarding against implied empirical behaviour","PASS internally; its 'the polish reads Gsigned, no confidence gate' clause contradicts Table 4's blanket gate statement",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-18,open,"Good Sec.10.11 practice: a conceptual exhibit that explicitly disclaims empirical content. The discrepancy is with Table 4, not inside this table."
TAB-10 (tab:parameters),table,main p.20; phase_03/parameter_table.tex,Frozen run parameters of the shipped configuration (core),phase_03/parameter_table.md; _dt_profiles.build_pub_config,authored canonical transcription (ART-PARAMS),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,PARTIAL - the caption promises a four-tier display the table never uses and cites an internal build file,"PASS on values against parameter_table.md; the MaxFES cell omits the CEC2011 150,000 exception that Tables 3 and 12 both carry",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-15,open,Reader-facing build tokens: 'algorithm_freeze_manifest.json' in the caption and 'np_init_mult=5' (a dataclass field) in a cell; 'bare' and 'reserved; from problem/options' are internal jargon (Sec.10.17.4).
TAB-11 (tab:panel),table,main p.20; sections/proposed_algorithm.tex:677-684,Seven-method panel roster and configuration provenance,papers/governance/comparability_audit.md; comparator configurations,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,yes - states that no literature-copied numbers appear and discloses the eGSK SLSQP-for-fmincon substitution,PASS - the roster matches the Sec.10.4 expected seven-method panel exactly,OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,Provenance disclosure is explicit and non-euphemistic.
TAB-12 (tab:protocol),table,main p.22; sections/performance.tex:72-77,Frozen evaluation protocol across the three suites,papers/governance/seed_and_pairing_audit.md; experiment_matrix.csv,authored (native LaTeX table),n/a,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - seed schedule, generator, initialization exception and significance rule are all in-table","PASS - F2 exclusion, 51/51/25 runs, MaxFES and the tie rule agree with Sec.10.4 and the released manifests",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",,closed,
TAB-13 (tab:friedman-cec2017),table,main p.25; sections/performance.tex:332-347 -> papers/tables/T16.tex,CEC2017 Friedman mean ranks per dimension plus Overall,rel-2026-07-20-67d9345f9/cec2017/friedman_ranks_cec2017_D*.csv; friedman_ranks_cec2017_overall.csv,papers/scripts/generate_latex_tables.py,python papers/scripts/generate_latex_tables.py,recorded in papers/governance/artifact_binding.csv,see papers/governance/artifact_binding.csv,"yes - blocks, runs, omnibus bound, bolding rule, robustness and APGSK-gap qualifiers","PASS - values equal the released CSVs; bolding is correct including eGSK bold at D=30, i.e. an ADVERSE cell is correctly highlighted; 'Overall' is correctly labelled a descriptive aggregate with no pooled test attached",OK,OK,"yes - native w:tbl in the DOCX (17 tables, 0 rasterised); validate_cross_format_parity.py: 579 rows, FAIL=0",S13-14,open,"Cell values verified. The only issue is that the same matrix is re-presented in Figure 3, Figure 4 and supplement Figures B1-B2."
