# DT-GSK exhibit plan - Phase 4 task 8 (claim-freeze input to Gate 4). Date: 2026-07-10.
# Sources of record: phase_04/thesis.md, phase_04/contribution_matrix.md (C1-C4), phase_03/equation_registry.csv,
# phase_03/algorithm_pseudocode.md, PAPER_BUILD_PROMPT.md Sections 6.7/8.4/8.5/8.6 (CR-0001), papers/governance/comparability_audit.md.
# Reconciles the provisional placeholder registry of contribution_matrix.md (T01-T07, F01-F03, SA01-SA03 -> X-ABL-01..03).
# NUMERIC DISCIPLINE: every empirical cell in every exhibit is a placeholder <TXX:field>/<FXX:field> until Phase 6 binds it
# from the read-only evidence release rel-2026-07-10-262fc16c9 (benchmarks/cec_reference_results/). Staging results/ is never citable.
#
# == PRE-REGISTRATION (binding for Phases 5-7) ==
# P1 PANEL COMPOSITION (7 algorithms, fixed legend order per Section 6.7): gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk.
#    All comparative wording is scoped "within the GSK family panel"; never field-wide. eGSK panel data provenance per comparability_audit.md.
# P2 CONVERGENCE AGGREGATION (CR-0001, Section 6.7): per-checkpoint MEAN error across all runs per algorithm, computed from
#    gen_logs/CheckpointErrors_<opt>_F<f>_D<d>.csv in release rel-2026-07-10-262fc16c9; identical basis for all 7 curves in every panel;
#    representative-run fallback (curves/Figure_F<f>_D<d>_Run#<r>.csv) ONLY when an algorithm's checkpoint logs are absent from the
#    release, caption-disclosed; a missing algorithm is caption- and register-disclosed, never fabricated/interpolated/silently dropped;
#    display-only log floor and zero handling documented at render time; no smoothing, no extrapolation past termination.
# P3 FIXED ALGORITHM -> COLOR/LINESTYLE MAP (identical in every panel, main + supplement; Okabe-Ito colorblind-safe; grayscale-distinguishable):
#    gsk        = #999999, dotted
#    agsk       = #E69F00, dashed
#    apgsk      = #56B4E9, dash-dot
#    fdb-agsk   = #009E73, densely-dashed
#    atmals-gsk = #CC79A7, long-dash
#    egsk       = #0072B2, dash-dot-dot
#    dt-gsk    = #000000, solid (1.5x linewidth)
#    One shared legend per grid; consistent algorithm ordering (P1) in all legends and tables.
# P4 DIMENSION SET PER SUITE: CEC2017 D={10,30,50,100} (29 functions, F1+F3-F30, F2 excluded per protocol; 51 runs; MaxFES=10^4*D).
#    CEC2011 native problem dimensions (22 problems; 25 runs; MaxFES=150000). CEC2013 tables D={10,30,50} (28 functions; 51 runs);
#    CEC2013 convergence grids D=30 ONLY unless the Section 8.5 dimension-filename tooling task is completed and invocations recorded.
#    CEC2013 is the "second comparison suite" - never "independent"/"holdout"/"validation".
# P5 MAIN-TEXT CONVERGENCE SELECTION RULE (pre-registered BEFORE viewing any rendered figure; summary-statistic-derived; CR-0003/Section 6.7):
#    Featured dimensions: D30 (known-weak tier - permitted Section 5.1 rank statement: #2 behind eGSK, to be re-derived in Phase 6 from
#    rel-2026-07-10-262fc16c9) and D100 (tier where SGSM/polish subsystems are active). For each featured dimension select exactly 4
#    CEC2017 functions, one per suite category (unimodal F1/F3; simple multimodal F4-F10; hybrid F11-F20; composition F21-F30).
#    Strata computed in Phase 6 from release summary CSVs only, before any curve is rendered or viewed:
#      difficulty  = tercile of the panel-median final error over all 7 algorithms within the dimension (easy/moderate/hard);
#      DT-GSK standing = per-function mean-final-error rank within the panel (strong = rank 1-2, comparable = 3-5, weak = 6-7).
#    Fill priority across the 4 category picks per dimension: (hard,weak) > (hard,comparable) > (moderate,comparable) > (easy,strong) >
#    any remaining stratum; ties broken by lowest function number. Constraint: the 8 selected panels jointly include >=1 hard case and
#    >=1 DT-GSK-weak case (Section 6.7 unfavorable-case requirement). Known limitation (recorded): repository figures were seen during
#    the Phase 2 asset audit; the rule is nevertheless purely summary-statistic-driven.
# P6 ABLATION: X-ABL-* rows are RESERVED, destination supplement-phase12, DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY. No ablation exhibit,
#    subsection, or component-causality claim may enter the main manuscript (thesis.md Section 7).
# P7 GENERATORS: commands below to be verified against the Section 8.5 runbook + strict source guard; any generator reading results/
#    as empirical input must be changed/wrapped to read the immutable release. The three convergence generators
#    (generate_full_convergence.py, generate_cec2011_convergence.py, generate_cec2013_convergence.py) REQUIRE the CR-0001 seven-curve
#    family-overlay extension before Phase 7 rendering (reference implementation pattern: papers/scripts/generate_review_pack.py,
#    including log-missing-never-fabricate behavior); Phase 7 validation asserts exactly seven series per panel or a disclosed absence
#    note. generate_trace_figures.py / generate_adaptive_params_panel.py run ONLY against a validated promoted diagnostic (GenLog)
#    release, else marked unavailable in evidence_gap_register.md. Supplement assembled by papers/scripts/build_supplementary.py.
# P8 LABELS: the label column below seeds Section 9.1 cross-reference label tracking; per-panel convergence labels follow the pattern
#    fig:conv-f<f>-d<d> inside the grid labels given below.
exhibit_id,kind,title,research_question,source,generator,destination,claim_ids,label
"F-TAXONOMY","figure-conceptual","Related-work taxonomy (structure-learning cost/mechanism positioning)","How does ISM differ from differential grouping / covariance-eigenbasis methods on update trigger, evaluation cost, what is learned, and how exploited?","phase_04/novelty_scope.md four-dimension comparison + evidence cards (authored; NO empirical source)","papers/scripts/generate_taxonomy_figure.py (authored spec input only)","main","C1","tab:taxonomy"
"T-FAMREV","table","GSK-family review summary (7 family papers: mechanism, adaptation level, evaluation scope, gap)","What has the GSK family already tried, and what gap remains for ISM? (background; no empirical values)","papers/governance/evidence_cards/ (mohamed2020gaining, mohamed2020agsk, mohamed2021novel/apgsk2021, fdbagsk2023, alfadli2025atmals, jawad2024egsk) - card-verified facts only","authored LaTeX from evidence cards (no script)","main","background (Section 2.1)","tab:family-review"
"T-WORKED","table","Worked numeric example: NLPSR schedule + tier gating at D=50 (analytic)","Can the reader hand-check the tier-resolved budget behavior? (analytic; NO empirical result values)","phase_03/parameter_table.md tier floors + phase_03/equation_registry.csv E5 (analytic evaluation of the frozen formula)","authored LaTeX (analytic; no script)","main","C3","tab:worked-example"
"T07-PROTOCOL","table","Experimental protocol and reproducibility summary (suites, budgets, runs, seeds, release id, self-init exception)","Is the evaluation protocol budget-fair, paired, and fully reproducible?","papers/governance/benchmark_protocol_audit.md + seed_and_pairing_audit.md + data_ledger.csv; release rel-2026-07-10-262fc16c9","authored LaTeX from governance artifacts (no script)","main","C4","tab:protocol"
"T-PANEL","table","GSK-family panel roster (7 algorithms, provenance, comparability status per cell)","Who is compared, from what evidence class (A/B/C/D), under what provenance?","papers/governance/comparability_audit.md + data_ledger.csv (eGSK reference-CSV provenance note)","authored LaTeX from comparability_audit.md (no script)","main","C4","tab:panel"
"T01-SUM","table","CEC2017 headline summary (per-dimension condensed descriptive stats + W/T/L vs each comparator)","Within the GSK family panel, what is the headline CEC2017 outcome per dimension? (values <T01:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 summary CSVs (D10/D30/D50/D100; 51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","main","C1;C2;C3","tab:cec2017-summary"
"T05","table","CEC2017 Friedman mean ranks per dimension + overall (Iman-Davenport corrected)","What is DT-GSK's family-panel rank position per dimension and overall? (<T05:friedman_rank_*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 endpoints [friedman1937use; demsar2006statistical]","papers/scripts/generate_latex_tables.py (release-wired per P7)","main","C1;C3","tab:friedman-cec2017"
"F01-D10","figure","Nemenyi critical-difference diagram, CEC2017 D10","Which panel rank differences at D10 exceed the critical difference? (<F01:cd_D10> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D10 endpoints [demsar2006statistical]","papers/scripts/generate_nemenyi_cd.py (release-wired per P7)","main","C1;C3","fig:cd-d10"
"F01-D30","figure","Nemenyi critical-difference diagram, CEC2017 D30","Which panel rank differences at D30 exceed the critical difference? (<F01:cd_D30> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D30 endpoints [demsar2006statistical]","papers/scripts/generate_nemenyi_cd.py (release-wired per P7)","main","C1;C3","fig:cd-d30"
"F01-D50","figure","Nemenyi critical-difference diagram, CEC2017 D50","Which panel rank differences at D50 exceed the critical difference? (<F01:cd_D50> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D50 endpoints [demsar2006statistical]","papers/scripts/generate_nemenyi_cd.py (release-wired per P7)","main","C1;C3","fig:cd-d50"
"F01-D100","figure","Nemenyi critical-difference diagram, CEC2017 D100","Which panel rank differences at D100 exceed the critical difference? (<F01:cd_D100> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D100 endpoints [demsar2006statistical]","papers/scripts/generate_nemenyi_cd.py (release-wired per P7)","main","C1;C3","fig:cd-d100"
"T02","table","Wilcoxon signed-rank + Holm pairwise outcomes, DT-GSK vs each comparator (per-dimension summary counts)","Per dimension, against each comparator, how many functions are significantly better/tie/worse after Holm correction? (<T02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 per-run endpoints [wilcoxon1945individual; holm1979simple]","papers/scripts/generate_latex_tables.py (release-wired per P7)","main","C1;C3","tab:wilcoxon-holm"
"T03","table","Effect sizes: Vargha-Delaney A12 / Cliff's delta with BCa 95% CIs + W/T/L (condensed per comparator per dimension)","How large and how certain are the pairwise differences, beyond p-values? (<T03:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 per-run endpoints [vargha2000critique; efron1993introduction]","papers/scripts/generate_latex_tables.py + papers/scripts/generate_t16_bca.py (release-wired per P7)","main","C1;C3","tab:effect-sizes"
"F02-MAIN-D30","figure","Representative family-overlay convergence grid, CEC2017 D30 (4 panels, rule P5)","How does search behavior compare through the run at the known-weak mid-D tier, including an unfavorable case? (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_F<f>_D30.csv; selection rule P5 (CR-0001)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","main","C3","fig:conv-cec2017-d30 (panels fig:conv-f<f>-d30)"
"F02-MAIN-D100","figure","Representative family-overlay convergence grid, CEC2017 D100 (4 panels, rule P5)","How does search behavior compare through the run at the tier where SGSM/polish are active? (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_F<f>_D100.csv; selection rule P5 (CR-0001)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","main","C1;C2","fig:conv-cec2017-d100 (panels fig:conv-f<f>-d100)"
"F03","figure","Scalability: Friedman mean rank vs dimension (7 algorithms, D10-D100)","Does DT-GSK's family-panel separation strengthen as dimension grows? (<F03:rank_vs_dimension_trend> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 endpoints (ranks per dimension)","papers/scripts/generate_rank_charts.py (release-wired per P7)","main","C1","fig:rank-vs-dim"
"F05-RANKBAR","figure","CEC2017 mean-rank bar chart (7 algorithms, per dimension; companion to T01-SUM per Dim 16 pairing)","What is the panel rank ordering at a glance, paired with the summary table? (<F05:cec2017_mean_ranks> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 endpoints (mean ranks per dimension; styling P3)","papers/scripts/generate_rank_charts.py (release-wired per P7)","main","C1;C3","fig:cec2017-ranks"
"T04","table","CEC2011 panel results (22 real-world problems: descriptive stats + ranks; 25 runs)","Does the family-panel outcome carry to real-world problems at native dimensions? (<T04:cec2011_panel_results> Phase 6; migrates to supplement if page budget binds)","rel-2026-07-10-262fc16c9 CEC2011 summary CSVs [das2011cec2011]","papers/scripts/generate_latex_tables.py (release-wired per P7)","main","C3","tab:cec2011"
"F04-CEC2011","figure","CEC2011 rank figure (mean ranks across 22 problems, 7 algorithms)","What is the family rank ordering on the real-world suite? (<T04:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2011 endpoints","papers/scripts/generate_rank_charts.py (release-wired per P7)","main","C3","fig:cec2011-ranks"
"T06","table","CEC2013 second-comparison-suite summary (Friedman mean ranks D10/D30/D50 + overall)","Does the panel ordering persist on the second comparison suite? (never worded independent/holdout) (<T06:cec2013_panel_results> Phase 6)","rel-2026-07-10-262fc16c9 CEC2013 summary CSVs [liang2013cec2013]","papers/scripts/generate_latex_tables.py (release-wired per P7)","main","C1;C3","tab:cec2013-summary"
"T-RUNTIME","table","Runtime / computational-complexity table (qualified per comparability_audit)","What does DT-GSK cost in compute, given that ISM adds no extra objective evaluations? (runtime cells <T-RUNTIME:*> Phase 6; comparability status disclosed per cell)","phase_03/complexity_analysis.md + rel-2026-07-10-262fc16c9 admissible runtime evidence + papers/governance/comparability_audit.md","authored LaTeX from complexity_analysis.md + release timing (verify vs Section 8.5 runbook)","main","C1;C4","tab:runtime"
"T01-D10","table","CEC2017 D10 complete per-function statistics (29 functions x 7 algorithms)","Full descriptive evidence behind the D10 headline (<T01:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D10 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:cec2017-d10"
"T01-D30","table","CEC2017 D30 complete per-function statistics (29 functions x 7 algorithms)","Full descriptive evidence behind the D30 headline (<T01:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D30 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:cec2017-d30"
"T01-D50","table","CEC2017 D50 complete per-function statistics (29 functions x 7 algorithms)","Full descriptive evidence behind the D50 headline (<T01:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D50 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1;C2","tab:cec2017-d50"
"T01-D100","table","CEC2017 D100 complete per-function statistics (29 functions x 7 algorithms)","Full descriptive evidence behind the D100 headline (<T01:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D100 summary CSVs (51 runs)","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1;C2","tab:cec2017-d100"
"T02-FULL-D10","table","Complete per-function Wilcoxon+Holm pairwise matrix, CEC2017 D10","Per-function inferential detail behind T02 (<T02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D10 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:wilcoxon-d10"
"T02-FULL-D30","table","Complete per-function Wilcoxon+Holm pairwise matrix, CEC2017 D30","Per-function inferential detail behind T02 (<T02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D30 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:wilcoxon-d30"
"T02-FULL-D50","table","Complete per-function Wilcoxon+Holm pairwise matrix, CEC2017 D50","Per-function inferential detail behind T02 (<T02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D50 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1","tab:wilcoxon-d50"
"T02-FULL-D100","table","Complete per-function Wilcoxon+Holm pairwise matrix, CEC2017 D100","Per-function inferential detail behind T02 (<T02:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D100 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1","tab:wilcoxon-d100"
"T03-FULL-D10","table","Complete per-function A12/Cliff effect sizes, CEC2017 D10","Per-function effect-size detail behind T03 (<T03:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D10 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:effects-d10"
"T03-FULL-D30","table","Complete per-function A12/Cliff effect sizes, CEC2017 D30","Per-function effect-size detail behind T03 (<T03:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D30 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C3","tab:effects-d30"
"T03-FULL-D50","table","Complete per-function A12/Cliff effect sizes, CEC2017 D50","Per-function effect-size detail behind T03 (<T03:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D50 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1","tab:effects-d50"
"T03-FULL-D100","table","Complete per-function A12/Cliff effect sizes, CEC2017 D100","Per-function effect-size detail behind T03 (<T03:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 D100 per-run endpoints","papers/scripts/generate_latex_tables.py (release-wired per P7)","supplement","C1","tab:effects-d100"
"T-BCA","table","BCa 95% confidence intervals, paired mean-error differences DT-GSK vs each comparator (per dimension, per function)","Are pairwise differences robust under bootstrap CIs? (<T-BCA:*> Phase 6)","rel-2026-07-10-262fc16c9 CEC2017 per-run endpoints [efron1993introduction]","papers/scripts/generate_t16_bca.py (release-wired per P7)","supplement","C1;C3","tab:bca-ci"
"F02-SUP-CEC2017-D10","figure","Complete family-overlay convergence grids, CEC2017 D10 (all 29 functions, 7 curves each)","Full-suite search-behavior evidence at D10 (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_D10.csv (aggregation P2; styling P3)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C3","fig:sconv-cec2017-d10 (panels fig:conv-f<f>-d10)"
"F02-SUP-CEC2017-D30","figure","Complete family-overlay convergence grids, CEC2017 D30 (all 29 functions, 7 curves each)","Full-suite search-behavior evidence at D30 (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_D30.csv (aggregation P2; styling P3)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C3","fig:sconv-cec2017-d30 (panels fig:conv-f<f>-d30)"
"F02-SUP-CEC2017-D50","figure","Complete family-overlay convergence grids, CEC2017 D50 (all 29 functions, 7 curves each)","Full-suite search-behavior evidence at D50 (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_D50.csv (aggregation P2; styling P3)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C1;C2","fig:sconv-cec2017-d50 (panels fig:conv-f<f>-d50)"
"F02-SUP-CEC2017-D100","figure","Complete family-overlay convergence grids, CEC2017 D100 (all 29 functions, 7 curves each)","Full-suite search-behavior evidence at D100 (CR-0001) (<F02:*> Phase 6)","rel-2026-07-10-262fc16c9 gen_logs/CheckpointErrors_*_D100.csv (aggregation P2; styling P3)","papers/scripts/generate_full_convergence.py (REQUIRES CR-0001 seven-curve extension, P7)","supplement","C1;C2","fig:sconv-cec2017-d100 (panels fig:conv-f<f>-d100)"
