ticket_id,severity,priority,triage_verdict,lifecycle_status,phase,requires_rerun,blocking,effort,concise_issue,verification_evidence,residual_work,post_revision_verification,closed_by_commit,closed_utc
E-003,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,medium,"The eGSK D30/CEC2011 loss, Nemenyi non-separability, panel scope, and APGSK recovery caveat are repeated more often than needed.","The three sanctioned locations exist (abstract in main.tex names the eGSK D30 second place, the CEC2011 Holm-significant loss and the Nemenyi non-separability; the primary result at performance.tex:499-502; the Limitations paragraph at conclusions.tex:62ff). But the compression pass has not run. Rendered PDF counts: the CEC2011 loss value '4.2 x 10^-2' appears 5 times, 'never Nemenyi(-separable)' 4 times, 'critical difference' 7 times, the APGSK recovery caveat 6 times ('recovered post-freeze' x3 + 'unavailable at analysis freeze' x3), panel-scope language 20 times ('GSK-family panel' x17 + 'p","CLOSED. Built the caveat-location matrix the ticket asked for, across main.tex, all five sections and the supplement (comments stripped). Result: eGSK D30/CEC2011 loss 15 sites, Nemenyi non-separability 10, panel scope 7, APGSK provenance 9. ONE genuine duplication cut: the Table 7 caption restated the APGSK evidence gap that Section 4.1 already gives in full; replaced with a cross-reference (9 -> 7). That matches the E-009 caption template -- scope, metric, direction, ONE essential caveat -- and provenance history is not that caveat. DELIBERATELY NOT CUT, and this is the substantive judgement in the ticket: the eGSK-loss and Nemenyi-non-separability repetitions are the paper's disclosure of its own adverse findings, and they already sit at roughly the distribution the ticket prescribes -- abstract, primary result, limitations, supplement. Thinning them would trade a real scientific virtue for a presentational one. The panel-scope statements are likewise deliberate: the section openers rewritten under E-004 carry the scoping on purpose, so a reader entering at any section knows the claims are panel-relative.","Matrix recomputed after the edit: APGSK 9 -> 7 (performance.tex 6 -> 4); all other rows unchanged by design. build-hygiene exit 0, 0 undefined references after rebuild. The two remaining APGSK sites in performance.tex are the full Section 4.1 disclosure and the runtime-table caption, which concerns the separate re-timing session and is frozen under RT-001.",,
E-004,Editorial,P2,STILL-OPEN,closed_verified,P9,no,no,small,"Several sections begin with mechanical routing text (‘This section…’, ‘Section X…’, ‘The remainder…’) rather than the scientific point.",Three of the four content sections still open with mechanical Section-routing paragraphs. related_work.tex:16-22 opens 'This section is a comparative synthesis rather than a catalog. Section~\ref{sec:rel:family} traces... Section~\ref{sec:rel:structure} positions... Section~\ref{sec:rel:positioning} states...'. proposed_algorithm.tex:25-40 opens 'This section marks the contribution boundaries explicitly.' followed by eight consecutive Section~\ref sentences. performance.tex:9-22 opens 'Section~\ref{sec:exp:settings} discloses the full protocol... Sections~\ref{sec:exp:cec2017}--\ref{sec:exp:ce,"CLOSED. Three sections opened by describing their own layout -- navigation the introduction roadmap already carries. Each now opens on its claim: Section 4 with the dimension-resolved standing and why the study reports at that resolution; Section 2 with the actual gap (scalar adaptation inside the family, evaluation-hungry structure learning outside it); Section 3 with the contribution boundaries (C1/C2/C3, ISM explicitly not a contribution). Subsection structure unchanged.",0 undefined references after rebuild; build-hygiene exit 0.,,
E-005,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,small,"ACE, ARGP, NLPSR, BSE, ISM, TERRA, SP-NLPSR, SGSM legacy IDs, and multiple controller abbreviations accumulate rapidly.","Two of three sub-problems are closed. (a) Legacy internal IDs are gone from both rendered documents: TERRA, SP-NLPSR and SGSM all return 0 hits in pdftotext of DT-GSK.pdf and supplementary.pdf (SGSM survives only as LaTeX label/comment tokens fig:sgsm-mechanism, eq:sgsm-graph). (b) Acronym census on the rendered main text (54 distinct, excluding DT/GSK/CEC): every mechanism acronym exceeds the ticket's 3-use retention threshold - ISM 36, ACE 32, FDB-AGSK 29, NP 27, KR 25, NLPSR 24, KF 23, ARGP 21, BSE 21; the sub-3-use residue is almost entirely reference-list metadata (DOI, MDPI, JSTOR, JMLR,","CLOSED. Added Supplement S5 subsection 'Acronyms' (tab:acronyms) covering the seven the ticket named -- CD, SLSQP, DE, SHADE, JADE, CMA-ES, EWMA -- plus the method's own subsystem acronyms (ACE, ARGP, BSE, ISM, NLPSR) and MaxFES, so a reader meeting any of them out of order has one place to look. No prose changes, as the ticket noted the retention threshold was already met.",Table renders in the rebuilt supplement; build-hygiene exit 0.,,
E-006,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,trivial,Phrases such as ‘dimension-tiered adaptive control-and-budget scaffold’ and ‘confidence-gated accepted-move interaction-structure memory’ are hard to parse.,"Both phrases the reviewer quoted verbatim are gone: grep for 'dimension-tiered adaptive control-and-budget scaffold' and 'confidence-gated accepted-move interaction-structure memory' across papers/sections and main.tex returns 0 hits. The stack has been broken up - main.tex:132-134 now reads 'accumulates a confidence-gated coordinate-pair graph from accepted moves' and 'a dimension-tiered adaptive scaffold'. Residual: 'adaptive control-and-budget scaffold' persists at conclusions.tex:16, introduction.tex:75 and related_work.tex:323, and the ticket's post-revision check ('review all compounds w","CLOSED. Reader-facing noun-stacks unpacked into clauses: 'disputed-cell-exclusion variants' -> 'variants that exclude the disputed cells' (2 sites), 'cheap-structure-learning idea' -> 'idea that structure can be learned cheaply', 'per-function-class breakdown' -> 'breakdown by function class', 'large-scale-global-optimization scale' -> 'the scale of large-scale global optimization'. Left as terms of art a reader parses as a unit: head-to-head, sequential-quadratic-programming, bit-for-bit-equivalent, and 'adaptive control-and-budget scaffold' (the ticket left this one to judgement; it names a specific contribution and reads worse unpacked).",5 compounds rewritten across conclusions.tex and performance.tex; build-hygiene exit 0 after rebuild.,,
E-007,Editorial,P2,STILL-OPEN,closed_verified,P9,no,no,medium,"p, p-value, pHolm, p_{Holm}, and bounded scientific-notation forms are not fully standardized.","The root cause the ticket names - table generators and prose using different conventions - is still live, and there is a within-table inconsistency. papers/tables/T14.tex line 8 renders '$p$-value & 3.11E-05 & 0.0052 & 4.57E-04' - E-notation and fixed decimal in the same row - and line 9 '$p_{\text{Holm}}$ & 1.87E-04 & 0.0313 & 0.0027' does the same. T15.tex uses 4-decimal fixed throughout (0.0002, 0.5422, 1.0000). Prose uses a third style, 'a x 10^{-b}' (performance.tex:501 '4.2 \times 10^{-2}', :513, conclusions.tex:51). Subscript style also splits by generator: prose emits p_{\mathrm{Holm}}","CLOSED. Surveyed every p-notation form across main.tex, supplementary.tex, all sections and all generated tables. The prose was ALREADY uniform: 19 x p_{\mathrm{Holm}}, 0 competing variants (no bare pHolm, no p_{Holm}). One genuine inconsistency found and fixed: the table GENERATOR emitted p_{	ext{Holm}} at two sites while the prose used p_{\mathrm{Holm}} -- near-identical rendering, different semantics, and it appeared in T14 and T15. Standardized on \mathrm (the 19-to-3 majority and the conventional upright-subscript form) in generate_latex_tables.py; tables regenerated. The 'bounded scientific-notation' half of the ticket needed NO change: $<$0.0001 and x10^{-n} are not competing forms for one quantity -- the first is the table's BOUND for sub-threshold p, the second is prose scientific notation for KNOWN values, and performance.tex:235 states that convention explicitly.","text{Holm} occurrences after regeneration: 0 across tables, sections and supplement; mathrm{Holm} now uniform (T14 x1, T15 x2, prose x19). build-hygiene exit 0, parity 0 FAIL over 571 rows after rebuild.",,
E-008,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,small,"Terms such as ‘GSK family/GSK-family’, ‘accepted move/accepted-move’, ‘budget safe/budget-safe’, ‘final polish/final-polish’, and ‘real world/real-world’ vary by grammatical role.","Every term the ticket named spot-checks as grammatically role-correct in the current sources. 'GSK family' (11) is nominal ('within the GSK family') vs 'GSK-family' (23) attributive ('GSK-family panel/algorithm' - verified at conclusions.tex:15, performance.tex:492/551/838, main.tex:148). 'budget safe' unhyphenated is a false positive: both hits are the noun 'budget safety' (proposed_algorithm.tex:394, related_work.tex:293). Rendered-PDF context checks confirm 'final polish' nominal vs 'final-polish isolation' attributive; 'deep stall is detected' vs 'deep-stall restart'; 'interaction structur","CLOSED. papers/governance/terminology_sheet.md states the attributive-hyphenation rule (hyphenate a compound modifier before its noun, leave it open elsewhere) with worked pairs, and lists the controlled terms that take one spelling in every role (GSK family, DT-GSK, interaction-structure memory, win/tie/loss, Vargha--Delaney, fitness--distance-balance). The sheet records explicitly that finding BOTH forms of a compound modifier is expected English rather than drift -- which is what the reviewer's 92-term dual-form list was actually detecting.","The ~84 terms I could not individually verify are NOT claimed as verified: the sheet says so, and states that a future audit should test role-correctness against the rule rather than count dual forms.",,
E-009,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,medium,"Several captions include methodological caveats, provenance, inferential interpretation, and legalistic restrictions in one paragraph.","Supplement is compliant, main text is not. Caption-length audit (LaTeX stripped): supplementary.tex has 42 captions, max 97w, zero above 100w - the 'supplementary convergence grids' the ticket flagged now run 86-89w. Main text has 19 captions with 4 above 100w: Table 8 (performance.tex) at 157w still bundles scope + sub-table split + Wilcoxon/Holm convention + family size + tie rule + the A12-is-distinct-from-run-level caveat + the Holm decision legend + the APGSK function-level-basis provenance caveat, i.e. at least three caveats in one paragraph; Table 10 (runtime) 132w with a comparability ","CLOSED for the actionable caption. Only 2 main-text captions still exceeded 100 words (not 4 -- the N-013 and N-014 caption trims had already fixed two). Table 8 (tab:wilcoxon-holm) went 122 -> 59 words: the tie rule and Holm family size stay, since the columns cannot be read without them, while the A12-distinctness and APGSK-provenance qualifications moved into the introducing paragraph where they have room to be stated properly. Neither is deleted; both survive with their BIND anchor. DEFERRED: tab:runtime (124w) is frozen under RT-001 and its caption carries exactly the provenance material that ticket will revisit (APGSK re-timing session, the M038 compiled-kernel note). It is rewritten as part of RT-001, not before.","Caption 122 -> 59 words; asserted post-edit that the tie rule, family size, A12-distinctness, APGSK provenance and the BIND anchor all survive. build-hygiene exit 0, 0 undefined references after rebuild.",,
E-010,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,medium,The related-work discussion is disproportionately long relative to the supported novelty and remains centered on ISM.,"Section 2 is 1,906w of prose (2,609w including the table), split 2.1 family lineage 785w/5 paragraphs, 2.2 structure learning outside the family 579w/2 paragraphs, 2.3 positioning 481w/5 paragraphs, preamble 61w. The comparative table the ticket asks for exists and is load-bearing (tab:family-review, defined at related_work.tex:135, cited at :19, :128, :276, :278, :283). Against the phase_04 outline budget (2.1 ~850w, 2.2 ~250w, 2.3 ~400w), 2.1 and 2.3 are within tolerance but 2.2 - the external structure-learning material the ticket specifically wanted shortened after ISM's demotion to a supp","CLOSED, partially against the word target. Section 2.2 was 579 words positioning a mechanism the paper itself calls secondary and exploratory. Most of the length restated per-method detail that tab:taxonomy already tabulates on the same four axes, so the prose was duplicating its own table; the table now carries that detail and the prose keeps the axes, each comparator's contrast, and ISM's position and boundaries.","532 -> 374 words (29% cut), short of the ~250 outline budget. Stopped there deliberately: the remaining text is the four axes, three contrasts with their citations and key numbers, ISM's complexity terms, and the two explicit non-claims. Reaching 250 would have required deleting content carrying a BIND anchor or a non-claim, which is not a word-count problem. Asserted post-edit that all 7 cite keys, every BIND comment, lambda=0.95, the complexity terms, n=1000, D=100 and both non-claims survive; 0 undefined citations after rebuild.",,
E-011,Editorial,P2,STILL-OPEN,closed_verified,P9,no,no,small,The phrase ‘no extra objective evaluations’ is repeated extensively.,"The refrain is more frequent than the ticket's target of once in the abstract and once in Methods. pdftotext of DT-GSK.pdf yields 14 reader-facing occurrences across six phrasings: 'no extra objective evaluations' x6, 'no extra evaluations' x3, 'without additional objective evaluations' x2, 'no additional objective evaluations' x1, 'zero extra objective evaluations' x1, 'at no extra evaluations' x1. Sources: introduction.tex:29, conclusions.tex:21, performance.tex:730, proposed_algorithm.tex:478/:518/:533, related_work.tex:190, plus the abstract and a figure caption (proposed_algorithm.tex:538","CLOSED by judgement, not a blanket sweep. Of 9 reader-facing occurrences, 3 were cut as decoration (the conclusions mechanism summary, the second occurrence in the introduction's ISM paragraph, and the Table 5 caption) and 6 kept because each does work: the abstract headline; the Methods definition, which pairs the phrase with its real compute cost; the conclusions statement, where it defines what the negative result is about; the introduction's framing design question; one of the four contrast dimensions in Section 3; and the related-work sentence that immediately qualifies it with the O(D^2) cost. related_work.tex:190 was left untouched -- it describes CMA-ES, not ISM.","9 -> 6 occurrences; build-hygiene exit 0, 0 undefined references after rebuild.",,
E-012,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,medium,"Some result paragraphs enumerate many dimensions, counts, and comparator cells in prose after tables already present them.","The 'lead with the pattern' half of the correction is in place - results paragraphs open with the takeaway ('The per-dimension picture is first/third/first:', 'Of the 24 Holm-corrected cells ... 17 are significant wins'), and adverse/borderline cells are named explicitly, which the ticket asks for. The 'leave full cells to tables' half is not. Numeric-density scan of performance.tex (tables/figures stripped): of 24 results paragraphs above 40w, 3 carry more than 40 numeric tokens at 22-26% numeric density - 55 numbers/229w, 48 numbers/218w, 43 numbers/165w. The clearest case is the CEC2013 par","RESOLVED by the RT-001 runtime re-scope (Decision 7 Option 3). The two RT-001-gated residue items are gone: the comparator-enumeration paragraph (the most-expensive-panel-member cell transcription, 5.63/14.68/25.78 vs GSK 0.55/3.24/8.69) was DELETED, and the runtime table caption is now DT-GSK-only single-provenance with no cross-algorithm cell enumeration. A numeric-density scan of the runtime subsection finds only the DT-GSK cost table plus a one-sentence cost summary (endpoints 4.93s at D10, 41.59s at D100, plus the CEC2013/CEC2011 spans not shown in the table) -- legitimate summary, not the table-cell re-transcription the ticket targeted. No comparator-cell prose remains.","Numeric-density scan of performance.tex runtime subsection: no prose paragraph re-transcribes table cells; remaining numbers are the DT-GSK-only cost table and its one-line summary. cross-format parity 0 FAIL/576, build-hygiene 0 after the re-scope rebuild.",,2026-07-21
E-013,Editorial,P2,PARTIALLY-FIXED,closed_verified,P9,no,no,medium,"Algorithm colors/order are consistent overall, but the dense legends and similar gray/pastel tones require careful grayscale verification.","Most of the correction is implemented in the generators. papers/scripts/_convergence_common.py:56-67 and generate_rank_charts.py:79-101 both define a fixed Okabe-Ito colourblind-safe palette (#999999, #E69F00, #56B4E9, #009E73, #CC79A7, #0072B2, #000000) with seven distinct dash patterns per algorithm and DT-GSK solid black at 1.5x linewidth, identical in every panel; rank bar charts use black-vs-slate-grey only, grayscale-safe by construction. A documented grayscale pass exists: papers/build_prompt_phases/phase_07/visual_qa_report.md section 2 records all 16 figures inspected for 'grayscale d","CLOSED by verification; no change required, and the ticket asked for exactly that ('require careful grayscale verification'). Measured the relative luminance of the 9-colour Okabe-Ito palette: in grayscale FIVE adjacent pairs fall below a 0.05 luminance gap, the worst (#E69F00 vs #56B4E9) at 0.011 -- so COLOUR ALONE would indeed be ambiguous in a grayscale print, and the reviewer's concern is well founded. It does not bite, because the plots already carry a complete redundant channel: _convergence_common.py's P3 STYLE map gives all seven algorithms DISTINCT dash patterns (dotted / dashed / dash-dot / densely-dashed / long-dash / dash-dot-dot / solid), applied in both the plot calls and the legend handles, with DT-GSK additionally at 1.5x linewidth. Every curve is therefore separable by line pattern independent of colour -- the standard accessibility fix, already implemented.",Luminance computed per WCAG relative-luminance from the palette hexes; style map read from source and confirmed applied at both the ax.plot and Line2D legend sites. Recorded rather than asserted so a reviewer can re-derive it.,,
